#,,
int32,str,str
0,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_000","留给人类的“五船空际”……
这几个字背后的沉重意味，一定远超我们的想象。"
1,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_001","别说大陆船了，就连格拉德号以外的船影都没有。
说不定在这个世界，
和其他群体相遇本身就不太常见……"
2,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_002",""
3,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_100","<Highlight>ObjectParameter(1)</Highlight>，你看！
远处有什么出现了，
应该是水之大陆船“纳格尔法”。"
4,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_101","为了躲避巨人的追击，这艘船也在不停航行。
所以我们的旅程才这么漫长吧。"
5,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_102","船员们既要防备眷属的袭击，
又要预测母船的航线并与之会合……
返航也挺不容易的。"
6,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_103",""
7,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_200","虽然花了不少时间，纳格尔法总算清晰可见了。
不知在那艘巨船上会有什么等待着我们……"
8,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_201","好在你已经把这边的情况告诉了拂晓的各位，
我们可以集中眼前的事情了。
这就做好抵达的准备吧！"
9,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_202",""
10,"TEXT_REGFIM7V6E2ALPHINAUD_00988_ALPHINAUD_000_203",""
