#,,
int32,str,str
0,"TEXT_CTSMKDENTRANCE_00929_Q1_000_000","要做什么？"
1,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT","进入“<Sheet(ContentFinderCondition,IntegerParameter(1),43)/>”"
2,"TEXT_CTSMKDENTRANCE_00929_A1_000_001","询问有关蜃景幻界新月岛"
3,"TEXT_CTSMKDENTRANCE_00929_A1_000_002","取消"
4,"TEXT_CTSMKDENTRANCE_00929_A1_000_003","确认知见等级和货币"
5,"TEXT_CTSMKDENTRANCE_00929_A1_000_004","确认辅助职业"
6,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_SOUTH","确定要进入“<Sheet(ContentFinderCondition,IntegerParameter(1),43)/>”吗？

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※知见等级超过20级时，
会自动将知见等级同步到20级。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
7,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION","确定要进入“<Sheet(ContentFinderCondition,IntegerParameter(1),43)/>”吗？"
8,"TEXT_CTSMKDENTRANCE_00929_MENU_CONTENT_CONFIRMINATION_HARD","确定要进入“<Sheet(ContentFinderCondition,IntegerParameter(1),43)/>”吗？"
9,"TEXT_CTSMKDENTRANCE_00929_A1_000_005","是"
10,"TEXT_CTSMKDENTRANCE_00929_A1_000_006","否"
