#,,
int32,str,str
0,"TEXT_JOBXBM132_05495_SEQ_00","弯枝牧场的嘉·尤哈·提亚对冒险者挑战斗兽奇弈成功感到十分欣喜。"
1,"TEXT_JOBXBM132_05495_SEQ_01","嘉·尤哈·提亚祝贺了冒险者取得胜利。返回中央林区烤饼练兵所附近，和嘉·尤哈·提亚谈谈。"
2,"TEXT_JOBXBM132_05495_SEQ_02","为了制定下次斗兽奇弈的对策，决定接受路斯福洛克斯的指导。和烤饼练兵所附近的路斯福洛克斯谈谈。"
3,"TEXT_JOBXBM132_05495_SEQ_03","冒险者和路斯福洛克斯边散步边学习。在中央林区翠泪择伐区的指定地点和同行的路斯福洛克斯谈谈。

※同行状态被解除时，再次与烤饼练兵所附近的路斯福洛克斯对话便可进入同行状态。"
4,"TEXT_JOBXBM132_05495_SEQ_04","从路斯福洛克斯那里听取了关于魔兽弱点的建议。在中央林区加比诺老爹的小屋附近的指定地点和同行的路斯福洛克斯谈谈。"
5,"TEXT_JOBXBM132_05495_SEQ_05","从路斯福洛克斯处听取了异常状态的建议。在中央林区裸岩丘入口附近的指定地点和同行的路斯福洛克斯谈谈。"
6,"TEXT_JOBXBM132_05495_SEQ_06","准备和路斯福洛克斯及其魔兽搭档切磋一场。打倒裸岩丘附近的<Sheet(BNpcName,14928,0)/>。"
7,"TEXT_JOBXBM132_05495_SEQ_07","打倒了<Sheet(BNpcName,14928,0)/>。和裸岩丘入口附近的路斯福洛克斯谈谈。"
8,"TEXT_JOBXBM132_05495_SEQ_08","和路斯福洛克斯一同与突然现身的劳妲进行了交谈。返回烤饼练兵所，和嘉·尤哈·提亚谈谈。"
9,"TEXT_JOBXBM132_05495_SEQ_09","和嘉·尤哈·提亚进行了交谈。为了向劳妲证明自己选择的道路，继续提高驯兽师的本领吧。

※驯兽师的等级达到40或更高等级时，可以从烤饼练兵所附近的嘉·尤哈·提亚那里领取下一个驯兽师任务。"
10,"TEXT_JOBXBM132_05495_SEQ_10",""
11,"TEXT_JOBXBM132_05495_SEQ_11",""
12,"TEXT_JOBXBM132_05495_SEQ_12",""
13,"TEXT_JOBXBM132_05495_SEQ_13",""
