#,,
int32,str,str
0,"TEXT_JOBXBM001_05490_SEQ_00","魔女咖啡馆的慌张的冒险者似乎有话要说。"
1,"TEXT_JOBXBM001_05490_SEQ_01","这位冒险者似乎在黑衣森林看到了新品种的魔物。为了确认消息真伪，在中央林区的酸模避风港的<Sheet(EObj,2015394,0)/>张望。"
2,"TEXT_JOBXBM001_05490_SEQ_02","传闻中的新品种魔物是库西。前往中央林区的白狼门附近，和古怪的猫魅族谈谈。"
3,"TEXT_JOBXBM001_05490_SEQ_03","嘉·尤哈·提亚和路斯福洛克斯是科纳格流派的驯兽师。在白狼门附近，将<Sheet(EventItem,2003830,0)/>喂给库西。"
4,"TEXT_JOBXBM001_05490_SEQ_04","库西很快吃光了<Sheet(EventItem,2003830,0)/>。在白狼门附近，对库西使用情感动作“抚摸”。"
5,"TEXT_JOBXBM001_05490_SEQ_05","库西很享受冒险者的抚摸。为了了解驯兽师的详细情况，和白狼门附近的嘉·尤哈·提亚谈谈。"
6,"TEXT_JOBXBM001_05490_SEQ_06","嘉·尤哈·提亚介绍了科纳格流派的驯兽师相关的事情。装备上<Sheet(Item,47470,0)/>，再次和嘉·尤哈·提亚谈谈。"
7,"TEXT_JOBXBM001_05490_SEQ_07",""
8,"TEXT_JOBXBM001_05490_SEQ_08",""
9,"TEXT_JOBXBM001_05490_SEQ_09",""
10,"TEXT_JOBXBM001_05490_SEQ_10",""
11,"TEXT_JOBXBM001_05490_SEQ_11",""
12,"TEXT_JOBXBM001_05490_SEQ_12",""
13,"TEXT_JOBXBM001_05490_SEQ_13",""
14,"TEXT_JOBXBM001_05490_SEQ_14",""
15,"TEXT_JOBXBM001_05490_SEQ_15",""
16,"TEXT_JOBXBM001_05490_SEQ_16",""
17,"TEXT_JOBXBM001_05490_SEQ_17",""
18,"TEXT_JOBXBM001_05490_SEQ_18",""
19,"TEXT_JOBXBM001_05490_SEQ_19",""
20,"TEXT_JOBXBM001_05490_SEQ_20",""
21,"TEXT_JOBXBM001_05490_SEQ_21",""
22,"TEXT_JOBXBM001_05490_SEQ_22",""
23,"TEXT_JOBXBM001_05490_SEQ_23",""
24,"TEXT_JOBXBM001_05490_TODO_00","在酸模避风港附近的<Sheet(EObj,2015394,0)/>张望"
25,"TEXT_JOBXBM001_05490_TODO_01","和古怪的猫魅族对话"
26,"TEXT_JOBXBM001_05490_TODO_02","将<Sheet(EventItem,2003830,0)/>喂给库西"
27,"TEXT_JOBXBM001_05490_TODO_03","对库西使用“抚摸”的情感动作"
28,"TEXT_JOBXBM001_05490_TODO_04","和嘉·尤哈·提亚对话"
29,"TEXT_JOBXBM001_05490_TODO_05",""
30,"TEXT_JOBXBM001_05490_TODO_06",""
31,"TEXT_JOBXBM001_05490_TODO_07",""
32,"TEXT_JOBXBM001_05490_TODO_08",""
33,"TEXT_JOBXBM001_05490_TODO_09",""
34,"TEXT_JOBXBM001_05490_TODO_10",""
35,"TEXT_JOBXBM001_05490_TODO_11",""
36,"TEXT_JOBXBM001_05490_TODO_12",""
37,"TEXT_JOBXBM001_05490_TODO_13",""
38,"TEXT_JOBXBM001_05490_TODO_14",""
39,"TEXT_JOBXBM001_05490_TODO_15",""
40,"TEXT_JOBXBM001_05490_TODO_16",""
41,"TEXT_JOBXBM001_05490_TODO_17",""
42,"TEXT_JOBXBM001_05490_TODO_18",""
43,"TEXT_JOBXBM001_05490_TODO_19",""
44,"TEXT_JOBXBM001_05490_TODO_20",""
45,"TEXT_JOBXBM001_05490_TODO_21",""
46,"TEXT_JOBXBM001_05490_TODO_22",""
47,"TEXT_JOBXBM001_05490_TODO_23",""
48,"TEXT_JOBXBM001_05490_SYLMOND_000_001","你、你也是冒险者吧？！
可以听我说两句吗？"
49,"TEXT_JOBXBM001_05490_SYLMOND_000_002","我好像发现了一种“新品种魔物”！"
50,"TEXT_JOBXBM001_05490_SYLMOND_000_003","我在中央林区处理委托时，看到了一个白绒绒的四足魔物。
那绝对不是羊或者狼之类的生物！"
51,"TEXT_JOBXBM001_05490_SYLMOND_000_004","我看它挺老实的，就由着好奇心靠近了些，
结果那魔物就受惊逃走了！
不过我可以肯定，它一定不是艾欧泽亚的本土品种！"
52,"TEXT_JOBXBM001_05490_SYLMOND_000_005","我实在太想找人分享这件事了，所以才拦下了你。
如果你有兴趣的话，可以去中央林区的酸模避风港附近找找，
说不定它还会再回到那一带呢！"
53,"TEXT_JOBXBM001_05490_SYLMOND_000_007","如果你想看那个白绒绒，可以去中央林区的酸模避风港附近找找。
不过那一带有时会有一些凶猛的魔物出没，你可千万要小心啊！"
54,"TEXT_JOBXBM001_05490_CUSITH_000_010","(-神秘魔物-)嗷……"
55,"TEXT_JOBXBM001_05490_WHITEJOKER_100_010","吱？！"
56,"TEXT_JOBXBM001_05490_JYHUHTIA_000_011","(-古怪的猫魅族-)好凶猛的松鼠。不过也许是看到了不认识的野兽，
才变得这么亢奋……
但无论如何，趁火打劫可不是什么好行为。"
57,"TEXT_JOBXBM001_05490_JYHUHTIA_000_012","(-古怪的猫魅族-)嗯……这边这只也很少见。"
58,"TEXT_JOBXBM001_05490_JYHUHTIA_000_013","(-古怪的猫魅族-)反应很及时啊，<If(PlayerParameter(4))>小姐<Else/>小哥</If>，
你可要好好护住它。"
59,"TEXT_JOBXBM001_05490_JYHUHTIA_000_014","(-古怪的猫魅族-)我们上，搭档！"
60,"TEXT_JOBXBM001_05490_WHITEJOKER_100_014","吱……"
61,"TEXT_JOBXBM001_05490_JYHUHTIA_000_015","(-古怪的猫魅族-)干得不错，先“回去”吧。"
62,"TEXT_JOBXBM001_05490_JYHUHTIA_100_015","(-古怪的猫魅族-)这家伙估计是看到不熟悉的访问者闯入了自己的领地，
才这么暴躁的，先让它好好睡一觉冷静下吧。"
63,"TEXT_JOBXBM001_05490_LOOSEFROX_000_016","(-焦急的声音-)呼哧……呼哧……
老师，别丢下我一个人啊哥布！"
64,"TEXT_JOBXBM001_05490_JYHUHTIA_000_017","(-古怪的猫魅族-)……抱歉，路斯福洛克斯，我没注意，
还以为你一直跟在后面的。"
65,"TEXT_JOBXBM001_05490_LOOSEFROX_000_018","真是的，老师总是这样哥布……"
66,"TEXT_JOBXBM001_05490_LOOSEFROX_000_019","嗯？"
67,"TEXT_JOBXBM001_05490_LOOSEFROX_000_020","诶——？！
这这这、这难道是库西的亚成体哥布？！"
68,"TEXT_JOBXBM001_05490_JYHUHTIA_000_021","(-古怪的猫魅族-)挺意外的吧？
珍兽库西居然会远离栖息地出现在这里。"
69,"TEXT_JOBXBM001_05490_JYHUHTIA_000_022","(-古怪的猫魅族-)看上去只受了点轻伤。
多亏这位<If(PlayerParameter(4))>小姐<Else/>小哥</If>保护及时。"
70,"TEXT_JOBXBM001_05490_CUSITH_000_023","嗷呜……"
71,"TEXT_JOBXBM001_05490_JYHUHTIA_000_024","(-古怪的猫魅族-)总之，先处理下伤口，找个安全的地方谈谈吧。
我们是“驯兽师”，这只库西就交给我们带过去吧，
放心好了。"
72,"TEXT_JOBXBM001_05490_LOOSEFROX_000_025","给库西疗伤的事放心交给我们哥布！
不过它为什么会出现在这里呢……"
73,"TEXT_JOBXBM001_05490_CUSITH_000_027","嗷嗷……"
74,"TEXT_JOBXBM001_05490_JYHUHTIA_000_030","很好，伤口没有裂开。"
75,"TEXT_JOBXBM001_05490_JYHUHTIA_100_030","你来了。
放心吧，它的伤口不深。"
76,"TEXT_JOBXBM001_05490_JYHUHTIA_000_031","(-嘉·尤哈·提亚-)对了，重新自我介绍一下吧。
我叫嘉·尤哈·提亚，是一名与魔兽伙伴一同作战的“驯兽师”。"
77,"TEXT_JOBXBM001_05490_JYHUHTIA_100_031","(-嘉·尤哈·提亚-)你怎么称呼？"
78,"TEXT_JOBXBM001_05490_JYHUHTIA_110_031","(-嘉·尤哈·提亚-)<Highlight>ObjectParameter(1)</Highlight>啊，请多指教了！"
79,"TEXT_JOBXBM001_05490_LOOSEFROX_000_032","呼哧……呼哧……
我叫路斯福洛克斯，
和老师一样，是科纳格流派的驯兽师哥布。"
80,"TEXT_JOBXBM001_05490_JYHUHTIA_000_033","(-嘉·尤哈·提亚-)哈哈，你突然说科纳格流派，别人也听不懂啊。"
81,"TEXT_JOBXBM001_05490_JYHUHTIA_000_034","(-嘉·尤哈·提亚-)世界各地都有尝试驯养魔兽的人，
久而久之就发展出了不同的流派。"
82,"TEXT_JOBXBM001_05490_JYHUHTIA_000_035","(-嘉·尤哈·提亚-)比如阿拉米格以驯养狮鹫闻名，
而旧兰蒂斯共和国也有其别具风格的技术……
总之，驯兽师的分支多的数不尽，我们科纳格流派只是其中之一。"
83,"TEXT_JOBXBM001_05490_LOOSEFROX_000_036","我和老师为了寻找珍稀魔兽，
一直在世界各地旅行，目前暂时滞留在格里达尼亚哥布。
然后，我们从一个冒险者那里听到了未知魔物的传闻……"
84,"TEXT_JOBXBM001_05490_JYHUHTIA_000_037","(-嘉·尤哈·提亚-)之后就是在寻找的途中遇到挺身保护库西的你，
接下来的事就不用说了。"
85,"TEXT_JOBXBM001_05490_JYHUHTIA_000_038","(-嘉·尤哈·提亚-)不过，这种叫库西的魔兽，
原本的栖息地在距离艾欧泽亚很远的地方。
为什么会出现在这里呢……？"
86,"TEXT_JOBXBM001_05490_JYHUHTIA_000_039","(-嘉·尤哈·提亚-)何况还是个没有发育成熟的亚成体……
看来只能是由人类带过来的。"
87,"TEXT_JOBXBM001_05490_LOOSEFROX_000_040","可如果它是驯兽师的搭档，
那它的主人应该就在附近才对啊哥布？
而且也没让库西“回去”，就这样让它待在不熟悉的环境里哥布。"
88,"TEXT_JOBXBM001_05490_JYHUHTIA_000_041","(-嘉·尤哈·提亚-)虽然我不太想这样猜，
但或许它的主人已经不在了……"
89,"TEXT_JOBXBM001_05490_CUSITH_100_041","嗷……"
90,"TEXT_JOBXBM001_05490_JYHUHTIA_000_042","(-嘉·尤哈·提亚-)哦？"
91,"TEXT_JOBXBM001_05490_JYHUHTIA_000_043","(-嘉·尤哈·提亚-)库西是一种警惕性很强的魔兽，一般是不怎么亲人的……
不过看样子，它倒是很喜欢你呢。"
92,"TEXT_JOBXBM001_05490_JYHUHTIA_000_044","(-嘉·尤哈·提亚-)折腾了这么久，它一定也饿了，你要不要试着给它喂点吃的？
把这个<Sheet(EventItem,2003830,0)/>喂给它就好。"
93,"TEXT_JOBXBM001_05490_LOOSEFROX_000_045","库西是肉食魔兽，
它应该会吃那种肉的哥布。"
94,"TEXT_JOBXBM001_05490_JYHUHTIA_000_050","小家伙看上去饿坏了，
快去给它喂些肉吧。"
95,"TEXT_JOBXBM001_05490_CUSITH_000_060","嗷？"
96,"TEXT_JOBXBM001_05490_CUSITH_000_061","嗷嗷！"
97,"TEXT_JOBXBM001_05490_SYSTEM_000_062","库西很快就把<Sheet(EventItem,2003830,0)/>吃光了，
看起来真的饿坏了。"
98,"TEXT_JOBXBM001_05490_JYHUHTIA_000_063","对人类给的食物毫无警惕心……
这个小家伙果然大概率曾是某人的驯兽。"
99,"TEXT_JOBXBM001_05490_JYHUHTIA_000_064","<Highlight>ObjectParameter(1)</Highlight>，你再试着“抚摸”它一下怎么样？"
100,"TEXT_JOBXBM001_05490_LOOSEFROX_000_065","呼哧……呼哧……
如果它不太熟悉人类的话，
是不会轻易让人摸的哥布。"
101,"TEXT_JOBXBM001_05490_JYHUHTIA_000_067","快试试吧，去“抚摸”一下它，
轻柔些，尽量别吓到它。"
102,"TEXT_JOBXBM001_05490_CUSITH_000_068","嗷！"
103,"TEXT_JOBXBM001_05490_SYSTEM_000_069","库西期待地望向你，
尝试对它使用情感动作“抚摸”吧。"
104,"TEXT_JOBXBM001_05490_CUSITH_000_070","嗷！！"
105,"TEXT_JOBXBM001_05490_JYHUHTIA_000_071","竟然……？！"
106,"TEXT_JOBXBM001_05490_LOOSEFROX_000_072","呼哧……呼哧……
超、超级亲人，从没见过这样的哥布！！"
107,"TEXT_JOBXBM001_05490_JYHUHTIA_000_073","就算它过去曾是某人的驯兽，对人类比较熟悉，
可这么亲人的还真是不寻常……"
108,"TEXT_JOBXBM001_05490_JYHUHTIA_000_074","或许是它与你很合拍，又或者……你也有驯兽师的才能？
嗯，说不定二者皆有呢。"
109,"TEXT_JOBXBM001_05490_CUSITH_100_074","嗷……"
110,"TEXT_JOBXBM001_05490_JYHUHTIA_000_075","……你想不想成为<Highlight>ObjectParameter(1)</Highlight>的搭档啊？"
111,"TEXT_JOBXBM001_05490_CUSITH_000_076","嗷！"
112,"TEXT_JOBXBM001_05490_JYHUHTIA_000_077","哈哈哈！好的，我知道了。"
113,"TEXT_JOBXBM001_05490_JYHUHTIA_000_078","看样子它相当喜欢你。"
114,"TEXT_JOBXBM001_05490_JYHUHTIA_000_079","我也很欣赏能被魔兽喜欢的家伙。
如果你有兴趣的话，要不要也来做科纳格流派的驯兽师？"
115,"TEXT_JOBXBM001_05490_LOOSEFROX_000_080","什……等一下，老师！"
116,"TEXT_JOBXBM001_05490_LOOSEFROX_000_081","先说好了，就算老师答应了，
我也是老师的第一个学生，你的师姐哥布！"
117,"TEXT_JOBXBM001_05490_JYHUHTIA_000_082","你要是感兴趣，我就给你详细说明一下驯兽师的事。"
118,"TEXT_JOBXBM001_05490_LOOSEFROX_000_085","老师非常重视与魔兽的感情，在科纳格流派中也是出了名的。
虽然看上去待人亲切，但比起人，其实他更喜欢魔兽哦哥布。"
119,"TEXT_JOBXBM001_05490_CUSITH_000_090","嗷！"
120,"TEXT_JOBXBM001_05490_JYHUHTIA_000_100","看来你对驯兽师有兴趣，
太好了！"
121,"TEXT_JOBXBM001_05490_JYHUHTIA_000_101","在驯兽师的诸多流派中，我们科纳格流派最独特的地方就是
会与驯兽结下一种魔法契约。"
122,"TEXT_JOBXBM001_05490_JYHUHTIA_000_102","不过，想与野生的魔兽结下契约并非易事。"
123,"TEXT_JOBXBM001_05490_JYHUHTIA_000_103","因此，我们就遵从自然中最原始的规矩——以“强者”为尊。
也就是与魔兽战斗，向它们展示自己的力量！"
124,"TEXT_JOBXBM001_05490_JYHUHTIA_000_104","通过战斗让野生魔兽认可自己的实力后，
再与其结下魔法契约……
我们将这一系列的流程称为“捕获”。"
125,"TEXT_JOBXBM001_05490_JYHUHTIA_000_105","不过，就算结下了契约，也不能胡乱行事，
想要发挥魔兽的真正本领，一定要多与它们亲近！"
126,"TEXT_JOBXBM001_05490_LOOSEFROX_000_106","呼哧……呼哧……
顺便一提，与人类结下主从关系的驯兽身上，
都会有魔法契约的“痕迹”哥布。"
127,"TEXT_JOBXBM001_05490_LOOSEFROX_000_107","其他驯兽师是绝对无法夺走结下契约的魔兽的哥布！"
128,"TEXT_JOBXBM001_05490_JYHUHTIA_000_108","我之前就在怀疑，刚刚也确认了一下，
这只库西确实有缔结过契约的“痕迹”。"
129,"TEXT_JOBXBM001_05490_JYHUHTIA_100_108","只不过，那个痕迹也即将失效消散了……
出现这种情况，只有一个可能。"
130,"TEXT_JOBXBM001_05490_JYHUHTIA_000_109","……你的主人已经不在了吧？"
131,"TEXT_JOBXBM001_05490_CUSITH_000_110","嗷呜……"
132,"TEXT_JOBXBM001_05490_JYHUHTIA_100_109","果然是……
这么小就远离家乡，还失去了主人，一定很不好受吧。"
133,"TEXT_JOBXBM001_05490_JYHUHTIA_000_111","<Highlight>ObjectParameter(1)</Highlight>，这只库西在异乡的森林中失去了主人，
孤立无援。"
134,"TEXT_JOBXBM001_05490_JYHUHTIA_100_111","而你在它遭遇危机时相救，它对你也很亲近。
所以我想问一句……"
135,"TEXT_JOBXBM001_05490_JYHUHTIA_000_112","你有没有决心背负它的命运，
成为一名与魔兽心意相通，合力挑战强敌的驯兽师？"
136,"TEXT_JOBXBM001_05490_Q1_000_000","如何作答？"
137,"TEXT_JOBXBM001_05490_A1_000_001","和我一起去世界各地冒险吧！"
138,"TEXT_JOBXBM001_05490_A1_000_002","我们一同努力，成为最强的搭档吧！"
139,"TEXT_JOBXBM001_05490_A1_000_003","从今往后，我们就是伙伴了！"
