key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
2000000,"",0,"",0,0,1,0,0
2000001,"透明君※α未使用",0,"",0,0,1,0,0
2000002,"草むらテスト※α未使用",0,"",0,0,1,0,0
2000003,"クエストツールテスト※α未使用",0,"",0,0,1,0,0
2000004,"クエストツールテスト２※α未使用",0,"",0,0,1,0,0
2000005,"",0,"",0,0,0,0,0
2000006,"草むら※α未使用",0,"",0,0,1,0,0
2000007,"草むら※α未使用",0,"",0,0,1,0,0
2000008,"境树",0,"",0,0,1,0,0
2000009,"指定地点",0,"",0,0,1,0,0
2000010,"变色龙蛋",0,"",0,0,1,0,0
2000011,"变色龙蛋",0,"",0,0,1,0,0
2000012,"变色龙蛋",0,"",0,0,1,0,0
2000013,"变色龙蛋",0,"",0,0,1,0,0
2000014,"变色龙蛋",0,"",0,0,1,0,0
2000015,"给艾美利亚的信",0,"",0,0,1,0,0
2000016,"腐朽的树",0,"",0,0,1,0,0
2000017,"腐朽的树",0,"",0,0,1,0,0
2000018,"腐朽的树",0,"",0,0,1,0,0
2000019,"奥妮莉的发饰",0,"",0,0,1,0,0
2000020,"森林特产蔬菜",0,"",0,0,1,0,0
2000021,"森林特产蔬菜",0,"",0,0,1,0,0
2000022,"森林特产蔬菜",0,"",0,0,1,0,0
2000023,"森林特产蔬菜",0,"",0,0,1,0,0
2000024,"森林特产蔬菜",0,"",0,0,1,0,0
2000025,"森林特产蔬菜",0,"",0,0,1,0,0
2000026,"阿泽玛玫瑰果",0,"",0,0,1,0,0
2000027,"阿泽玛玫瑰果",0,"",0,0,1,0,0
2000028,"阿泽玛玫瑰果",0,"",0,0,1,0,0
2000029,"阿泽玛玫瑰果",0,"",0,0,1,0,0
2000030,"阿泽玛玫瑰果",0,"",0,0,1,0,0
2000031,"阿泽玛玫瑰果",0,"",0,0,1,0,0
2000032,"",0,"",0,0,1,0,0
2000033,"埋門",0,"",0,0,1,0,0
2000034,"",0,"",0,0,1,0,0
2000035,"",0,"",0,0,1,0,0
2000036,"",0,"",0,0,0,0,0
2000037,"",0,"",0,0,1,0,0
2000038,"",0,"",0,0,1,0,0
2000039,"魔导感光器",0,"",0,0,1,0,0
2000040,"",0,"",0,0,1,0,0
2000041,"",0,"",0,0,1,0,0
2000042,"指定地点",0,"",0,0,1,0,0
2000043,"潮湿洼地",0,"",0,0,1,0,0
2000044,"潮湿洼地",0,"",0,0,1,0,0
2000045,"潮湿洼地",0,"",0,0,1,0,0
2000046,"退出点",0,"",0,0,1,0,0
2000047,"",0,"",0,0,1,0,0
2000048,"欧米茄传送装置",0,"",0,0,1,0,0
2000049,"",0,"",0,0,0,0,0
2000050,"",0,"",0,0,0,0,0
2000051,"",0,"",0,0,1,0,0
2000052,"",0,"",0,0,1,0,0
2000053,"蕾亚的蛋",0,"",0,0,1,0,0
2000054,"",0,"",0,0,1,0,0
2000055,"邪教念珠",0,"",0,0,1,0,0
2000056,"邪教念珠",0,"",0,0,1,0,0
2000057,"邪教念珠",0,"",0,0,1,0,0
2000058,"封印结界",0,"",0,0,1,0,0
2000059,"封印结界",0,"",0,0,1,0,0
2000060,"封印结界",0,"",0,0,1,0,0
2000061,"邪教宝珠",0,"",0,0,1,0,0
2000062,"邪教宝珠",0,"",0,0,1,0,0
2000063,"邪教宝珠",0,"",0,0,1,0,0
2000064,"",0,"",0,0,1,0,0
2000065,"",0,"",0,0,1,0,0
2000066,"退出点",0,"",0,0,1,0,0
2000067,"邪教宝珠",0,"",0,0,1,0,0
2000068,"",0,"",0,0,1,0,0
2000069,"",0,"",0,0,1,0,0
2000070,"香台",0,"",0,0,1,0,0
2000071,"香台",0,"",0,0,1,0,0
2000072,"传唤铃",0,"",0,0,1,0,0
