key,0,1,2
#,,,
int32,byte,bit&01,str
0,4,True,""
1,7,False,"魔导装甲的残骸。
这里难道经历了激烈的战斗？"
2,7,False,"久经使用的剑和盾。
看起来不像是加雷马帝国军的装备。
它们的主人究竟是谁？"
3,4,True,"好像是西德年轻时记录的卫月观测数据。
上面书写着整整齐齐的文字和复杂的公式。

根据西德推测，
卫月拥有收集太阳能后进行转换、输送的机能。

如果在未做好接收准备的情况下启动卫月，
积蓄了数千年的庞大能量将会从天而降，
造成重大的事故。"
4,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……"
5,7,False,"脚部不良の魔導リーパーだ。
先程の戦闘で消耗し、もう使用できないようだ……。"
6,7,False,"すでに事切れている。
自分自身の身体でなら、救えたかもしれない……。

キャンプ・ブロークングラスに急ぎ、ゼノスの凶行を阻止しよう。"
7,7,False,"看样子是遭到了被控制的帝国兵袭击，已经咽气了。
从怀中搜到了军用恢复药。"
8,7,False,"看样子是曾经拼命抵抗过，但已经咽气了。
从怀中搜到了军用恢复药。"
9,7,False,"腿部受损的魔导死神。
机器还留有余温，不久之前应该还被人驾驶过。
如果有认证秘钥和燃料应该可以启动。
使用这台机器的魔导加农炮，
也许能扫清正面的敌人……"
10,7,False,"腿部受损的魔导死神。
使用了认证秘钥，但因为缺少燃料无法启动。
寻找魔导死神的残骸，搜索燃料。"
11,7,False,"魔导死神的残骸。
驾驶席的量表显示还残留着燃料。
看样子可以拆下青磷水箱。"
12,7,False,"腿部受损的魔导死神。
在刚才的战斗中彻底损毁，失去了战斗能力。"
13,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……"
14,7,False,"魔导死神的残骸。
驾驶席的量表显示还残留着燃料，
但受损十分严重，已经无法再次使用了……"
15,7,False,"已经咽气了。
如果是自己的身体，是否能拯救他呢……"
16,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……"
17,7,False,"疑似是新兵的帝国兵已经咽气了。
从怀中搜到了军用恢复药。"
18,7,False,"魅了された帝国兵が「軍用ポーション」を持っていた！


このクエストバトルでは、通常時の戦闘能力を発揮できません。
そのため、なるべく戦闘を回避しながら、
キャンプ・ブロークングラスに向かうことを推奨します。
一度、発見されて戦闘状態に陥ると、
魅了された帝国兵や魔導兵器は、執拗に追跡してきます。
特に魔導兵器は手強いため、生身で戦うのは危険です。
ＨＰは、コンテンツアクション「軍用ポーション」で回復できます。
使用回数に制限がありますが、敵兵や残骸などから、
追加獲得できるため、積極的に探してみましょう。"
19,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了帝国式强壮剂！"
20,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了军用恢复药！"
21,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了军用恢复药！"
22,7,False,"魔导死神的残骸。
受损十分严重，已经无法再次使用了……
从驾驶席搜到了军用恢复药！"
23,7,False,"已经咽气了。"
24,7,False,"看样子是从背后遭到了袭击，已经咽气了。
从怀中搜到了军用恢复药！"
25,7,False,"已经咽气了。"
26,7,False,"破烂的小麻袋。
从里面发现了军用恢复药！"
27,7,False,"破烂的小麻袋。
从里面发现了帝国式恢复剂！"
28,7,False,"腿部受损的魔导死神。
补充了燃料，但因为缺少认证秘钥无法启动。
搜索一下看看原本的驾驶员有没有躲在附近。"
29,7,False,"水面泛起了波纹，开始产生细小的气泡……
想象了一下叶小妖的幼崽在叶片的后面扎堆的情景。"
30,7,False,"在叶片的表面有被践踏的痕迹。
是谁在打水时留下的吗？"
31,7,False,"在水底发现了被植物寄生的动物尸骸。
是在寻找食物的时候迷路了吗？"
32,7,False,"发现了有轻微烧焦痕迹的水草。
很像是贤者的攻击术式留下的……"
33,7,False,"共通語で文章が刻まれている……


「創世の刻、猛き焔神、猛き我らに炎を授けん
　聖火授受、父祖より継がれし我らが炎、其の名を答えよ」"
34,7,False,"走り書きされた紙片が落ちている。
盗掘者のメモだろうか……？

翠の希少石
孔雀石の間　緑と黄の袋
瓦礫の上　隅の土"
