key,0,1,2,3
#,,,,
int32,int32,int32,byte,str
0,1,1,0,"未設定"
1,1,53,1,"<UIForeground>02</UIForeground><UIGlow>36</UIGlow>颜色1<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2,1,54,3,"<UIForeground>02</UIForeground><UIGlow>37</UIGlow>颜色3<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3,1,707,2,"<UIForeground>02</UIForeground><UIGlow>F202C3</UIGlow>颜色2<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
4,1,706,4,"<UIForeground>02</UIForeground><UIGlow>F202C2</UIGlow>颜色4<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
5,1,710,5,"<UIForeground>02</UIForeground><UIGlow>F202C6</UIGlow>颜色5<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6,1,570,6,"<UIForeground>02</UIForeground><UIGlow>F2023A</UIGlow>颜色6<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
7,1,709,7,"<UIForeground>02</UIForeground><UIGlow>F202C5</UIGlow>颜色7<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
8,1,708,8,"<UIForeground>02</UIForeground><UIGlow>F202C4</UIGlow>颜色8<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
9,1,704,9,"<UIForeground>02</UIForeground><UIGlow>F202C0</UIGlow>颜色9<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
10,1,705,10,"<UIForeground>02</UIForeground><UIGlow>F202C1</UIGlow>颜色10<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
11,1,703,11,"<UIForeground>02</UIForeground><UIGlow>F202BF</UIGlow>颜色11<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
12,1,700,12,"<UIForeground>02</UIForeground><UIGlow>F202BC</UIGlow>颜色12<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
13,1,701,13,"<UIForeground>02</UIForeground><UIGlow>F202BD</UIGlow>颜色13<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
14,1,702,14,"<UIForeground>02</UIForeground><UIGlow>F202BE</UIGlow>颜色14<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
15,0,0,0,""
16,0,0,0,""
17,0,0,0,""
18,0,0,0,""
19,0,0,0,""
20,0,0,0,""
