key,0
#,URL
int32,str
0,""
1,"https://ff.web.sdo.com/finder"
2,"https://ff.web.sdo.com/bbs"
3,"https://ff.web.sdo.com/web8/index.html#/guide"
4,"https://ff.web.sdo.com/jobguide"
5,"https://ff.web.sdo.com/web8/index.html#/patchnote"
6,"http://ff.sdo.com/message"
7,"http://ff.sdo.com/message"
8,"http://act.ff.sdo.com/arenaRank/Wolf.aspx?keyid=1"
9,"http://act.ff.sdo.com/arenaRank/Wolf.aspx?keyid=2"
10,"http://act.ff.sdo.com/arenaRank/pvpteam/index.html"
11,"http://act.ff.sdo.com/project/20190917jobguid/index.html#/indexpvp"
12,"http://act.ff.sdo.com/project/ranklist/index.html?rank=solo"
13,"http://act.ff.sdo.com/project/ranklist/index.html?rank=party"
14,"http://act.ff.sdo.com/20181108deepdungeon2/index1.html?rank=solo"
15,"http://act.ff.sdo.com/20181108deepdungeon2/index1.html?rank=party"
16,"https://actff1.web.sdo.com/Project/20200601ishgardianranking/index.html"
17,"https://ff.web.sdo.com/web8/index.html#/patchnote"
18,"https://sqex.to/ffxiv-immerse-ch"
19,"https://qu.sdo.com/game/1"
20,"https://ff.web.sdo.com/crystalconflict"
21,"https://actff1.web.sdo.com/20230711deepdungeon3/index.html?rank=solo"
22,"https://actff1.web.sdo.com/20230711deepdungeon3/index.html?rank=party"
23,"https://actff1.web.sdo.com/project/170420deepdungeon/index.html"
24,"https://actff1.web.sdo.com/project/170420deepdungeon2/index.html"
25,"https://actff1.web.sdo.com/project/170420deepdungeon3/index.html"
26,"https://ff.web.sdo.com/mooglepart1"
27,"https://ff.web.sdo.com/mooglepart2"
28,"https://we.sdoprofile.com/common/static/register/public/privacy_sdo.html"
29,"https://ff.web.sdo.com/web8/index.html#/newstab/newscont/353993"
30,"https://we.sdoprofile.com/common/static/register/public/privacy_sdk.html"
31,"https://sqex.to/OOrr1"
