#,Unknown0,Unknown20,Unknown1,Unknown21,Unknown2,Unknown22,Unknown3,Unknown23,Unknown4,Unknown24,Unknown5,Unknown25,Unknown6,Unknown26,Unknown7,Unknown27,Unknown8,Unknown28,Unknown9,Unknown29,Unknown10,Unknown30,Unknown11,Unknown31,Unknown12,Unknown32,Unknown13,Unknown33,Unknown14,Unknown34,Unknown15,Unknown35,Unknown16,Unknown36,Unknown17,Unknown37,Unknown18,Unknown38,Unknown19,Unknown39
int32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,1,3,1,4,0,4,0,4,0,4,1,4,0,4,0,4,0,1,1,2,1,3,1,5,0,5,0,5,0,5,1,5,0,5,0,5,0
2,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
3,1,1,2,1,3,1,4,0,4,0,4,0,4,1,4,0,4,0,4,0,1,1,2,1,3,1,5,0,5,0,5,0,5,1,5,0,5,0,5,0
4,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
5,1,1,2,1,3,1,4,0,4,0,4,0,4,1,4,0,4,0,4,0,1,1,2,1,3,1,5,0,5,0,5,0,5,1,5,0,5,0,5,0
6,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
7,1,1,2,1,3,1,4,0,4,0,4,0,4,1,4,0,4,0,4,0,1,1,2,1,3,1,5,0,5,0,5,0,5,1,5,0,5,0,5,0
8,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
9,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
10,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
11,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
12,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0,1,1,4,0,4,1,4,0,2,1,4,2,4,0,3,1,4,2,4,0
