key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
#,Name,Description,LeveClient,,LeveAssignmentType,Town,ClassJobLevel,TimeLimit,AllowanceCost,PlaceName{Start},PlaceName{Issued},FishingSpot,,ClassJobCategory,JournalGenre,PlaceName{StartZone},Icon{CityState},DataId,CanCancel,MaxDifficulty,ExpFactor,ExpReward,GilReward,LeveRewardItem,LeveVfx,LeveVfx{Frame},Level{Levemete},Icon{Issuer},LockedLeve,Level{Start},BGM
int32,str,str,LeveClient,byte,LeveAssignmentType,Town,uint16,byte,byte,PlaceName,PlaceName,FishingSpot,byte,ClassJobCategory,JournalGenre,PlaceName,Image,Row,bit&01,byte,single,uint32,uint32,LeveRewardItem,LeveVfx,LeveVfx,Level,Image,bit&02,Level,BGM
0,"","",0,0,0,0,0,0,1,0,0,0,0,0,0,1,20011,0,True,0,1,0,0,0,0,0,0,0,True,0,14
1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
2,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
3,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
4,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
5,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
6,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
7,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
8,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
9,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
10,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
11,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
12,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
13,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
14,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
15,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
16,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
17,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
18,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
19,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
20,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,False,0,0
21,"制作委托：双蛇党用于训练的长枪","最近我们收到了双蛇党发来的订单，要订购一批用于新兵训练的长枪。双蛇党是我们重要的顾客，交货上绝对不能有半分耽搁。所以希望能有做事牢靠的工匠来参与制作。",9,6,5,2,1,0,1,39,39,0,0,9,269,39,80012,917649,True,0,1,1330,113,2,18,5,2257767,110007,True,0,14
22,"制作委托：廉价的木靴","柳桉木屐是格里达尼亚最受欢迎的木靴。无需使用华丽的装饰和高级的素材，请为我们制作实用又便宜的木靴。希望能有踏实肯干的工匠参与制作。",9,6,5,2,1,0,1,39,39,0,0,9,269,39,80012,917650,True,0,1,1690,113,2,18,5,2257767,110007,True,0,14
23,"筹集委托：新手工兵用的木靴","我们鬼哭队有一批新兵结束了训练成功被选拔为工兵。为了向他们表达出色完成训练的祝贺，同时也希望他们能够成为战友们的可靠支柱，我们准备向他们赠送一批木靴。希望接下这个委托的工匠能够做出具有纪念意义的佳品。",19,6,5,2,1,0,1,90,90,0,0,9,269,54,80012,917651,True,0,1,630,112,2,19,5,2648092,110010,True,0,14
24,"制作委托：新手斥候用的短弓","我们鬼哭队有一批新兵结束了训练成功被选拔为斥候。为了向他们表达出色完成训练的祝贺，同时也希望他们能够不放过任何一个目标，我们准备向他们赠送一批短弓。希望接下这个委托的工匠能够做出具有纪念意义的佳品。",19,6,5,2,1,0,1,90,90,0,0,9,269,54,80012,917655,True,0,1,1160,112,3,18,5,2648092,110010,True,0,14
25,"制作委托：新手卫兵用的木盾","我们鬼哭队有一批新兵结束了训练成功被选拔为重步兵。为了向他们表达出色完成训练的祝贺，同时也希望他们能够成为守护故乡的铁壁，我们准备向他们赠送一批木盾。希望接下这个委托的工匠能够做出具有纪念意义的佳品。",19,6,5,2,1,0,1,90,90,0,0,9,269,54,80012,917656,True,0,1,1690,113,3,18,5,2648092,110010,True,0,14
26,"筹集委托：用于乐器的枫木木材","“人工生命”是在格里达尼亚非常有名的一个吟游诗人团体，他们在少女们的心中有着非常高的地位。也拜他们所赐，现在格里达尼亚里竖琴的需求量大增。因此我们决定扩大生产量，急求职业工匠们来参与制作，我们会付出相应的报酬。",9,6,5,2,1,0,1,39,39,0,0,9,269,39,80012,917657,True,0,1,630,113,3,19,5,2257767,110007,True,0,14
27,"制作委托：双蛇党用于训练的长弓","最近我们收到了双蛇党发来的订单，要订购一批用于新兵训练的长弓。双蛇党是我们重要的顾客，交货上绝对不能有半分耽搁。所以希望能有做事牢靠的工匠来参与制作。",9,6,5,2,5,0,1,39,39,0,0,9,269,39,80012,917652,True,0,1,4110,140,4,18,5,2257767,110007,True,0,14
28,"制作委托：冒险者用的木盾","现在冒险者的数量有逐渐增加的倾向，因而木盾的销售情况也越来越可观。我们黑兔堂为了对应这种需求多样化的情况，制定了扩大经营的范围以及储备的方针。希望有技术和经验的工匠们不要错过这次商机。",9,6,5,2,5,0,1,39,39,0,0,9,269,39,80012,917653,True,0,1,6840,168,4,18,5,2257767,110007,True,0,14
29,"筹集委托：新手卫生兵用的幻具","我们鬼哭队有一批新兵结束了训练成功被选拔为卫生兵。为了向他们表达出色完成训练的祝贺，同时也希望他们能够救助战友们的生命，我们准备向他们赠送一批幻具。希望接下这个委托的工匠能够做出具有纪念意义的佳品。",19,6,5,2,5,0,1,90,90,0,0,9,269,54,80012,917654,True,0,1,2790,139,4,19,5,2648092,110010,True,0,14
30,"制作委托：用于新兵训练的长枪","烤饼练兵为了提高新兵的素质，准备在基础训练中同时开放枪术与弓术的课程。现需要最基本的长枪作为武器。希望有热心的工匠能够来参与制作。",19,6,5,2,5,0,1,90,90,0,0,9,269,54,80012,917658,True,0,1,5220,140,5,18,5,2648092,110010,True,0,14
31,"制作委托：用于模拟战的木剑","鸟人族是我们格里达尼亚的强敌，而他们最善用的武器就是剑。因此负责训练的教官为了让新兵熟悉其战斗方式会准备对假想敌人的模拟战。为了下次模拟战中扮演鸟人一方的教官能够有武器可用，希望能有热心工匠提供一批木剑，我们会支付相应的报酬。",19,6,5,2,5,0,1,90,90,0,0,9,269,54,80012,917659,True,0,1,2490,170,5,18,5,2648092,110010,True,0,14
32,"筹集委托：廉价的幻具","最近幻术师行会对招了不少新人，需要一批价格比较低的幻具来给新人使用。虽然这是绝好的商机，不过我们现在库存比较紧张，希望能尽快有职业工匠来参与制作。",9,6,5,2,5,0,1,39,39,0,0,9,269,39,80012,917660,True,0,1,3600,139,5,19,5,2257767,110007,True,0,14
33,"制作委托：廉价的木制幻具","由于城中来了很多想要学习幻术的新人冒险者，现在廉价的木制幻具非常畅销，甚至导致库存变得紧张。因此现在黑兔堂正在协力招募工匠加紧生产。有兴趣的工匠不妨关注一下。",9,6,5,2,10,0,1,39,39,0,0,9,269,39,80012,917523,True,0,1,4280,170,6,18,5,2257767,110007,True,0,14
34,"制作委托：面向雕金匠的制作工具","随着来自乌尔达哈的商人也在黑檀商店街搭起了店铺，其中的一些雕金匠向我们黑兔堂下了制作工具的订单。这无论对于黑兔堂还是对于格里达尼亚来说都是绝佳的商机，而且也能表达出对乌尔达哈的友好。希望能有技术娴熟的工匠来协助我们。",9,6,5,2,10,0,1,39,39,0,0,9,269,39,80012,917524,True,0,1,7880,170,6,18,5,2257767,110007,True,0,14
