key,0
#,Description
int32,str
0,""
1,"耐力值增加8点"
2,"耐力值增加16点"
3,"耐力值增加24点"
4,"耐力值增加8点"
5,"耐力值增加16点"
6,"耐力值增加24点"
7,"力量值增加8点"
8,"力量值增加16点"
9,"力量值增加24点"
10,"疾风迅雷可以累积到2档"
11,"疾风迅雷可以累积到3档"
12,"力量值增加8点"
13,"力量值增加16点"
14,"力量值增加24点"
15,"灵巧值增加8点"
16,"灵巧值增加16点"
17,"为自身附加<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>直线射击预备<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状态
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>持续时间：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>10秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>发动条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>强力射击（发动几率20%）"
18,"除自动攻击外的技能造成的伤害提高至基本伤害的1.1倍"
19,"灵巧值增加24点"
20,"除自动攻击外的技能造成的伤害提高至基本伤害的1.2倍"
21,"精神值增加8点"
22,"精神值增加16点"
23,"除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍"
24,"精神值增加24点"
25,"下次咏唱的救疗不消耗魔力
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>持续时间：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>15秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>发动条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>治疗（发动几率15%）"
26,"除自动攻击外的技能造成的伤害提高至基本值的1.3倍，恢复技能的恢复量也提高至基本值的1.3倍"
27,"智力值增加8点"
28,"智力值增加16点"
29,"除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍
星极火与灵极冰可以累积到2档"
30,"智力值增加24点"
31,"除自动攻击外的技能造成的伤害提高至基本值的1.3倍，恢复技能的恢复量也提高至基本值的1.3倍
星极火与灵极冰可以累积到3档
在3档的状态下，相反属性的魔法咏唱时间减半"
32,"下次咏唱爆炎时不需要咏唱时间也不会消耗魔力
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>持续时间：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>18秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>发动条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>火炎（发动几率40%）"
33,"下次咏唱的闪雷、震雷、暴雷、霹雷在命中时额外追加持续伤害总量的伤害，并且咏唱时间与消耗魔力均为0
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>持续时间：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>18秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>发动条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>闪雷、暴雷的持续伤害起效时（发动几率10%）或震雷、霹雷的持续伤害起效时（发动几率3%）"
34,"转换到园艺工职业时自动发动三角测量的效果"
35,"利用潜行可以回避的怪物等级提高到30级"
36,"利用潜行可以回避的怪物等级提高到40级"
37,"利用潜行可以回避的怪物等级提高到50级"
38,"转换到采矿工职业时自动发动矿脉勘探的效果"
39,"利用潜行可以回避的怪物等级提高到30级"
40,"利用潜行可以回避的怪物等级提高到40级"
41,"利用潜行可以回避的怪物等级提高到50级"
42,"能够发现良材及草场在获得率方面的特殊性质"
43,"能够发现良材及草场在采集次数方面的特殊性质"
44,"能够发现良材及草场在优质获得率方面的特殊性质"
45,"能够发现良材及草场在获得个数方面的特殊性质"
46,"在十二神加护效果下提高获取水晶的数量"
47,"在十二神加护效果下提高获取晶簇的数量"
48,"能够发现矿脉及石场在获得率方面的特殊性质"
49,"能够发现矿脉及石场在采集次数方面的特殊性质"
50,"能够发现矿脉及石场在优质获得率方面的特殊性质"
51,"能够发现矿脉及石场在获得个数方面的特殊性质"
52,"在十二神加护效果下提高获取水晶的数量"
53,"在十二神加护效果下提高获取晶簇的数量"
54,"在沙海钓场也能抛竿钓鱼"
55,"在云海钓场也能抛竿钓鱼"
56,"利用潜行可以回避的怪物等级提高到30级"
57,"利用潜行可以回避的怪物等级提高到40级"
58,"利用潜行可以回避的怪物等级提高到50级"
59,"能够发现最高15级的鱼洞"
60,"能够发现最高35级的鱼洞"
61,"能够发现最高50级的鱼洞"
62,"可以将通过以小钓大钓到的鱼继续作为鱼饵"
63,"发动以太超流时，自身会附加一档<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>以太超流<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状态"
64,"智力值增加8点"
65,"智力值增加16点"
66,"自身与召唤兽除自动攻击外的技能造成的伤害提高至基本值的1.1倍，恢复技能的恢复量也提高至基本值的1.1倍"
67,"发动以太超流时，自身会附加二档<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>以太超流<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状态"
