#,Text,
int32,str,str
0,"讨伐1只<Sheet(BNpcName,13089,0)/>",""
1,"讨伐1只<Sheet(BNpcName,13080,0)/>",""
2,"讨伐1只<Sheet(BNpcName,13096,0)/>",""
3,"讨伐1只<Sheet(BNpcName,13099,0)/>",""
4,"危命任务中获得最高评价：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
5,"讨伐1只<Sheet(BNpcName,12931,0)/>",""
6,"讨伐1只<Sheet(BNpcName,12941,0)/>",""
7,"讨伐1只<Sheet(BNpcName,12949,0)/>",""
8,"讨伐1只<Sheet(BNpcName,12943,0)/>",""
9,"危命任务中获得最高评价：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
10,"讨伐1只<Sheet(BNpcName,12956,0)/>",""
11,"讨伐1只<Sheet(BNpcName,12960,0)/>",""
12,"讨伐1只<Sheet(BNpcName,12964,0)/>",""
13,"讨伐1只<Sheet(BNpcName,12966,0)/>",""
14,"危命任务中获得最高评价：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
15,"讨伐1只<Sheet(BNpcName,12972,0)/>",""
16,"讨伐1只<Sheet(BNpcName,12989,0)/>",""
17,"讨伐1只<Sheet(BNpcName,12991,0)/>",""
18,"讨伐1只<Sheet(BNpcName,12973,0)/>",""
19,"危命任务中获得最高评价：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
20,"讨伐1只<Sheet(BNpcName,13116,0)/>",""
21,"讨伐1只<Sheet(BNpcName,13113,0)/>",""
22,"讨伐1只<Sheet(BNpcName,13104,0)/>",""
23,"讨伐1只<Sheet(BNpcName,13110,0)/>",""
24,"危命任务中获得最高评价：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
25,"讨伐1只<Sheet(BNpcName,13121,0)/>",""
26,"讨伐1只<Sheet(BNpcName,13129,0)/>",""
27,"讨伐1只<Sheet(BNpcName,13136,0)/>",""
28,"讨伐1只<Sheet(BNpcName,13124,0)/>",""
29,"危命任务中获得最高评价：<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>",""
30,"完成<Sheet(InstanceContent,94,3)/>",""
31,"完成<Sheet(InstanceContent,92,3)/>",""
32,"完成<Sheet(InstanceContent,96,3)/>",""
33,"完成<Sheet(InstanceContent,97,3)/>",""
34,"完成<Sheet(InstanceContent,93,3)/>",""
35,"完成<Sheet(InstanceContent,95,3)/>",""
36,"完成<Sheet(InstanceContent,98,3)/>","需要推进支线任务“荒野秘境仙人刺谷”才能解锁此任务。"
37,"完成<Sheet(InstanceContent,99,3)/>","需要推进支线任务“噩梦乐园迷途鬼区”才能解锁此任务。"
38,"完成<Sheet(InstanceContent,100,3)/>","需要推进特定主线任务才能解锁此任务。"
39,"完成<Sheet(InstanceContent,101,3)/>","需要推进特定主线任务才能解锁此任务。"
40,"完成<Sheet(InstanceContent,102,3)/>","需要推进特定主线任务才能解锁此任务。"
41,"完成<Sheet(InstanceContent,103,3)/>","需要推进特定主线任务才能解锁此任务。"
42,"完成<Sheet(InstanceContent,104,3)/>","需要推进特定主线任务才能解锁此任务。"
43,"完成<Sheet(InstanceContent,30144,3)/>","需要推进编年史任务“交错的世界”才能解锁此任务。"
44,"完成<Sheet(InstanceContent,30153,3)/>","需要推进编年史任务“万年梦境的回响”才能解锁此任务。"
45,"完成<Sheet(InstanceContent,30163,3)/>","需要推进编年史任务“虚无之王”才能解锁此任务。"
46,"完成<Sheet(InstanceContent,20093,3)/>",""
47,"完成<Sheet(InstanceContent,20096,3)/>",""
48,"完成<Sheet(InstanceContent,20095,3)/>",""
49,"完成<Sheet(InstanceContent,20100,3)/>","需要推进特定主线任务才能解锁此任务。"
50,"完成<Sheet(InstanceContent,20104,3)/>","需要推进特定主线任务才能解锁此任务。"
51,"完成<Sheet(InstanceContent,20106,3)/>","需要推进特定主线任务才能解锁此任务。"
52,"完成<Sheet(InstanceContent,20108,3)/>","需要推进特定主线任务才能解锁此任务。"
53,"完成轻量级1","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
54,"完成轻量级2","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
55,"完成轻量级3","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
56,"完成轻量级4","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
57,"完成中量级1","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
58,"完成中量级2","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
59,"完成中量级3","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
60,"完成中量级4","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
61,"完成重量级1","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
62,"完成重量级2","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
63,"完成重量级3","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
64,"完成重量级4","需要推进编年史任务“阿卡狄亚的挑战者”的后续特定任务才能解锁此任务。"
