key,0,1
#,,
int32,str,uint32
0.0,"",0
721028.0,"",3407
721028.1,"BGM_STAFF_ROLL_700",20025
721119.0,"",0
721119.1,__HEX__02,0
721119.2,"",0
721119.3,"",0
721119.4,"",0
721119.5,"",0
721119.6,"",0
721119.7,"",0
721536.0,"INVIS_ACTOR1",1045635
721730.0,"",67783
721730.1,"s",67740
721730.2,"VER31_MAKOSEN_QUEST",66737
721730.3,"AWA_QUEST",67699
721730.4,"VER20_MAIN_TATARU_QUEST",66045
721731.0,"",68717
721731.1,"�",68725
721731.2,"s",69190
721731.3,"",69552
721731.4,"�",69487
721731.5,"_QUEST",69620
721731.6,"_QUEST",69568
721731.7,"_MYC_RANK10_QUEST",70000
721731.8,"_RANK15_QUEST",68089
721731.9,"QUEST",68702
721731.10,"IN_QUEST",68610
721731.11,"ST",70071
721731.12,"AIN_QUEST",70269
721731.13,"VER635_DD3_OPEN_QUEST",70199
721737.0,"",70051
721737.1,"AKTKZH201",50
721737.2,"LOC_SE01",359
721751.0,"",67783
721751.1,"s",67740
721751.2,"�",66737
721751.3,"	FVER33_MAIN_QUEST",67699
721751.4,"AKOSEN_QUEST",66045
721751.5,"ER31_MAIN_QUEST",70721
721751.6,"IN_TATARU_QUEST",66046
721751.7,"T",66054
721751.8,"AIN_QUEST",66060
721751.9,"VER35_MHACH_QUEST",67910
721752.0,"",69190
721752.1,"^",69552
721752.2,"",68089
721752.3,"	",68702
721752.4,"_MAIN_QUEST",68610
721752.5,"T",68717
721752.6,"MAIN_QUEST",68725
721752.7,"EST",69487
721752.8,"K10_QUEST",69620
721752.9,"VER55_WERLYT_QUEST",69568
721816.0,"",49053
721816.1,"",49054
721816.2,"",49055
721816.3,"��",49056
721816.4,"SDG_STEP_14",49057
721816.5,"4",49058
721816.6,"STEP_14",49059
721816.7,"R_SDG_STEP_14",49060
721816.8,"_14",49061
721816.9,"G_STEP_14",49062
721816.10,"FSH_SDG_STEP_14",49063
