key,0,1,2,3,4,5,6,7,8
#,,Item,Location[0],Location[1],Location[2],Location[3],Location[4],Location[5],
int32,uint16,Item,TerritoryType,TerritoryType,TerritoryType,TerritoryType,TerritoryType,TerritoryType,str
0,0,0,0,0,0,0,0,0,""
1,200,15168,148,135,141,0,0,0,"　喵　"
2,201,15169,152,138,145,0,0,0,"萌给"
3,202,15170,153,139,146,0,0,0,"维斯"
4,203,15171,154,180,134,0,0,0,"夏天真是让人疲倦啊……"
5,204,15172,140,148,135,0,0,0,"太扯了吧～"
6,205,15173,141,152,138,0,0,0,"兹拉"
7,206,15174,145,153,139,0,0,0,"真可恶——！"
8,207,15175,146,154,180,0,0,0,"咻乒"
9,208,15176,134,140,148,0,0,0,"呼！！！"
10,209,15177,135,141,152,0,0,0,"武、武士的怜悯之心啊喵……"
11,210,15178,138,145,153,0,0,0,"出发吧～"
12,211,15179,139,146,154,0,0,0,"省电模式"
13,212,15180,180,134,140,0,0,0,"达尼"
14,392,30803,397,398,399,400,401,402,"阎魔大人！"
15,391,30804,397,398,399,400,401,402,"诸位，战斗吧！"
16,390,30805,612,613,614,620,621,622,"久等了！"
17,393,30806,612,613,614,620,621,622,"轮到我出场了～"
