#,Unknown22,Unknown23,Unknown24,Unknown20,Unknown34,Unknown25,Unknown26,Unknown21,Unknown27,Unknown28,Unknown29,Unknown30,Unknown3,Unknown8,Unknown13,Unknown18,Unknown4,Unknown9,Unknown14,Unknown19,Unknown1,Unknown6,Unknown11,Unknown16,Unknown2,Unknown7,Unknown12,Unknown17,Unknown0,Unknown5,Unknown10,Unknown15,Unknown31,Unknown32,Unknown33
int32,byte,byte,byte,int32,bit&01,byte,byte,int32,byte,byte,byte,byte,bit&01,bit&01,bit&01,bit&01,bit&02,bit&02,bit&02,bit&02,byte,byte,byte,byte,byte,byte,byte,byte,int32,int32,int32,int32,byte,byte,byte
0,1,1,0,0,False,0,0,0,0,1,1,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,False,2,0,2,3,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
2,3,1,1,1,False,2,0,3,3,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
3,6,2,1,1,False,2,0,4,3,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
4,1,1,1,1,False,2,0,2,0,1,2,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
5,3,1,1,1,False,2,0,3,0,1,2,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
6,7,2,1,1,False,2,0,4,0,1,2,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
7,1,1,1,2,False,2,0,2,2,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
8,3,1,1,2,False,2,0,3,2,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
9,6,2,1,2,False,2,0,4,2,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
10,2,1,1,1,False,2,0,2,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
11,3,1,1,1,False,2,0,3,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
12,4,2,1,1,False,2,0,4,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
13,5,3,1,1,False,2,0,5,0,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
14,8,4,1,1,False,2,0,10,0,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
15,15,5,1,1,True,15,0,15,0,2,2,0,True,False,False,False,False,False,False,False,10,0,0,0,4,0,0,0,2,0,0,0,0,0,0
16,15,5,1,1,True,15,0,15,0,2,1,0,True,False,False,False,False,False,False,False,10,0,0,0,4,0,0,0,1,0,0,0,0,1,0
17,5,4,1,1,False,2,0,6,6,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
18,7,5,1,1,False,2,0,7,6,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
19,10,5,1,1,False,2,0,8,6,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
20,5,4,1,1,False,2,0,6,5,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
21,8,5,1,1,False,2,0,7,5,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
22,10,5,1,1,False,2,0,8,5,1,1,0,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,1,0
23,10,6,1,1,False,2,0,7,4,2,2,0,True,True,False,False,False,False,False,False,9,10,0,0,5,4,0,0,0,2,0,0,0,1,0
24,12,7,1,1,False,2,0,8,4,2,2,0,True,True,False,False,False,False,False,False,9,10,0,0,5,4,0,0,0,2,0,0,0,1,0
25,15,10,1,1,False,2,0,9,4,2,2,0,True,True,False,False,False,False,False,False,9,10,0,0,5,4,0,0,0,2,0,0,0,1,0
26,6,4,1,2,False,2,0,7,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
27,8,5,1,2,False,2,0,8,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
28,10,7,1,2,False,2,0,9,4,1,1,7,True,True,False,False,False,False,False,False,9,15,0,0,5,1,0,0,0,0,0,0,0,1,0
29,8,6,1,1,False,2,0,7,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
30,12,8,1,1,False,2,0,8,1,1,1,8,True,False,False,False,False,False,False,False,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0
31,12,8,1,1,False,2,0,15,3,2,2,0,True,True,False,False,False,False,False,False,9,12,0,0,5,4,0,0,0,2,0,0,0,1,0
32,16,10,1,1,False,2,0,20,3,2,2,0,True,True,False,False,False,False,False,False,9,12,0,0,5,4,0,0,0,2,0,0,0,1,0
33,30,15,1,1,True,30,0,30,1,2,2,0,True,True,False,False,False,False,False,False,13,16,0,0,2,4,0,0,10,1,0,0,0,1,0
34,11,7,1,1,False,2,0,11,11,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
35,13,7,1,1,False,2,0,12,11,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
36,15,9,1,1,False,2,0,13,11,1,1,0,True,True,False,False,False,False,False,False,9,14,0,0,5,4,0,0,0,2,0,0,0,1,0
37,10,9,1,2,False,2,0,11,8,1,1,0,True,True,False,False,False,False,False,False,9,10,0,0,5,2,0,0,0,4,0,0,0,1,0
