key,0,1,2,3
#,,,,
int32,str,int32,int32,byte
0,"",0,0,0
1,"战队“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”成立了。",0,1,0
2,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>加入了战队。",2,0,0
3,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>退出了战队。",2,0,0
4,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>退出了战队。",2,0,0
5,"",2,0,0
6,"",2,0,0
7,"战队名已被修改为“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”。",0,1,0
8,"战队队徽已变更。",0,0,0
9,"战队段位已升至“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”。",0,3,0
10,"战队段位已降至“<If(PlayerParameter(8))><Sheet(ObjStr,PlayerParameter(8),0)/><Else/>ObjectParameter(3)</If>”。",0,3,0
11,"新的赛季开始了。",0,0,0
12,"因为队长已经离开一定期间，<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>被任命为战队队长。",2,0,0
13,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>被任命为战队副队长。",2,0,0
14,"<If(PlayerParameter(7))><Sheet(ObjStr,PlayerParameter(7),0)/><Else/>ObjectParameter(2)</If>被移交了战队队长职务。",2,0,0
