key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,Command,ShortCommand,Description,Alias,ShortAlias,Param,
int32,byte,byte,sbyte,sbyte,sbyte,str,str,str,str,str,TextCommandParam,uint32
0,0,0,0,0,0,"","","","","",0,0
1,1,0,0,0,0,"/record","","/任务回顾
/replay、/record
打开任务回顾窗口。","/任务回顾","/replay",32,0
2,2,1,0,0,0,"/recordready","","/记录准备确认 子命令
/replayready、/recordready
发起记录准备确认。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>秒数(5-30)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
发起记录准备确认，全员通过后开启战斗开始倒计时。记录准备确认完毕后再次使用时功能将变为普通的准备确认加战斗开始倒计时。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>无子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
打开记录准备确认窗口。","/记录准备确认","/replayready",0,0
3,1,0,0,0,0,"/pvpteamcmd","","/战队命令
/pvpteamcmd
打开战队窗口。","/战队命令","",0,0
4,1,0,0,0,0,"/saddlebag","","/陆行鸟鞍囊
/chocobobag、/saddlebag
打开陆行鸟鞍囊。","/陆行鸟鞍囊","/chocobobag",0,0
5,1,0,0,0,0,"/magiaright","","/魔素板顺时旋转
/magiaright
顺时针转动魔素板。","/魔素板顺时旋转","/magiaright",0,0
6,1,0,0,0,0,"/magialeft","","/魔素板逆时旋转
/magialeft
逆时针转动魔素板。","/魔素板逆时旋转","/magialeft",0,0
7,1,0,0,0,0,"/cwlinkshellcmd","/cwlcmd","/跨服贝命令(/跨服贝)
/cwlinkshellcmd、/cwlcmd
打开跨服通讯贝窗口。","/跨服贝命令","/跨服贝",0,0
8,3,1,17,0,0,"/quickchat","/qchat","/快捷发言 快捷发言名 代名词
/quickchat、/qchat
进行快捷发言。
※只能在水晶冲突中使用。
>>示例
/快捷发言 攻击
发送快捷发言“攻击”。
/快捷发言 攻击目标 <目标>
发送快捷发言“攻击目标”加上当前所选目标的名字。","/快捷发言","/qchat",1021,0
9,4,3,2,18,2,"/bluespellbook","","/青魔法书 子命令
/bluespellbook
对青魔法进行有效技能设置。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>设置 青魔法名 开<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
将指定青魔法设为有效技能。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>设置 青魔法名 关<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
将指定青魔法从有效技能中解除。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>预设 有效技能组序号(1-5)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
换上指定序号的有效技能组。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>撤除<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
将当前设置的有效技能全解除。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>无子命令<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
开启或关闭青魔法书。

>>示例
/青魔法书 设置 水炮
将青魔法水炮设为有效技能或从有效技能中解除。
/青魔法书 预设 2
将有效技能变为预设好的有效技能组2。","/青魔法书","/bluespellbook",36,0
10,2,1,2,0,0,"/magiaattack","","/魔素板攻势 代名词
/magiaattack
将魔素板的属性切换为攻击时克制当前目标的属性。代名词可省略。

>>示例
/魔素板攻势 <目标>
将魔素板的属性切换为攻击时克制当前目标的属性。","/魔素板攻势","",0,0
11,2,1,2,0,0,"/magiadefense","","/魔素板守势 代名词
/magiadefense
将魔素板的属性切换为与当前目标相同的属性利于防御。代名词可省略。

>>示例
/魔素板守势 <目标>
将魔素板的属性切换为与当前目标相同的属性。","/魔素板守势","",0,0
12,2,1,2,0,0,"/magiaauto","","/魔素板自动 子命令
/magiaauto
修改魔素板的自动调整设定。启用时会在选中目标后自动切换魔素属性。
>>子命令
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>攻势(atk)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
向利于攻击的属性自动调整。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>守势(def)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
向利于防御的属性自动调整。
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>关(off)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
关闭自动调整功能。

>>示例
/魔素板自动 攻势
选中敌人时魔素板会自动切换到利于攻击的属性。","/魔素板自动","",0,0
13,1,0,0,0,0,"/cwlinkshell1","/cwl1","/跨服贝频道1(/跨1) 发言内容
/cwlinkshell1、/cwl1
向跨服通讯贝频道1内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道1(/跨1)”可将默认聊天频道变更为跨服通讯贝频道1。
>>示例

/跨1 大家好！
在跨服通讯贝频道1中发送消息“大家好！”。
/跨1
将默认聊天频道变更为跨服通讯贝频道1。","/跨服贝频道1","/跨1",1021,0
14,1,0,0,0,0,"/cwlinkshell2","/cwl2","/跨服贝频道2(/跨2) 发言内容
/cwlinkshell2、/cwl2
向跨服通讯贝频道2内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道2(/跨2)”可将默认聊天频道变更为跨服通讯贝频道2。
>>示例

/跨2 大家好！
在跨服通讯贝频道2中发送消息“大家好！”。
/跨2
将默认聊天频道变更为跨服通讯贝频道2。","/跨服贝频道2","/跨2",1021,0
15,1,0,0,0,0,"/cwlinkshell3","/cwl3","/跨服贝频道3(/跨3) 发言内容
/cwlinkshell3、/cwl3
向跨服通讯贝频道3内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道3(/跨3)”可将默认聊天频道变更为跨服通讯贝频道3。
>>示例

/跨3 大家好！
在跨服通讯贝频道3中发送消息“大家好！”。
/跨3
将默认聊天频道变更为跨服通讯贝频道3。","/跨服贝频道3","/跨3",1021,0
16,1,0,0,0,0,"/cwlinkshell4","/cwl4","/跨服贝频道4(/跨4) 发言内容
/cwlinkshell4、/cwl4
向跨服通讯贝频道4内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道4(/跨4)”可将默认聊天频道变更为跨服通讯贝频道4。
>>示例

/跨4 大家好！
在跨服通讯贝频道4中发送消息“大家好！”。
/跨4
将默认聊天频道变更为跨服通讯贝频道4。","/跨服贝频道4","/跨4",1021,0
17,1,0,0,0,0,"/cwlinkshell5","/cwl5","/跨服贝频道5(/跨5) 发言内容
/cwlinkshell5、/cwl5
向跨服通讯贝频道5内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道5(/跨5)”可将默认聊天频道变更为跨服通讯贝频道5。
>>示例

/跨5 大家好！
在跨服通讯贝频道5中发送消息“大家好！”。
/跨5
将默认聊天频道变更为跨服通讯贝频道5。","/跨服贝频道5","/跨5",1021,0
18,1,0,0,0,0,"/cwlinkshell6","/cwl6","/跨服贝频道6(/跨6) 发言内容
/cwlinkshell6、/cwl6
向跨服通讯贝频道6内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道6(/跨6)”可将默认聊天频道变更为跨服通讯贝频道6。
>>示例

/跨6 大家好！
在跨服通讯贝频道6中发送消息“大家好！”。
/跨6
将默认聊天频道变更为跨服通讯贝频道6。","/跨服贝频道6","/跨6",1021,0
19,1,0,0,0,0,"/cwlinkshell7","/cwl7","/跨服贝频道7(/跨7) 发言内容
/cwlinkshell7、/cwl7
向跨服通讯贝频道7内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道7(/跨7)”可将默认聊天频道变更为跨服通讯贝频道7。
>>示例

/跨7 大家好！
在跨服通讯贝频道7中发送消息“大家好！”。
/跨7
将默认聊天频道变更为跨服通讯贝频道7。","/跨服贝频道7","/跨7",1021,0
20,1,0,0,0,0,"/cwlinkshell8","/cwl8","/跨服贝频道8(/跨8) 发言内容
/cwlinkshell8、/cwl8
向跨服通讯贝频道8内的玩家发送聊天消息，无论离多远、是不是在同一地图都可以看到。
只输入“/跨服贝频道8(/跨8)”可将默认聊天频道变更为跨服通讯贝频道8。
>>示例

/跨8 大家好！
在跨服通讯贝频道8中发送消息“大家好！”。
/跨8
将默认聊天频道变更为跨服通讯贝频道8。","/跨服贝频道8","/跨8",1021,0
21,2,0,0,0,0,"/graphicpresets","/gpresets","/图像设置预设 预设组编号
/graphicpresets、/gpreset
将图像设置切换为预设设置。

>>预设组编号（1-5）
1：标准品质（笔记本电脑）
2：标准品质（台式电脑）
3：高品质（笔记本电脑）
4：高品质（台式电脑）
5：最高品质

示例
/图像设置预设 1
将图像设置切换为“标准品质（笔记本电脑）”。","/图像设置预设","",993,0
22,1,0,0,0,0,"/fellowship","/fs","/同好会
/fellowship、/fs
打开同好会窗口。","/同好会","",32,0
23,1,0,0,0,0,"/fellowshipfinder","/fsfinder","/同好招募
/fellowshipfinder、/fsfinder
打开同好招募窗口。","/同好招募","",32,0
24,1,0,0,0,0,"/collection","/coll","/重要物品
/collection、/coll
打开重要物品窗口。","/重要物品","",32,0
25,1,0,0,0,0,"/newgame+","/ng+","/昔日重现模式
/newgame+、/ng+
打开昔日重现模式窗口。","/昔日重现模式","",32,0
26,2,1,2,0,0,"/dice","","/掷骰 聊天频道 上限值
/dice
从0～999中随机抽取一个数字发送到当前或指定聊天频道。
>>可指定频道：
小队(party)
团队(alliance)
部队(freecompany)
战队(pvpteam)
通讯贝1-8(linkshell1-8)
跨服贝1-8(cwlinkshell1-8)
省略输入指定频道时，会在当前频道发言。
※设成宏使用时必须指定聊天频道。

>>上限值（2～999）
在随机抽选数字时指定上限值。指定上限值后，数字将从（1～上限值）的范围内抽选。省略上限值时则从（0～999）的范围内进行抽选。
>>示例
/掷骰
在当前聊天频道发送随机掷骰数字。
/掷骰 16
在当前聊天频道发送从1～16范围内的随机掷骰数字。
/掷骰 跨服贝1
在跨服通讯贝1发送随机掷骰数字。
/掷骰 跨服贝1 16
在跨服通讯贝1～16中发送随机掷骰数字。","/掷骰","",36,1000
27,0,0,0,0,0,"","","","","",0,0
