key,0,1,2,3
#,,,,
int32,uint16,int32,str,str
0,1,0,"",""
1,282,82107,"海雾村风格","拉诺西亚样式小型住宅的装修风格
防潮措施非常完善"
2,283,82108,"海雾村风格","拉诺西亚样式中型住宅的装修风格
防潮措施非常完善"
3,284,82109,"海雾村风格","拉诺西亚样式大型住宅的装修风格
防潮措施非常完善"
4,342,82104,"薰衣草苗圃风格","黑衣森林样式小型住宅的装修风格
充分使用了黑衣森林的森林资源"
5,343,82105,"薰衣草苗圃风格","黑衣森林样式中型住宅的装修风格
充分使用了黑衣森林的森林资源"
6,344,82106,"薰衣草苗圃风格","黑衣森林样式大型住宅的装修风格
充分使用了黑衣森林的森林资源"
7,345,82101,"高脚孤丘风格","萨纳兰样式小型住宅的装修风格
降低了昼夜温差对室内的影响"
8,346,82102,"高脚孤丘风格","萨纳兰样式中型住宅的装修风格
降低了昼夜温差对室内的影响"
9,347,82103,"高脚孤丘风格","萨纳兰样式大型住宅的装修风格
降低了昼夜温差对室内的影响"
10,649,82113,"白银乡风格","东方样式小型住宅的装修风格
使用了能适应四季变迁的工艺与建材"
11,650,82114,"白银乡风格","东方样式中型住宅的装修风格
使用了能适应四季变迁的工艺与建材"
12,651,82115,"白银乡风格","东方样式大型住宅的装修风格
使用了能适应四季变迁的工艺与建材"
13,980,82110,"穹顶皓天风格","库尔札斯样式小型住宅的装修风格
配备了对抗严寒的各项住宅机能"
14,981,82111,"穹顶皓天风格","库尔札斯样式中型住宅的装修风格
配备了对抗严寒的各项住宅机能"
15,982,82112,"穹顶皓天风格","库尔札斯样式大型住宅的装修风格
配备了对抗严寒的各项住宅机能"
16,1249,82116,"简装风格","小型住宅用极简主义装修风格
使用特殊的建筑手法减少了支柱与房梁，让屋内看起来通透开阔"
17,1250,82117,"简装风格","中型住宅用极简主义装修风格
使用特殊的建筑手法减少了支柱与房梁，让屋内看起来通透开阔"
18,1251,82118,"简装风格","大型住宅用极简主义装修风格
使用特殊的建筑手法减少了支柱与房梁，让屋内看起来通透开阔"
