key,0,1,2,3,4,5,6,7,8
#,TargetLocations[0],TargetLocations[1],TargetLocations[2],TargetLocations[3],TargetLocations[4],TargetLocations[5],TargetLocations[6],TargetLocations[7],PlaceName
int32,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,ChocoboTaxi,str
1179648,1,0,0,0,0,0,0,0,"剧情君1"
1179649,0,0,0,0,0,0,0,0,"剧情君2"
1179650,16,2,4,18,8,12,0,0,"格里达尼亚"
1179651,6,0,0,0,0,0,0,0,"霍桑山寨"
1179652,21,24,0,0,0,0,0,0,"巴斯卡隆酒家"
1179653,10,25,23,0,0,0,0,0,"石场水车"
1179654,14,20,22,108,0,0,0,0,"恬静路营地"
1179655,17,27,0,0,0,0,0,0,"林场水车"
1179656,19,26,94,0,0,0,0,0,"秋瓜浮村"
1179657,3,0,0,0,0,0,0,0,"弯枝牧场"
1179658,42,32,44,30,48,52,38,28,"乌尔达哈"
1179659,33,36,34,0,0,0,0,0,"地平关"
1179660,31,37,0,0,0,0,0,0,"黄昏湾"
1179661,29,35,0,0,0,0,0,0,"白银集市"
1179662,43,0,0,0,0,0,0,0,"黑尘驿站"
1179663,46,56,110,0,0,0,0,0,"枯骨营地"
1179664,50,58,0,0,0,0,0,0,"小阿拉米格"
1179665,54,59,0,0,0,0,0,0,"遗忘绿洲"
1179666,40,60,0,0,0,0,0,0,"蓝雾营地"
1179667,57,0,0,0,0,0,0,0,"黄金集市"
1179668,61,0,0,0,0,0,0,0,"青磷精炼所"
1179669,62,88,64,86,68,72,76,82,"利姆萨·罗敏萨"
1179670,63,0,0,0,0,0,0,0,"盛夏农庄"
1179671,66,93,0,0,0,0,0,0,"雨燕塔殖民地"
1179672,70,92,0,0,0,0,0,0,"小麦酒港"
1179673,74,0,0,0,0,0,0,0,"葡萄酒港"
1179674,79,0,0,0,0,0,0,0,"石绿湖营地"
1179675,87,90,0,0,0,0,0,0,"莫拉比造船厂"
1179676,89,91,0,0,0,0,0,0,"赤血雄鸡农场"
1179677,84,0,0,0,0,0,0,0,"太阳海岸"
1179678,0,0,0,0,0,0,0,0,"（空き）"
1179679,98,0,0,0,0,0,0,0,"阿德内尔占星台"
1179680,99,101,102,96,0,0,0,0,"巨龙首营地"
1179681,100,0,0,0,0,0,0,0,"白云崖前哨"
1179682,104,106,0,0,0,0,0,0,"丧灵钟"
1179683,107,0,0,0,0,0,0,0,"圣寇伊纳克调查地"
1179684,140,0,0,0,0,0,0,0,"伊修加德基础层"
1179685,141,112,114,0,0,0,0,0,"隼巢"
1179686,113,118,0,0,0,0,0,0,"圣菲内雅连队露营地"
1179687,116,120,122,124,0,0,0,0,"尾羽集落"
1179688,123,128,0,0,0,0,0,0,"不洁三塔"
1179689,126,130,0,0,0,0,0,0,"游击野营地"
1179690,132,134,0,0,0,0,0,0,"莫古力之家"
1179691,135,136,0,0,0,0,0,0,"赎罪天廊"
1179692,137,133,0,0,0,0,0,0,"天极白垩宫"
1179693,138,0,0,0,0,0,0,0,"尊杜集落"
1179694,139,0,0,0,0,0,0,0,"云顶营地"
1179695,145,148,151,152,0,0,0,0,"神拳痕"
1179696,146,155,0,0,0,0,0,0,"帝国东方堡"
1179697,149,156,157,0,0,0,0,0,"对等石"
1179698,143,161,163,0,0,0,0,0,"阿拉加纳"
1179699,153,159,162,166,0,0,0,0,"阿拉基利"
1179700,165,168,169,0,0,0,0,0,"天营门"
1179701,170,0,0,0,0,0,0,0,"阿拉米格人居住区"
1179702,171,174,0,0,0,0,0,0,"黄金港"
1179703,172,177,179,195,0,0,0,0,"自凝岛"
1179704,175,178,183,0,0,0,0,0,"碧玉水"
1179705,181,185,187,0,0,0,0,0,"茨菰村"
1179706,188,189,201,0,0,0,0,0,"烈士庵"
1179707,191,193,197,206,0,0,0,0,"重逢集市"
1179708,198,203,0,0,0,0,0,0,"模儿衣楼"
1179709,199,205,204,0,0,0,0,0,"晨曦王座"
1179710,207,212,213,0,0,0,0,0,"图姆拉村"
1179711,208,209,216,0,0,0,0,0,"工匠村"
1179712,210,211,219,0,0,0,0,0,"滞潮村"
1179713,215,218,221,0,0,0,0,0,"游末邦"
1179714,222,224,0,0,0,0,0,0,"普拉恩尼茸洞"
1179715,223,227,0,0,0,0,0,0,"云村"
1179716,225,226,236,251,0,0,0,0,"群花馆"
1179717,229,0,0,0,0,0,0,0,"法诺村"
1179718,228,240,255,0,0,0,0,0,"蛇行枝"
1179719,230,247,262,267,0,0,0,0,"络尾聚落"
1179720,231,265,0,0,0,0,0,0,"鼹灵集市"
1179721,244,259,0,0,0,0,0,0,"水晶都"
1179722,233,249,253,257,260,0,0,0,"奥斯塔尔严命城"
1179723,232,234,238,242,245,0,0,0,"乔布要塞"
1179724,264,266,0,0,0,0,0,0,"上路客店"
1179725,288,291,294,0,0,0,0,0,"拉札罕"
1179726,280,283,286,0,0,0,0,0,"新港"
1179727,281,285,289,0,0,0,0,0,"代米尔遗烈乡"
1179728,282,284,292,0,0,0,0,0,"波洛伽护法村"
1179729,295,0,0,0,0,0,0,0,"碎璃营地"
1179730,296,0,0,0,0,0,0,0,"第三站"
1179731,305,308,311,0,0,0,0,0,"诡巧大厅"
1179732,297,301,303,0,0,0,0,0,"公堂保管院"
1179733,298,299,306,0,0,0,0,0,"小萨雷安"
1179734,302,300,309,0,0,0,0,0,"无路总部"
1179735,312,315,0,0,0,0,0,0,"图莱尤拉"
1179736,313,318,0,0,0,0,0,0,"瓦丘恩佩洛"
1179737,319,0,0,0,0,0,0,0,"沃拉的回响"
1179738,316,320,322,0,0,0,0,0,"哈努聚落"
1179739,321,324,0,0,0,0,0,0,"朋友的灯火"
1179740,323,325,0,0,0,0,0,0,"土陶郡"
