key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
int32,uint32,byte,byte,byte,byte,byte,uint16,uint16,byte,uint16,uint32
0.0,0,0,0,0,0,0,0,0,0,0,0
1.0,14531,2,1,2,2,3,1,2,7,247,242501
1.1,14532,1,2,2,2,2,3,4,7,248,242502
2.0,14533,3,1,3,2,4,5,0,4,71,242503
3.0,14535,1,3,2,3,4,6,7,9,210,242504
4.0,14536,3,3,3,2,3,8,0,5,234,242505
4.1,14537,1,1,2,1,1,9,0,5,249,242506
5.0,14538,4,3,4,2,4,10,11,2,16,242507
5.1,14539,1,1,1,1,1,40,0,6,225,242508
5.2,14748,1,3,1,1,2,40,0,6,225,242508
6.0,14541,2,5,3,5,4,12,13,8,1,242509
6.1,14542,1,2,1,1,2,14,15,1,250,242510
6.2,14543,2,1,1,1,2,16,0,1,251,242511
7.0,14545,3,1,3,2,3,22,23,2,2,242512
8.0,14546,4,3,3,4,4,38,33,8,1,242513
8.1,14548,1,1,1,1,1,39,0,5,252,242514
9.0,14549,3,3,3,3,3,27,28,4,16,242515
10.0,14552,1,3,3,3,4,118,32,3,1,242516
10.1,14553,2,1,1,1,1,0,0,5,253,242517
11.0,14555,4,1,4,4,3,24,25,1,1,242518
11.1,14556,4,1,3,3,3,26,0,1,171,242519
12.0,14557,1,1,1,1,2,17,18,9,254,242520
12.1,14558,3,1,2,2,2,19,20,5,254,242521
12.2,14559,1,3,1,1,1,21,0,3,255,242522
13.0,14561,5,3,3,4,4,35,36,7,16,242523
13.1,14562,3,5,4,3,4,37,0,6,1,242524
14.0,14564,3,2,3,2,2,79,0,1,2,242525
14.1,14567,1,1,1,2,1,119,80,7,36,242502
15.0,14569,3,3,2,2,4,46,47,5,246,242526
15.1,14571,1,3,1,3,2,48,49,7,243,242527
16.0,14572,4,2,4,3,2,54,55,3,16,242528
16.1,14573,2,1,1,1,1,0,0,7,166,242529
16.2,14574,1,2,1,1,1,56,0,7,74,242530
17.0,14577,2,3,3,3,2,50,51,2,2,242531
18.0,14580,1,3,2,3,3,30,31,6,1,242532
18.1,14581,2,2,2,1,1,29,0,6,44,242533
