key,0,1,2
#,Description,Description{Enhanced},Tooltip
int32,str,str,str
0,"","",""
1,"骑上专属陆行鸟。
大国防联军对士兵们统一配备的军用陆行鸟。","伊修加德产军用陆行鸟。除常见的旅行种以外，还有能够承载鲁加族的大型狩猎种以及专门为拉拉菲尔族改良的贝拉哈迪亚小型种等种类。","陆行鸟是一种很坚强的
生物，不过它们也是有
极限的。
　　　　　——米米古恩"
2,"","",""
3,"","",""
4,"骑上古菩猩猩。
使用神奇的号角可以召唤出巨大的古菩猩猩。","异国的诗人为了表示谢意，赠予了冒险者一把魔法的角笛，可以召唤出这只古菩猩猩。虽然这种动物并不温顺，但独自徘徊在艾欧泽亚的这只古菩猩猩却因为喜爱诗人的歌声，而跟随着他一起旅行。","真希望我能够长得像那
只古菩猩猩一样高大。
——娜娜莫·乌尔·娜莫"
5,"骑上遗产陆行鸟。
灵灾和5年的时光也无法切断当年的情感，只要一声口哨，遗产陆行鸟便会再次出现。","因为贤者路易索瓦的秘术，被送往次元缝隙的冒险者们穿越了5年的时光终于能和这只陆行鸟再会。经历了长期无主的流浪生活，这只陆行鸟已经成长得非常勇悍，风貌上别具一格。","去寻找你当年所骑的那
只陆行鸟吧，并且一定
要再次骑上它。
　　　　　　——赛弗林"
6,"搭乘魔导装甲。
缴获的帝国魔导装甲在西德改良之后变得更加实用了。","加雷马帝国军制式配备的骑乘用魔导装甲“死神”型。西德等人用魔法人偶的核心作为控制装置，对这台缴获的装甲进行了各种改造，现在可以说是加隆德炼铁厂式样了。","做得好！
魔导装甲是我们的了！
　　　——西德·加隆德"
7,"","",""
8,"骑上长须豹。
只有从小培养的长须豹才会把人类认成朋友而不是食物。","年轻而敏捷的长须豹。野生的长须豹是非常凶猛的魔兽，但在其原产地的近东地区也发展出了独特的驯养法。这只长须豹好像是在萨维奈岛接受过作为坐骑的训练。","哎哟！看上去太帅了！
抓到我的长须豹了吗？
　　　　——斯威古雷尔"
