#,Name,Abilities,AutoAction,SmallScalePercentage,MediumScalePercentage,LargeScalePercentage,,,,AllowedPetMirage,Unknown18,Unknown14,,AutoDespawn,NonCombatSummon,ShowPetActionBar,,,,
int32,str,uint16,Action,uint16,uint16,uint16,bit&01,bit&02,bit&04,byte,byte,byte,sbyte,byte,byte,byte,byte,byte,byte,byte
0,"",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
1,"绿宝石兽",0,0,0,0,0,False,True,True,100,100,100,-1,0,0,0,0,0,0,0
2,"黄宝石兽",0,0,0,0,0,False,True,True,100,100,100,-1,0,0,0,0,0,0,0
3,"",0,0,0,0,0,False,True,True,100,100,100,0,1,2,3,0,0,0,0
4,"",0,0,0,0,0,False,True,True,100,100,100,1,1,2,3,0,0,0,0
5,"",0,0,0,0,0,False,True,True,100,100,100,2,1,2,3,0,0,0,0
6,"朝日小仙女",803,805,7438,16544,802,False,True,True,100,100,100,-1,1,2,3,4,8,0,0
7,"夕月小仙女",803,805,7438,16544,0,False,True,True,100,100,100,-1,0,0,0,0,0,0,0
8,"车式浮空炮塔",0,0,7416,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
9,"象式浮空炮塔",0,0,7417,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
10,"亚灵神巴哈姆特",7428,0,7449,0,0,False,False,True,10,20,30,-1,0,0,0,0,0,0,0
11,"",0,0,7440,7441,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
12,"亚灵神巴哈姆特",29676,0,29677,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
13,"",0,0,17801,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
14,"亚灵神不死鸟",16519,0,16518,0,0,False,False,True,33,66,100,-1,0,0,0,0,0,0,0
15,"炽天使",16550,16551,16547,0,16548,False,True,True,100,100,100,-1,0,0,0,0,0,0,0
16,"月长宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
17,"英雄的掠影",0,0,0,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
18,"后式自走人偶",0,0,16503,25787,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
19,"分身",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
20,"亚灵神不死鸟",29681,0,29682,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
21,"炽天使",29240,0,29241,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
22,"分身",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
23,"宝石兽",25841,25842,0,0,0,False,True,True,100,100,100,-1,1,2,3,5,6,7,0
24,"红宝石兽",0,0,25843,0,0,False,False,True,100,100,100,-1,0,0,0,0,0,0,0
25,"黄宝石兽",0,0,25844,0,0,False,False,True,100,100,100,-1,0,0,0,0,0,0,0
26,"绿宝石兽",0,0,25845,0,0,False,False,True,100,100,100,-1,0,0,0,0,0,0,0
27,"伊弗利特之灵",0,0,25846,25849,0,False,False,True,100,100,100,-1,1,2,3,4,0,0,0
28,"泰坦之灵",0,0,25847,25850,0,False,False,True,100,100,100,-1,1,2,3,4,0,0,0
29,"迦楼罗之灵",0,0,25848,25851,0,False,False,True,100,100,100,-1,1,2,3,4,0,0,0
30,"红宝石伊弗利特",0,0,25852,0,0,False,False,True,25,50,75,-1,0,0,0,0,0,0,0
31,"黄宝石泰坦",0,0,25853,0,0,False,False,True,33,66,100,-1,0,0,0,0,0,0,0
32,"绿宝石迦楼罗",0,0,25854,0,0,False,False,True,33,66,100,-1,0,0,0,0,0,0,0
33,"",0,0,25863,25864,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
34,"琥珀宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
35,"象式浮空炮塔",29413,0,0,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0,0
36,"宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
37,"宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
38,"红宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
39,"红宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
40,"黑曜宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
41,"黑曜宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
42,"黑曜宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
43,"黑曜宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
44,"月长宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
45,"月长宝石兽",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0,0
46,"烈日巴哈姆特",36993,0,36999,0,0,False,False,True,13,26,40,-1,0,0,0,0,0,0,0
47,"库西",44935,44936,44934,46752,0,False,True,True,56,80,96,-1,9,0,0,0,0,0,1
48,"松鼠",44937,44938,44934,46752,0,False,True,True,140,200,240,-1,10,0,0,0,0,0,2
49,"迷途羊羔",44939,44940,44934,46752,0,False,True,True,84,120,144,-1,11,0,0,0,0,0,3
50,"陆鱼",44941,44942,44934,46752,0,False,True,True,70,100,120,-1,12,0,0,0,0,0,4
51,"",0,0,0,0,0,False,False,False,0,0,0,0,0,0,0,0,0,0,0
52,"奥猴",44943,44944,44934,46752,0,False,True,True,70,100,120,-1,13,0,0,0,0,0,5
53,"渡渡鸟",44945,44946,44934,46752,0,False,True,True,70,100,120,-1,14,0,0,0,0,0,6
54,"矿爬虫",44947,44948,44934,46752,0,False,True,True,70,100,120,-1,15,0,0,0,0,0,7
55,"凶蛛蝎",44949,44950,44934,46752,0,False,True,True,56,80,96,-1,16,0,0,0,0,0,8
56,"巨型陆蟹",44951,44952,44934,46752,0,False,True,True,56,80,96,-1,17,0,0,0,0,0,9
57,"胡蜂",44953,44954,44934,46752,0,False,True,True,105,150,180,-1,18,0,0,0,0,0,10
58,"兀鹫",44955,44956,44934,46752,0,False,True,True,105,150,180,-1,19,0,0,0,0,0,11
59,"蔓德拉",44957,44958,44934,46752,0,False,True,True,91,130,156,-1,20,0,0,0,0,0,12
60,"死魂",44959,44960,44934,46752,0,False,True,True,49,70,84,-1,21,0,0,0,0,0,13
61,"跳蜥",44961,44962,44934,46752,0,False,True,True,105,150,180,-1,22,0,0,0,0,0,14
62,"壳蟹",44963,44964,44934,46752,0,False,True,True,70,100,120,-1,23,0,0,0,0,0,15
63,"螳螂",44965,44966,44934,46752,0,False,True,True,49,70,84,-1,24,0,0,0,0,0,16
