key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,uint32,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16,uint16,bool,bool
0,0,"","","","",0,0,0,0,0,0,0,0,0,0,False,False
1,1004746,"注意敌人的视野范围，将魔物全部消灭！","同一集团的魔物之间会互相产生联系。
切记不要同时对不同的集团发生冲突！
战斗时要小心敌人的视野范围，
同时也要小心会发动击退技能的敌人！","被古菩猩猩发现之后会受到所有敌人的攻击！
战斗的时候一定要小心不要闯入它的视野范围。
先将周围的敌人逐个击破吧！","这是一场与魔物进行实战的训练。
面对陆续出现的魔物一定不要慌张。
与队友齐心协力才是取胜的关键！

行动到魔物的视野中时会遭到攻击，
因此一定要时刻注意自己所处的位置，
合理制定路线并逐个击破才是上策。",3280,660,1120,50,0,0,0,0,0,0,False,False
2,1004742,"打倒会在战斗中召唤增员的波克曼！","波克曼体力消耗一定程度时会呼唤增援！
防护职业要将所有敌人的仇恨都吸引住，同时与进攻职业一起战斗！

※防护职业：高体力高防御，承受敌人攻击的职业。","敌人数量太多！进入持久战会很危险！
进攻职业一定要优先攻击援兵减少敌人数量！

※进攻职业：高攻击力，负责对敌人输出伤害的职业。","迅速讨伐徘徊在塔姆·塔拉墓园附近的死灵！
不过要注意一点，死灵中有波克曼出没，
这种巨大的铠甲非常棘手，一定要小心。

当波克曼认为自己陷入了危机之时，它会召唤出
同伴来协助战斗，因此一定要避免进入持久战。
它还擅长范围性的攻击，最好分散开进行战斗。",3420,680,1160,50,0,0,0,0,0,0,False,False
3,1004744,"突破三道关门，打倒最深处的越壁蟾蜍！","将敌人全部消灭，确保安全后再将门打开。
不过要注意，有些操作杆无法打开关门。","到达最深处之后盲头蟹会开始破坏岩壁。
一定要抓紧时间速战速决！","我们即将进行一场模拟攻占敌方据点的实战演习。
清理掉沿路魔物的同时冲破三道防御关门，
最终消灭最深处的强力敌人——越壁蟾蜍。

要注意，最深处地区的岩壁内部还有着大量的盲头蟹。
如果战斗拖得时间过长，它们会打破岩壁冲出来，
这会令战况陷入更加不利的局面。一定要速战速决。",7260,1450,1740,80,0,0,0,0,0,0,False,False
4,1004744,"削弱金币龟的力量，用陷阱将其捕获！","盗贼会不断对金币龟进行恢复。
将金币龟从盗贼身边带走！","打倒火元精获得它们的核心，并点燃香草。
将金币龟引诱到催眠气体范围内将其捕获！","大富豪泰勒吉·阿代勒吉的宠物“金币龟”
被盗贼集团给绑架走了。当然，目的是为了要钱。
我们的委托人希望在保证宠物安全的情况下
将其从盗贼手中拯救出来。有一种香草在点燃后能产生具有催眠效果的气体。
在将金币龟的体力削弱到一定程度之后，
利用“火元精核心”将香草点燃可以将其催眠。
这样一来就能够成功活捉了。",7560,1510,1810,80,0,0,0,0,0,0,False,False
5,1004742,"避开逐渐扩大的猛毒地区进行战斗！","进入“毒花粉雾”区域内部会受到伤害！
一定要注意别受到无谓的损伤！","敌人处于“毒花粉雾”内部时，要将其引诱出来！
面向我方喷出“毒花粉雾”时要及时回避！","森林中出现了一种携带有剧毒的妖花，
现在已经对大量的动植物造成了伤害。

据说妖花能够散播含有剧毒的花粉雾，
一旦接近毒雾，便会陷入猛毒状态，
体力也会逐渐减少，对任何生物都有效果。
在与妖花作战时一定要注意周围的环境，
最好将其引到安全地带再全力攻击。",8770,1750,2280,110,0,0,0,0,0,0,False,False
6,1004742,"注意敌人的治疗职业，将敌人小队各个击破！","稍微靠近一点也会吸引到敌人的注意。
战斗时一定要谨慎，不要吸引太多的敌人！","敌人队伍中有负责进行恢复的幻术师。
放置不管的话会陷入拉锯战，一定要优先打倒！","“寄生蜂团”在托托·拉克千狱附近集结起来了，
这伙不法之徒想要建设一个新的据点。

直接攻击敌人的首领恐怕会招来其他人增援，
所以最好先将分散在四周的敌人解决掉。
尤其要小心敌人的幻术师，有治疗魔法在会很棘手。
战斗中也要谨慎提防敌人有没有增援。",10150,2030,2500,120,0,0,0,0,0,0,False,False
7,1004742,"注意异常状态，并打倒迫近的敌人！","异常状态可以用特定的道具或魔法“康复”
来解除。一定要随时注意队友的身体状态！","将队伍一分为二，一组去对抗梦幻之布拉奇希奥，
另一组去对抗增援的敌人，双方分头行动吧！","敌对的妖精族势力出现在了南部林区，
并且对周围的魔物施加了魔法进行控制。
迅速前往现场打倒头领梦幻之布拉奇希奥！

被妖精族所控制的魔物都非常擅长令对手
的身体陷入不良状态的攻击，同时还有能够
发动大范围攻击的魔物，所以一定要避免混战",10280,2060,2800,140,0,0,0,0,0,0,False,False
