key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Number,Icon,Stats,Description,,Location,StartQuest,NextQuest,,,,,,,,,,,,
int32,byte,Image,str,str,byte,ContentFinderCondition,Quest,Quest,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08
0,0,0,"","",0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,25,72201,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>风
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","提丰老师的秘技。
喷出猛烈的鼻息来攻击正面敌人的青魔法。除了能让敌人受到狂风侵袭外，还可以微妙地造成一些精神伤害。",4,81,0,0,True,False,False,False,False,False,False,False,False,False,False,False
2,26,72202,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>物理打击
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>无
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","奥尔特罗斯的绝招。
制造出虚幻的砝码并使其落下压向敌人。实际上砝码究竟是不是正好4星吨就不好说了。",4,81,0,0,True,False,False,False,False,False,False,False,False,False,True,False
3,1,72203,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>水
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","从克拉肯身上学习到的青魔法。
放出高压水流对敌人造成冲击。因为是利用水属性以太凝聚空气中的水分，所以即使在看似没有水的地方也能够使用。",3,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
4,9,72204,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>无
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","塞壬所擅长的青魔法。
将恶毒的魔力融入歌声，污染听到的人的精神，由此引起敌人的幻痛，间接对肉体造成伤害。",4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
5,6,72205,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>雷
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","亚拉戈帝国开发出的机械魔法。
尝试让机械发动魔法的过程中诞生的产物。首先控制雷属性以太，然后提高电压，最后将电流向四周放射出去。",4,93,0,0,True,False,False,False,True,False,False,False,False,False,False,False
6,28,72206,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>魔法
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>无
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","魔界花使用的青魔法。
操纵风土两种属性的以太，使以太转向灵极性，由此向口中吐出的气息中加入毒素大范围喷射。被称为是最臭的青魔法。",1,54,0,0,True,False,True,False,True,True,True,False,False,False,True,False
7,4,72207,"<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击类型：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>物理打击
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>攻击属性：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>无
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>评级：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","祖使用的青魔法。
使用魔法操纵自身的精神，消除脑内的恐惧并增幅愤怒，以此解除肉体的枷锁，将全部力量发挥出来攻向敌人。",4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
