key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,OutputType,,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text,,,
int32,uint32,bit&01,bit&02,bit&04,byte,byte,uint32,single,single,bit&08,bit&10,byte,byte,str,uint16
0,0,False,False,False,1,0,0,0,1,False,False,1,25,"0",0
1,0,False,False,False,3,0,0,0,1,False,False,1,25,"0",0
2,0,False,False,False,3,0,0,0,5,False,False,1,25,"快！谁来帮个忙！",0
3,0,False,False,False,3,0,0,0,5,False,False,1,25,"小心！魔物过来了！",0
4,0,False,False,False,3,0,0,0,5,False,False,1,25,"小魔精要出来了！不要放跑它们！",0
5,0,False,False,False,3,0,0,0,5,False,False,1,25,"该死！数量太多了！",0
6,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物已经冲到那里了！",0
7,0,False,False,False,3,0,0,0,5,False,False,1,25,"妖精族要过来了！注意警戒！",0
8,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物的数量增加了！大家小心！",0
9,0,False,False,False,3,0,0,0,5,False,False,1,25,"这里的治安就交给我们维护！",0
10,0,False,False,False,3,0,0,0,5,False,False,1,25,"不要让盗贼们给看扁了！",0
11,0,False,False,False,3,0,0,0,5,False,False,1,25,"奥猴冲向豆子去了！",0
12,0,False,False,False,3,0,0,0,5,False,False,1,25,"鸟人族攻过来了！",0
13,0,False,False,False,3,0,0,0,5,False,False,1,25,"那是……席兹？！",0
14,0,False,False,False,3,0,0,0,5,False,False,1,25,"竟然又来了？！我们必须保护好树苗！",0
15,0,False,False,False,3,0,0,0,5,False,False,1,25,"魔物们现在很乱！要小心！",0
16,0,False,False,False,3,0,0,0,5,False,False,1,25,"该死……得换个战术了！",0
17,0,False,False,False,3,0,0,0,5,False,False,1,25,"破碎金龟！把他们都干掉！",0
18,0,False,False,False,3,0,0,0,5,False,False,1,25,"有人能来协助我们一下吗？",0
19,0,False,False,False,3,0,0,0,5,False,False,1,25,"谁能来帮帮我！",0
20,0,False,False,False,3,0,0,0,5,False,False,1,25,"什么？巨像兵竟然这么……",0
21,0,False,False,False,3,0,0,0,5,False,False,1,25,"可恶的小魔精！竟然还来！",0
