#,Name,Unknown8,Icon,ActionCategory,Unknown1,AnimationStart,VFX,AnimationEnd,ActionTimelineHit,Unknown2,ClassJob,BehaviourType,ClassJobLevel,IsRoleAction,Unknown28,Range,CanTargetSelf,CanTargetParty,CanTargetAlliance,CanTargetHostile,CanTargetAlly,Unknown10,TargetArea,CanTargetOwnPet,CanTargetPartyPet,DeadTargetBehaviour,RequiresLineOfSight,NeedToFaceTarget,CastType,EffectRange,XAxisModifier,Unknown14,PrimaryCostType,PrimaryCostValue,SecondaryCostType,SecondaryCostValue,ActionCombo,PreservesCombo,Cast100ms,ExtraCastTime100ms,Recast100ms,CooldownGroup,AdditionalCooldownGroup,MaxCharges,AttackType,Aspect,ActionProcStatus,Unknown4,StatusGainSelf,UnlockLink,ClassJobCategory,AutoAttackBehaviour,Unknown15,AffectsPosition,Omen,OmenAlt,IsPvP,Unknown16,LogCastMessage,Unknown18,LogMissMessage,LogActionMessage,Unknown21,Unknown22,Unknown23,EquivalenceGroup,CanUseWhileMounted,Unknown25,IsPlayerAction,Unknown27,Unknown_70
int32,str,bit&01,Image,ActionCategory,byte,ActionCastTimeline,ActionCastVFX,ActionTimeline,ActionTimeline,byte,ClassJob,byte,byte,bit&02,bit&04,sbyte,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08,sbyte,bit&10,bit&20,byte,byte,byte,bit&40,byte,uint16,byte,SecondaryCostType,Action,bit&80,uint16,byte,uint16,byte,byte,byte,AttackType,byte,ActionProcStatus,byte,Status,Row,ClassJobCategory,byte,bit&01,bit&02,Omen,Omen,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,byte,bit&08,bit&10,bit&20,bit&40,byte
0,"",False,405,0,0,0,0,0,0,0,-1,0,0,False,False,0,False,False,False,False,False,False,False,False,False,0,True,True,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0,0,False,False,True,False,False,True,False,False,True,0,False,False,False,False,0
1,"任务道具",False,405,8,0,2,0,85,1875,0,0,0,0,False,False,3,False,False,False,True,True,True,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
2,"任务指令",False,405,8,0,1,0,0,1875,0,0,0,0,False,False,3,False,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
3,"冲刺",False,104,10,0,0,0,368,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,600,56,0,0,0,0,0,0,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,True,False,False,0
4,"坐骑",False,405,5,0,150,0,13302,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,10,0,0,0,0,0,0,0,0,0,0,0,1,7,False,False,0,0,False,False,False,False,True,True,False,False,True,0,False,True,False,False,0
5,"传送",False,111,11,0,1,1,164,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,0,0,0,4,1,0,False,False,0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
6,"返回",False,112,11,0,1,2,163,1875,0,0,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,9000,57,0,0,0,0,0,0,0,1,1,0,False,False,0,0,False,False,True,False,True,True,True,False,True,0,True,True,False,False,0
7,"攻击",False,405,1,0,0,0,-1,1875,0,0,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,-1,7,0,1,0,0,1,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
8,"射击",False,405,1,0,0,0,-2,1876,0,0,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,0,0,0,-1,7,0,1,0,0,0,0,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
9,"先锋剑",False,158,3,0,0,0,310,1875,0,1,0,1,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
10,"铁壁",False,152,4,0,0,0,369,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,900,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
11,"狂怒剑",False,157,3,0,0,0,311,1875,0,-1,0,0,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,9,False,0,0,25,58,0,0,-1,7,0,1,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
12,"渐愈",False,162,4,0,0,0,370,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
13,"警觉",False,163,4,0,0,0,371,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1200,0,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
14,"闪光",False,159,2,0,29,3,441,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,3,8,0,0,0,True,0,0,25,58,0,0,5,7,0,0,0,0,0,1,True,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
15,"暴乱剑",False,156,3,0,0,0,317,1875,0,1,0,4,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,9,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
16,"盾牌猛击",False,154,3,0,0,0,315,1875,0,1,0,10,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,39,0,0,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
17,"预警",False,151,4,0,0,0,372,1875,0,1,0,38,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,63,564,0,True,0,0,1200,20,0,0,0,0,0,2,0,0,38,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
18,"挑衅",False,165,4,0,0,0,373,1875,0,-1,0,0,False,False,25,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,150,0,0,0,0,0,0,0,0,0,0,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
19,"钢铁意志",False,153,4,0,0,0,374,1875,0,-1,0,0,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,1800,11,0,0,0,0,0,2,0,0,0,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,False,False,0
20,"战逃反应",False,166,4,0,0,0,376,1875,0,1,0,2,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,0,600,11,0,0,0,0,0,2,0,0,38,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
21,"战女神之怒",False,155,3,0,0,0,312,1875,0,1,0,26,False,False,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,63,260,15,False,0,0,25,58,0,0,-1,7,0,1,0,0,38,2,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
22,"壁垒",False,167,4,0,0,0,377,1875,0,19,0,52,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,39,0,0,True,0,0,900,16,0,0,0,0,0,2,0,0,20,1,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
23,"厄运流转",False,161,4,0,0,0,313,1892,0,1,0,50,False,False,0,True,False,False,False,False,False,False,False,False,0,True,True,2,5,0,True,0,0,0,0,0,True,0,0,300,7,0,0,-1,7,0,1,0,0,38,4,False,False,0,0,False,False,True,False,True,True,False,False,True,0,False,False,True,False,0
