key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
int32,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"向您问好，冒险者。要接受行会理符任务吗？","很抱歉，我还不能提供行会理符任务给您这样初出茅庐的冒险者。","您所接任务意义重大，愿大地母神见证您的成功。","0","0","0","0","0"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"这里是行会理符受领处。
一定可以为您找到一份合适的工作。","这里是行会理符受领处。
冒险者行会的成员们都会到这里来领取行会理符任务。
<Unknown17/>如果您能在冒险者行会中得到<Switch(IntegerParameter(1))><Case(1)>茶·莫克莉小姐</Case><Case(2)>贡特朗先生</Case><Case(3)>尤斯塔斯先生</Case></Switch>的许可，
我就可以给您介绍任务了。","那么这个任务就拜托您了。","这里是行会理符受领处。
冒险者行会的成员们都会到这里来领取行会理符任务。
<Unknown17/>如果您能在冒险者行会中得到<Switch(IntegerParameter(1))><Case(1)>茶·莫克莉小姐</Case><Case(2)>贡特朗先生</Case><Case(3)>尤斯塔斯先生</Case></Switch>的许可，
我就可以给您介绍任务了。","您平安完成任务了吗？
看来把这个任务拜托给您是正确的选择。
这是准备好的报酬，请收下吧。","0","0","您竟然讨伐了悬赏魔物？
真是让人吃惊……
当然，您可以获得追加的报酬。"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"这里发行的行会理符任务中，
也有很多是来自附近居民的委托。
如果您有兴趣，请帮帮他们吧。","您在找工作吗？
不过我们只对有一定经验的冒险者发行行会理符任务。
如果是<Switch(IntegerParameter(1))><Case(1)>巴德龙</Case><Case(2)>缪恩</Case><Case(3)>莫莫蒂</Case></Switch>老板介绍来的我们也可以放心了。","那么就拜托您了。
希望看到您早日凯旋。","您在找工作吗？
不过我们只对有一定经验的冒险者发行行会理符任务。
等您的实力可以匹敌这附近的魔物后再来吧。","是来报告任务完成的吗？
真是辛苦您了。这是给您的报酬。
这样一来委托人应该也满足了吧。","0","0","哎呀，您竟然打倒了悬赏魔物啊？
那请您收下追加的报酬。"
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"你看上去头脑和身体素质都不错嘛。
对行会理符任务有兴趣吗？
我可以给你介绍些不错的工作。","我是冒险者行会的一员。
主要负责为冒险者们发行实力相符的行会理符任务。
<Unknown17/>如果你能取得<Switch(IntegerParameter(1))><Case(1)>巴德龙</Case><Case(2)>缪恩</Case><Case(3)>莫莫蒂</Case></Switch>老板的认可的话，
到时候我可以介绍一些好工作给你。","好好干吧，等你回来！","我是冒险者行会的一员。
主要负责为冒险者们发行实力相符的行会理符任务。
<Unknown17/>如果你有能力收拾这附近的魔物时，
到时候我可以介绍一些好工作给你。","已经回来了吗？你办事可真快。
能够这么迅速地完成任务真是帮了我们大忙了。
以后要是还有机会还要拜托你喽。","0","0","什么？你干掉了通缉中的悬赏魔物？
真是做得太棒了。
那就收下追加的报酬吧。"
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"这里为冒险者们发行行会理符任务。
任务内容基本是黑衣森林各地发来的委托工作。","这里是发行行会理符的窗口，会为冒险者介绍各种工作。
你看上去是一个新人冒险者啊。
<Unknown17/>如果你有<Switch(IntegerParameter(1))><Case(1)>巴德龙</Case><Case(2)>缪恩</Case><Case(3)>莫莫蒂</Case></Switch>老板的介绍，
那么我们会很乐意交给你一些工作的。","0","这里是发行行会理符的窗口，会为冒险者介绍各种工作。
你看上去是一个新人冒险者啊。
<Unknown17/>如果你有<Switch(IntegerParameter(1))><Case(1)>巴德龙</Case><Case(2)>缪恩</Case><Case(3)>莫莫蒂</Case></Switch>老板的介绍，
那么我们会很乐意交给你一些工作的。","你是来领取任务报酬的？
竟然能完成这个任务……干得漂亮。
这里是这次的报酬，请收下吧。","0","0","你竟然打倒了通缉中的悬赏魔物啊，
真是太了不起了。
当然，你获得的报酬也会有所追加。"
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"这里为冒险者们发行行会理符，
任务内容基本是利姆萨·罗敏萨市民及周围居民的一些委托。","你要是想找工作的话那就来对了。
这里会为有实力的冒险者发行行会理符。
<Unknown17/>不过得有冒险者行会的负责人<Switch(IntegerParameter(1))><Case(1)>巴德龙</Case><Case(2)>缪恩</Case><Case(3)>莫莫蒂</Case></Switch>老板的介绍才行，
这样就可以为你提供各种各样的工作了。","很好，祝你好运！","你要是想找工作的话那就来对了。
这里会为有实力的冒险者发行行会理符。
<Unknown17/>不过你起码得有本事对付这附近的魔物才行。
这样的话就可以为你提供各种各样的工作了。","你是来报告行会理符完成情况的吧？
辛苦你了，请收下这份报酬。
我想委托人也一定会很满意的。","0","0","是行会理符的完成报告啊……
什么？你竟然讨伐了通缉中的悬赏魔物？
好厉害啊，那报酬也会给你加成的。"
7,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"这里为冒险者发行行会理符，
任务内容基本是乌尔达哈市民及其他人士发来的一些委托。","您是在找工作吗？
这里会为有一定经验的冒险者发行行会理符任务。
<Unknown17/>如果您有冒险者行会的负责人<Switch(IntegerParameter(1))><Case(1)>巴德龙先生</Case><Case(2)>缪恩女士</Case><Case(3)>莫莫蒂女士</Case></Switch>的介绍，
那么届时请务必接受理符任务的委托。","那么请您加油，恭候您的好消息。","您是在找工作吗？
这里会为有一定经验的冒险者发行行会理符任务。
<Unknown17/>如果您有能力轻易打倒这附近的魔物，
那么届时请务必接受理符任务的委托。","您回来了。看样子您顺利完成任务了啊……
辛苦您了，请收下这份报酬。","0","0","真是令人吃惊，您竟然打倒了悬赏魔物。
实在是辛苦您了，请务必收下这份报酬。"
