key,0,1,2
#,Name,FCAuthorityCategory,
int32,str,FCAuthorityCategory,byte
0,"更新部队信息",1,1
1,"",0,0
2,"阶级设置",1,2
3,"编辑队徽",1,3
4,"储物柜设置",0,0
5,"招待队员",2,1
6,"批准入队申请",2,4
7,"除名队员",2,2
8,"阶级任命",2,3
9,"编辑部队公告",3,1
10,"",0,0
11,"使用留言",3,2
12,"使用部队战绩",4,1
13,"使用部队特效",4,2
14,"放弃部队特效",4,3
15,"",5,0
16,"",5,0
17,"",5,0
18,"",5,0
19,"",5,0
20,"",5,0
21,"",5,0
22,"",5,0
23,"",5,0
24,"",5,0
25,"",5,0
26,"",5,0
27,"",5,0
28,"",5,0
29,"",5,0
30,"",5,0
31,"",5,0
32,"",5,0
33,"",5,0
34,"",5,0
35,"",5,0
36,"",5,0
37,"",5,0
38,"",5,0
39,"",5,0
40,"",5,0
41,"",5,0
42,"",5,0
43,"进入住房",6,1
44,"编辑住房名称",6,2
45,"编辑问候语",6,3
46,"购买或废弃土地",7,1
47,"搭建或拆除住房",7,2
48,"更改内外装潢",8,1
49,"不可变更家具庭具",8,3
50,"可以追加或布置家具庭具",8,4
51,"可以追加、收回或布置家具庭具",8,5
52,"为装潢、家具及庭具染色",8,2
53,"设置访客权限及房屋宣传标签",6,4
54,"交流簿管理",15,1
55,"播种",9,1
56,"收获",9,2
57,"处理",9,3
58,"寄养陆行鸟",10,1
59,"训练部队成员的陆行鸟",10,2
60,"使用转轮台",8,7
61,"安排或调离雇员",8,6
62,"搭建或拆除部队工房",11,1
63,"开始或中止部队合建工程",12,1
64,"交纳素材",12,2
65,"推进工程进展",12,3
66,"领取部队合建成果",12,4
67,"绘制设计图",12,5
68,"登记或拆解",13,1
69,"更换配件",13,2
70,"为配件染色",13,3
71,"编辑名称",13,4
72,"派遣飞空艇出港或召回远航中的飞空艇",13,5
73,"接受飞空艇的远航报告",13,6
74,"乘飞空艇出发探索",0,0
75,"管弦乐琴管理",14,1
