key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,PlaceName,HousingSize,ExteriorRoof,ExteriorWall,ExteriorWindow,ExteriorDoor,InteriorWall,InteriorFlooring,InteriorLighting,OtherFloorWall,OtherFloorFlooring,OtherFloorLighting,BasementWall,BasementFlooring,BasementLighting,MansionLighting
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,PlaceName,byte,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item
262144,"",0,"",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262145,"木制海滨小屋",0,"",0,0,1,0,0,22,0,6347,6374,6401,6410,6455,6458,6461,0,0,0,6455,6458,6461,0
262146,"混合制海滨小屋",0,"",0,0,1,0,0,22,0,6348,6375,6402,6411,6455,6458,6461,0,0,0,6455,6458,6461,0
262147,"石制海滨小屋",0,"",0,0,1,0,0,22,0,6349,6376,6403,6412,6455,6458,6461,0,0,0,6455,6458,6461,0
262148,"木制海滨公馆",0,"",0,0,1,0,0,22,1,6350,6377,6401,6410,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262149,"混合制海滨公馆",0,"",0,0,1,0,0,22,1,6351,6378,6402,6411,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262150,"石制海滨公馆",0,"",0,0,1,0,0,22,1,6352,6379,6403,6412,6455,6458,6462,6455,6458,6462,6455,6458,6462,0
262151,"木制海滨别墅",0,"",0,0,1,0,0,22,2,6353,6380,6401,6410,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262152,"混合制海滨别墅",0,"",0,0,1,0,0,22,2,6354,6381,6402,6411,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262153,"石制海滨别墅",0,"",0,0,1,0,0,22,2,6355,6382,6403,6412,6455,6458,6463,6455,6458,6463,6455,6458,6463,6463
262154,"木制林间小屋",0,"",0,0,1,0,0,23,0,6356,6383,6404,6413,6456,6459,6464,0,0,0,6456,6459,6464,0
262155,"混合制林间小屋",0,"",0,0,1,0,0,23,0,6357,6384,6405,6414,6456,6459,6464,0,0,0,6456,6459,6464,0
262156,"石制林间小屋",0,"",0,0,1,0,0,23,0,6358,6385,6406,6415,6456,6459,6464,0,0,0,6456,6459,6464,0
262157,"木制林间公馆",0,"",0,0,1,0,0,23,1,6359,6386,6404,6413,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262158,"混合制林间公馆",0,"",0,0,1,0,0,23,1,6360,6387,6405,6414,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262159,"石制林间公馆",0,"",0,0,1,0,0,23,1,6361,6388,6406,6415,6456,6459,6465,6456,6459,6465,6456,6459,6465,0
262160,"木制林间别墅",0,"",0,0,1,0,0,23,2,6362,6389,6404,6413,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262161,"混合制林间别墅",0,"",0,0,1,0,0,23,2,6363,6390,6405,6414,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262162,"石制林间别墅",0,"",0,0,1,0,0,23,2,6364,6391,6406,6415,6456,6459,6466,6456,6459,6466,6456,6459,6466,6466
262163,"木制绿洲小屋",0,"",0,0,1,0,0,24,0,6365,6392,6407,6416,6457,6460,6467,0,0,0,6457,6460,6467,0
262164,"混合制绿洲小屋",0,"",0,0,1,0,0,24,0,6366,6393,6408,6417,6457,6460,6467,0,0,0,6457,6460,6467,0
262165,"石制绿洲小屋",0,"",0,0,1,0,0,24,0,6367,6394,6409,6418,6457,6460,6467,0,0,0,6457,6460,6467,0
262166,"木制绿洲公馆",0,"",0,0,1,0,0,24,1,6368,6395,6407,6416,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262167,"混合制绿洲公馆",0,"",0,0,1,0,0,24,1,6369,6396,6408,6417,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262168,"石制绿洲公馆",0,"",0,0,1,0,0,24,1,6370,6397,6409,6418,6457,6460,6468,6457,6460,6468,6457,6460,6468,0
262169,"木制绿洲别墅",0,"",0,0,1,0,0,24,2,6371,6398,6407,6416,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262170,"混合制绿洲别墅",0,"",0,0,1,0,0,24,2,6372,6399,6408,6417,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262171,"石制绿洲别墅",0,"",0,0,1,0,0,24,2,6373,6400,6409,6418,6457,6460,6469,6457,6460,6469,6457,6460,6469,6469
262172,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6455,6458,6461,0,0,0,0,0,0,0
262173,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6456,6459,6464,0,0,0,0,0,0,0
262174,"",0,"",0,0,1,0,0,0,0,0,0,0,0,6457,6460,6467,0,0,0,0,0,0,0
262175,"木制东洋小屋",0,"",0,0,1,0,0,2402,0,20680,20689,20698,20701,20716,20718,20720,0,0,0,20716,20718,20720,0
262176,"混合制东洋小屋",0,"",0,0,1,0,0,2402,0,20681,20690,20699,20702,20716,20718,20720,0,0,0,20716,20718,20720,0
262177,"石制东洋小屋",0,"",0,0,1,0,0,2402,0,20682,20691,20700,20703,20716,20718,20720,0,0,0,20716,20718,20720,0
262178,"木制东洋公馆",0,"",0,0,1,0,0,2402,1,20683,20692,20698,20701,20716,20718,20721,20716,20718,20721,20716,20718,20721,0
262179,"混合制东洋公馆",0,"",0,0,1,0,0,2402,1,20684,20693,20699,20702,20716,20718,20721,20716,20718,20721,20716,20718,20721,0
262180,"石制东洋公馆",0,"",0,0,1,0,0,2402,1,20685,20694,20700,20703,20716,20718,20721,20716,20718,20721,20716,20718,20721,0
262181,"木制东洋别墅",0,"",0,0,1,0,0,2402,2,20686,20695,20698,20701,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722
262182,"混合制东洋别墅",0,"",0,0,1,0,0,2402,2,20687,20696,20699,20702,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722
262183,"石制东洋别墅",0,"",0,0,1,0,0,2402,2,20688,20697,20700,20703,20716,20718,20722,20716,20718,20722,20716,20718,20722,20722
262184,"",0,"",0,0,1,0,0,0,0,0,0,0,0,20716,20718,20720,0,0,0,0,0,0,0
262185,"木制雪峰小屋",0,"",0,0,1,0,0,25,0,36863,36872,36881,36884,36887,36888,36889,0,0,0,36887,36888,36889,0
262186,"石制雪峰小屋",0,"",0,0,1,0,0,25,0,36864,36873,36882,36885,36887,36888,36889,0,0,0,36887,36888,36889,0
262187,"混合制雪峰小屋",0,"",0,0,1,0,0,25,0,36865,36874,36883,36886,36887,36888,36889,0,0,0,36887,36888,36889,0
262188,"木制雪峰公馆",0,"",0,0,1,0,0,25,1,36866,36875,36881,36884,36887,36888,36890,36887,36888,36890,36887,36888,36890,0
262189,"石制雪峰公馆",0,"",0,0,1,0,0,25,1,36867,36876,36882,36885,36887,36888,36890,36887,36888,36890,36887,36888,36890,0
262190,"混合制雪峰公馆",0,"",0,0,1,0,0,25,1,36868,36877,36883,36886,36887,36888,36890,36887,36888,36890,36887,36888,36890,0
262191,"木制雪峰别墅",0,"",0,0,1,0,0,25,2,36869,36878,36881,36884,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891
262192,"石制雪峰别墅",0,"",0,0,1,0,0,25,2,36870,36879,36882,36885,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891
262193,"混合制雪峰别墅",0,"",0,0,1,0,0,25,2,36871,36880,36883,36886,36887,36888,36891,36887,36888,36891,36887,36888,36891,36891
262194,"",0,"",0,0,1,0,0,0,0,0,0,0,0,36887,36888,36891,0,0,0,0,0,0,0
262195,"",0,"",0,0,1,0,0,0,0,0,0,0,0,44870,44871,44872,0,0,0,44870,44871,44872,0
