#,Type,Unknown11,Unknown12,Unknown0,Unknown5,Unknown1,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown2,Unknown3,Unknown4
int32,XBMItemType,uint32,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str
0,0,0,0,"",0,"",0,0,1,0,0,"","",""
1,1,243001,98,"体力腰带",0,"",0,0,1,0,0,"体力腰带","最大体力+20%","最大体力提高"
2,1,243002,35,"替身戒指",0,"",0,0,1,0,0,"替身戒指","特殊效果：陷入无法战斗状态时，牺牲魔兽，玩家得以复活，魔兽尚未召唤时无法发动此效果","陷入无法战斗状态时牺牲魔兽得以复活"
3,1,243003,175,"治愈戒指",0,"",0,0,1,0,0,"治愈戒指","特殊效果：战斗结束时恢复玩家25%的体力","战斗结束时恢复体力"
4,1,243004,35,"药师腰包",0,"",0,0,1,0,0,"药师腰包","特殊效果：在帐篷休息时随机获得1个魔兽恢复药","在帐篷休息时获得魔兽恢复药"
5,1,243005,56,"魔咒帽子",0,"",0,0,1,0,0,"魔咒帽子","受到魔法伤害-10%","受到魔法伤害减轻"
6,1,243006,63,"钢铁铠甲",0,"",0,0,1,0,0,"钢铁铠甲","受到物理伤害-15%","受到物理伤害减轻"
7,1,243007,190,"野生头冠",0,"",0,0,1,0,0,"野生头冠","造成物理伤害+10%
暴击发动率+3%
特殊效果：此斗兽装备的性能也会对召唤中的魔兽产生影响","造成物理伤害提高、暴击发动率、魔兽也受到影响"
8,1,243008,190,"理性之杖",0,"",0,0,1,0,0,"理性之杖","造成魔法伤害+20%
特殊效果：此斗兽装备的性能也会对召唤中的魔兽产生影响","造成魔法伤害提高、魔兽也受到影响"
9,1,243009,174,"力量护臂",0,"",0,0,1,0,0,"力量护臂","造成物理伤害+12%
回避率+3%","造成物理伤害提高、回避率提高"
10,1,243010,84,"缠头带",0,"",0,0,1,0,0,"缠头带","造成物理伤害+5%
受到物理伤害-5%","造成物理伤害提高、受到物理伤害减轻"
11,1,243011,174,"绿色贝雷帽",0,"",0,0,1,0,0,"绿色贝雷帽","暴击攻击力+35
造成伤害+3%
最大体力+7%","暴击攻击力、伤害提高、最大体力提高"
12,1,243012,91,"神秘鞋",0,"",0,0,1,0,0,"神秘鞋","回避率+8%
移动速度+50%
特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%","回避率提高、移动速度提高、恢复量提高"
13,1,243013,104,"坚守戒指",0,"",0,0,1,0,0,"坚守戒指","受到伤害-10%
最大体力+7%","受伤减轻、最大体力提高"
14,1,243014,140,"寒冰盾",0,"",0,0,1,0,0,"寒冰盾","受到伤害-30%
减速+10%
特殊效果：30%几率使冰属性伤害无效并吸收","冰属性吸收、受伤减轻、减速"
15,1,243015,266,"土地盾",0,"",0,0,1,0,0,"土地盾","特殊效果：30%几率使土属性伤害无效并吸收
特殊效果：盾格挡时有10%的几率为自身附加“石肤”状态
石肤效果：抵消相当于最大体力15%的伤害量
石肤持续时间：60秒","土属性吸收、盾格挡时附加石肤状态"
