key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"",0,0,1,0,0
1,"矿脉",0,"",0,0,1,0,0
2,"石场",0,"",0,0,1,0,0
3,"良材",0,"",0,0,1,0,0
4,"草场",0,"",0,0,1,0,0
5,"未知的矿脉",0,"",0,0,1,0,0
6,"未知的石场",0,"",0,0,1,0,0
7,"未知的良材",0,"",0,0,1,0,0
8,"未知的草场",0,"",0,0,1,0,0
9,"限时的矿脉",0,"",0,0,1,0,0
10,"限时的石场",0,"",0,0,1,0,0
11,"限时的良材",0,"",0,0,1,0,0
12,"限时的草场",0,"",0,0,1,0,0
13,"传说的矿脉",0,"",0,0,1,0,0
14,"传说的石场",0,"",0,0,1,0,0
15,"传说的良材",0,"",0,0,1,0,0
16,"传说的草场",0,"",0,0,1,0,0
17,"隐藏的矿脉",0,"",0,0,1,0,0
18,"隐藏的石场",0,"",0,0,1,0,0
19,"隐藏的良材",0,"",0,0,1,0,0
20,"隐藏的草场",0,"",0,0,1,0,0
21,"渔场",0,"",0,0,1,0,0
22,"鱼影",0,"",0,0,1,0,0
