key,0,1,2,3,4
#,Name,SeparateType,DataType,JournalSection,
int32,str,byte,byte,JournalSection,byte
0,"无效分类",0,0,255,0
1,"重生之境主线任务",1,1,0,0
2,"第七星历主线任务",1,1,0,0
3,"苍穹之禁城主线任务",1,1,0,0
4,"龙诗战争终章主线任务",1,1,0,0
5,"龙诗战争尾声主线任务",1,1,0,0
6,"红莲之狂潮主线任务",1,1,0,0
7,"解放战争战后主线任务",1,1,0,0
8,"暗影之逆焰主线任务",1,1,0,0
9,"拂晓回归主线任务",1,1,0,0
10,"末日序曲主线任务",1,1,0,0
11,"晓月之终途主线任务",1,1,0,0
12,"崭新的冒险主线任务",1,1,0,0
13,"金曦之遗辉主线任务",1,1,1,0
14,"金曦之遗辉终章主线任务",1,1,1,0
15,"凌冬会的密谋主线任务",1,1,1,0
16,"第七星历编年史：蛮神",1,1,2,0
17,"第七星历编年史：巴哈姆特",1,1,2,0
18,"第七星历编年史：水晶塔",1,1,2,0
19,"第七星历编年史：亚历山大",1,1,2,0
20,"第七星历编年史：上古众神",1,1,2,0
21,"第七星历编年史：玛哈之影",1,1,2,0
22,"第七星历编年史：欧米茄",2,1,2,0
23,"第七星历编年史：重返伊瓦利斯",1,1,2,0
24,"第七星历编年史：四圣兽奇谭",1,1,2,0
25,"第七星历编年史：伊甸",1,1,2,0
26,"寄叶异闻：暗黑天启",1,1,2,0
27,"第七星历编年史：维尔利特战役",1,1,2,0
28,"第七星历编年史：万魔殿",2,1,2,0
29,"第七星历编年史：艾欧泽亚神话",1,1,2,0
30,"第七星历编年史：阿卡狄亚",1,1,2,0
31,"第七星历编年史：瓦纳·迪尔的回响",1,1,2,0
32,"尤卡巨人族任务",2,1,5,0
33,"辉鳞族任务",2,1,5,0
34,"佩鲁佩鲁族任务",2,1,5,0
35,"各族盟友任务",2,1,5,0
36,"蜥蜴人族任务",2,1,4,0
37,"妖精族任务",2,1,4,0
38,"地灵族任务",2,1,4,0
39,"鱼人族任务",2,1,4,0
40,"鸟人族任务",2,1,4,0
41,"瓦努族任务",2,1,4,0
42,"骨颌族任务",2,1,4,0
43,"莫古力族任务",2,1,4,0
44,"甲人族任务",2,1,4,0
45,"阿难陀族任务",2,1,4,0
46,"鲶鱼精族任务",2,1,4,0
47,"仙子族任务",2,1,4,0
48,"奇塔利族任务",2,1,4,0
49,"矮人族任务",2,1,4,0
50,"悌阳象族任务",2,1,4,0
51,"奥密克戎族任务",2,1,4,0
52,"兔兔族任务",2,1,4,0
53,"各族盟友任务",2,1,4,0
54,"主线剧情外传任务",2,1,3,0
55,"非著名调查员支线任务",2,1,3,0
56,"武器强化支线任务",2,1,3,0
57,"特殊内容支线任务",2,1,3,0
58,"支线剧情任务",2,1,3,0
59,"拉诺西亚支线任务",3,1,3,0
