key,0,1,2,3,4,5,6
#,,List,,Priority,Icon,,Name
int32,bit&01,bit&02,bit&04,byte,Image,int32,str
0,False,False,False,0,0,0,""
1,True,False,False,0,61532,0,"游戏测试"
2,True,False,False,0,61524,0,"游戏管理员"
3,False,False,False,0,61532,0,"游戏管理员"
4,False,False,False,0,61533,3940,"活动参与者"
5,False,False,False,0,61503,3942,"通信切断"
6,False,True,False,1,61501,0,"临时好友"
7,False,True,False,2,61501,0,"临时加入"
8,False,True,False,3,61501,0,"临时加入"
9,False,True,False,4,61502,0,"不存在"
10,False,True,False,5,61504,0,"离线"
11,False,True,False,6,61542,3947,"战斗指导者"
12,False,True,False,7,61509,3943,"忙碌中"
13,False,True,False,8,61510,0,"对战任务中"
14,False,True,False,9,61539,0,"幻卡对局中"
15,False,True,False,10,61508,3951,"过场动画中"
16,False,True,False,12,61534,0,"陆行鸟运输骑乘中"
17,False,True,False,13,61511,3952,"离开"
18,False,True,False,14,61546,3953,"观景模式中"
19,False,True,False,15,61512,0,"请求修理"
20,False,True,False,16,61513,0,"提供修理"
21,False,True,True,17,61514,0,"接受镶嵌魔晶石请求"
22,False,True,False,18,61545,3941,"角色扮演中"
23,False,True,False,19,61515,3954,"希望组队"
24,False,True,False,20,61516,0,"佣兵"
25,False,True,False,21,61517,3950,"任务搜索申请中"
26,False,True,False,22,61536,3955,"队员招募中"
27,False,True,False,31,61540,3946,"指导者"
28,False,True,False,32,61542,3947,"战斗指导者"
29,False,True,False,33,61543,3948,"制作采集指导者"
30,False,True,False,34,61544,3949,"对战指导者"
31,False,True,False,35,61547,3945,"回归者"
32,False,True,False,36,61523,3944,"新人"
33,False,True,False,23,61518,0,"团队队长"
34,False,True,False,24,61519,0,"团队小队长"
35,False,True,False,25,61520,0,"团队队员"
36,False,True,False,26,61521,3956,"小队队长"
37,False,True,False,27,61522,3957,"小队队员"
38,False,True,True,28,61961,3958,"跨服小队队长"
39,False,True,True,29,61962,3959,"跨服小队队员"
40,False,True,False,30,61535,0,"封闭任务中"
41,False,False,False,0,61506,0,"同队任务中"
42,False,False,False,0,61507,0,"同一任务的其他队伍中"
43,False,True,False,11,61510,0,"任务中"
44,False,True,False,38,61525,0,"试玩期新人"
45,False,False,False,0,0,0,"部队"
46,False,False,False,0,0,0,"军队"
47,False,True,False,37,61505,0,"在线"
