#,IndividualWeatherData0Weather,IndividualWeatherData1Weather,IndividualWeatherData2Weather,IndividualWeatherData3Weather,IndividualWeatherData4Weather,IndividualWeatherData5Weather,IndividualWeatherData6Weather,IndividualWeatherData0Unknown1,IndividualWeatherData1Unknown1,IndividualWeatherData2Unknown1,IndividualWeatherData3Unknown1,IndividualWeatherData4Unknown1,IndividualWeatherData5Unknown1,IndividualWeatherData6Unknown1,IndividualWeatherData0Quest,IndividualWeatherData1Quest,IndividualWeatherData2Quest,IndividualWeatherData3Quest,IndividualWeatherData4Quest,IndividualWeatherData5Quest,IndividualWeatherData6Quest,IndividualWeatherData0Unknown0,IndividualWeatherData1Unknown0,IndividualWeatherData2Unknown0,IndividualWeatherData3Unknown0,IndividualWeatherData4Unknown0,IndividualWeatherData5Unknown0,IndividualWeatherData6Unknown0
int32,Weather,Weather,Weather,Weather,Weather,Weather,Weather,byte,byte,byte,byte,byte,byte,byte,Quest,Quest,Quest,Quest,Quest,Quest,Quest,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,118,0,118,0,137,0,0,1,3,2,3,3,3,0,0,68836,69179,69190,69313,69314,0,0,5,0,11,3,3,0
2,118,0,137,0,0,0,0,1,3,3,3,0,0,0,0,69190,69313,69314,0,0,0,0,11,3,3,0,0,0
3,118,0,118,0,137,0,0,1,3,2,3,3,3,0,0,69157,69179,69190,69313,69314,0,0,3,0,11,3,3,0
4,129,118,0,118,0,137,0,1,3,3,2,3,3,3,0,68846,68856,69179,69190,69313,69314,0,4,3,0,11,3,3
5,118,0,118,0,137,0,0,1,3,2,3,3,3,0,0,68876,69179,69190,69313,69314,0,0,3,0,11,3,3,0
6,118,0,137,0,0,0,0,1,3,3,3,0,0,0,0,69190,69313,69314,0,0,0,0,11,3,3,0,0,0
7,0,7,0,0,0,0,0,3,2,2,0,0,0,0,0,69325,69327,0,0,0,0,0,0,0,0,0,0,0
8,0,150,0,0,0,0,0,3,3,3,0,0,0,0,0,69945,70000,0,0,0,0,0,2,7,0,0,0,0
9,0,150,0,0,0,0,0,3,3,3,0,0,0,0,0,69945,70000,0,0,0,0,0,2,7,0,0,0,0
10,0,150,0,0,0,0,0,3,3,3,0,0,0,0,0,69975,70000,0,0,0,0,0,1,7,0,0,0,0
11,187,0,0,0,0,0,0,1,3,0,0,0,0,0,0,70495,0,0,0,0,0,0,255,0,0,0,0,0
12,0,188,0,0,0,0,0,3,3,3,0,0,0,0,0,70455,70478,0,0,0,0,0,255,1,0,0,0,0
13,0,188,0,0,0,0,0,3,3,3,0,0,0,0,0,70459,70478,0,0,0,0,0,2,1,0,0,0,0
