#,Name,LotteryExchangeParams0ItemAccepted,LotteryExchangeParams1ItemAccepted,LotteryExchangeParams2ItemAccepted,LotteryExchangeParams3ItemAccepted,LotteryExchangeParams4ItemAccepted,LotteryExchangeParams5ItemAccepted,LotteryExchangeParams6ItemAccepted,LotteryExchangeParams7ItemAccepted,LotteryExchangeParams8ItemAccepted,LotteryExchangeParams9ItemAccepted,LotteryExchangeParams10ItemAccepted,LotteryExchangeParams11ItemAccepted,LotteryExchangeParams12ItemAccepted,LotteryExchangeParams13ItemAccepted,LotteryExchangeParams14ItemAccepted,LotteryExchangeParams15ItemAccepted,LotteryExchangeParams16ItemAccepted,LotteryExchangeParams17ItemAccepted,LotteryExchangeParams18ItemAccepted,LotteryExchangeParams19ItemAccepted,LotteryExchangeParams20ItemAccepted,LotteryExchangeParams21ItemAccepted,LotteryExchangeParams22ItemAccepted,LotteryExchangeParams23ItemAccepted,LotteryExchangeParams24ItemAccepted,LotteryExchangeParams25ItemAccepted,LotteryExchangeParams26ItemAccepted,LotteryExchangeParams27ItemAccepted,LotteryExchangeParams28ItemAccepted,LotteryExchangeParams29ItemAccepted,LotteryExchangeParams30ItemAccepted,LotteryExchangeParams31ItemAccepted,LotteryExchangeParams0AmountAccepted,LotteryExchangeParams1AmountAccepted,LotteryExchangeParams2AmountAccepted,LotteryExchangeParams3AmountAccepted,LotteryExchangeParams4AmountAccepted,LotteryExchangeParams5AmountAccepted,LotteryExchangeParams6AmountAccepted,LotteryExchangeParams7AmountAccepted,LotteryExchangeParams8AmountAccepted,LotteryExchangeParams9AmountAccepted,LotteryExchangeParams10AmountAccepted,LotteryExchangeParams11AmountAccepted,LotteryExchangeParams12AmountAccepted,LotteryExchangeParams13AmountAccepted,LotteryExchangeParams14AmountAccepted,LotteryExchangeParams15AmountAccepted,LotteryExchangeParams16AmountAccepted,LotteryExchangeParams17AmountAccepted,LotteryExchangeParams18AmountAccepted,LotteryExchangeParams19AmountAccepted,LotteryExchangeParams20AmountAccepted,LotteryExchangeParams21AmountAccepted,LotteryExchangeParams22AmountAccepted,LotteryExchangeParams23AmountAccepted,LotteryExchangeParams24AmountAccepted,LotteryExchangeParams25AmountAccepted,LotteryExchangeParams26AmountAccepted,LotteryExchangeParams27AmountAccepted,LotteryExchangeParams28AmountAccepted,LotteryExchangeParams29AmountAccepted,LotteryExchangeParams30AmountAccepted,LotteryExchangeParams31AmountAccepted,LotteryExchangeParams0Unknown0,LotteryExchangeParams1Unknown0,LotteryExchangeParams2Unknown0,LotteryExchangeParams3Unknown0,LotteryExchangeParams4Unknown0,LotteryExchangeParams5Unknown0,LotteryExchangeParams6Unknown0,LotteryExchangeParams7Unknown0,LotteryExchangeParams8Unknown0,LotteryExchangeParams9Unknown0,LotteryExchangeParams10Unknown0,LotteryExchangeParams11Unknown0,LotteryExchangeParams12Unknown0,LotteryExchangeParams13Unknown0,LotteryExchangeParams14Unknown0,LotteryExchangeParams15Unknown0,LotteryExchangeParams16Unknown0,LotteryExchangeParams17Unknown0,LotteryExchangeParams18Unknown0,LotteryExchangeParams19Unknown0,LotteryExchangeParams20Unknown0,LotteryExchangeParams21Unknown0,LotteryExchangeParams22Unknown0,LotteryExchangeParams23Unknown0,LotteryExchangeParams24Unknown0,LotteryExchangeParams25Unknown0,LotteryExchangeParams26Unknown0,LotteryExchangeParams27Unknown0,LotteryExchangeParams28Unknown0,LotteryExchangeParams29Unknown0,LotteryExchangeParams30Unknown0,LotteryExchangeParams31Unknown0,LotteryExchangeParams0Unknown1,LotteryExchangeParams1Unknown1,LotteryExchangeParams2Unknown1,LotteryExchangeParams3Unknown1,LotteryExchangeParams4Unknown1,LotteryExchangeParams5Unknown1,LotteryExchangeParams6Unknown1,LotteryExchangeParams7Unknown1,LotteryExchangeParams8Unknown1,LotteryExchangeParams9Unknown1,LotteryExchangeParams10Unknown1,LotteryExchangeParams11Unknown1,LotteryExchangeParams12Unknown1,LotteryExchangeParams13Unknown1,LotteryExchangeParams14Unknown1,LotteryExchangeParams15Unknown1,LotteryExchangeParams16Unknown1,LotteryExchangeParams17Unknown1,LotteryExchangeParams18Unknown1,LotteryExchangeParams19Unknown1,LotteryExchangeParams20Unknown1,LotteryExchangeParams21Unknown1,LotteryExchangeParams22Unknown1,LotteryExchangeParams23Unknown1,LotteryExchangeParams24Unknown1,LotteryExchangeParams25Unknown1,LotteryExchangeParams26Unknown1,LotteryExchangeParams27Unknown1,LotteryExchangeParams28Unknown1,LotteryExchangeParams29Unknown1,LotteryExchangeParams30Unknown1,LotteryExchangeParams31Unknown1,Script,LogMessage0,LogMessage1,LogMessage2,Unknown0
int32,str,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,str,LogMessage,LogMessage,LogMessage,bit&01
3407872,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,True
3407873,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,False
3407874,"鉴定上锁的宝箱",17341,17342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",7434,7435,0,True
3407875,"",22508,23142,23379,24141,24142,24848,24849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopEurekaLockPicker",7434,7435,0,True
3407876,"",21803,21803,21803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopEureka1Crystal",3975,3974,0,True
3407877,"",24007,24008,24009,24010,24011,24012,24013,24014,24809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopEureka3Shard",3982,3983,0,True
3407878,"",30884,30885,30886,30887,30888,30889,30890,30891,30892,30893,30894,30895,30896,30897,30898,30899,32162,32163,32164,32165,32831,32832,32833,32834,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,5,5,5,8,8,8,8,11,11,12,13,14,15,10,13,14,15,15,15,15,15,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,11,12,13,14,16,18,10,15,17,19,20,21,22,23,0,0,0,0,0,0,0,0,"LotteryExchangeShopMycTemporaryItem",7437,0,7436,True
3407879,"",31357,33797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopMycLockPicker",7434,7435,0,True
3407880,"",33768,33769,33770,33771,33772,33773,33774,33775,33776,33777,33778,33779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,18,18,18,22,22,22,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopMycTemporaryItem",7437,0,7436,True
3407881,"",16170,16171,16172,16173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LotteryExchangeShopDeepDungeon1TemporaryItem",7284,7435,0,True
