key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,str,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"爱心莓果蛋糕",4,4,10,4,16,4,22,4,0,0,0,0,0,0,0,0
2,"爱心莓果蛋糕",4,4,7,2,8,2,13,2,14,2,22,4,0,0,0,0
3,"莫古力莓果蛋糕",4,4,8,2,11,2,14,2,15,2,19,4,0,0,0,0
4,"莫古力莓果蛋糕",4,4,11,2,10,2,17,2,16,2,19,4,0,0,0,0
5,"巧克力蛋莓果蛋糕",4,4,9,2,7,2,15,2,17,2,20,4,0,0,0,0
6,"巧克力蛋莓果蛋糕",4,4,10,2,11,2,16,2,13,2,20,4,0,0,0,0
7,"陆行鸟莓果蛋糕",4,4,7,2,11,2,13,2,15,2,23,4,0,0,0,0
8,"陆行鸟莓果蛋糕",4,4,8,2,9,2,14,2,16,2,23,4,0,0,0,0
9,"仙人掌莓果蛋糕",4,4,11,2,9,2,17,2,14,2,21,4,0,0,0,0
10,"仙人掌莓果蛋糕",4,4,9,2,10,2,15,2,16,2,21,4,0,0,0,0
11,"爱心奶油蛋糕",1,4,7,2,8,2,16,2,14,2,22,4,0,0,0,0
12,"爱心奶油蛋糕",1,4,8,2,11,2,13,2,14,2,22,4,0,0,0,0
13,"莫古力奶油蛋糕",1,4,7,4,13,4,19,4,0,0,0,0,0,0,0,0
14,"莫古力奶油蛋糕",1,4,11,2,10,2,14,2,17,2,19,4,0,0,0,0
15,"巧克力蛋奶油蛋糕",1,4,9,2,7,2,17,2,13,2,20,4,0,0,0,0
16,"巧克力蛋奶油蛋糕",1,4,10,2,11,2,15,2,16,2,20,4,0,0,0,0
17,"陆行鸟奶油蛋糕",1,4,7,2,11,2,13,2,16,2,23,4,0,0,0,0
18,"陆行鸟奶油蛋糕",1,4,8,2,9,2,14,2,17,2,23,4,0,0,0,0
19,"仙人掌奶油蛋糕",1,4,11,2,9,2,17,2,15,2,21,4,0,0,0,0
20,"仙人掌奶油蛋糕",1,4,9,2,10,2,15,2,13,2,21,4,0,0,0,0
21,"爱心巧克力蛋糕",2,4,9,2,10,2,13,2,17,2,22,4,0,0,0,0
22,"爱心巧克力蛋糕",2,4,11,2,9,2,14,2,15,2,22,4,0,0,0,0
23,"莫古力巧克力蛋糕",2,4,8,2,9,2,17,2,16,2,19,4,0,0,0,0
24,"莫古力巧克力蛋糕",2,4,7,2,11,2,15,2,17,2,19,4,0,0,0,0
25,"双重巧克力蛋糕",2,4,8,4,14,4,20,4,0,0,0,0,0,0,0,0
26,"双重巧克力蛋糕",2,4,10,2,11,2,13,2,15,2,20,4,0,0,0,0
27,"陆行鸟巧克力蛋糕",2,4,9,2,7,2,14,2,17,2,23,4,0,0,0,0
28,"陆行鸟巧克力蛋糕",2,4,11,2,10,2,17,2,15,2,23,4,0,0,0,0
29,"仙人掌巧克力蛋糕",2,4,8,2,11,2,15,2,17,2,21,4,0,0,0,0
30,"仙人掌巧克力蛋糕",2,4,7,2,8,2,16,2,13,2,21,4,0,0,0,0
31,"爱心柠檬蛋糕",5,4,11,2,10,2,13,2,17,2,22,4,0,0,0,0
32,"爱心柠檬蛋糕",5,4,8,2,11,2,14,2,17,2,22,4,0,0,0,0
33,"莫古力柠檬蛋糕",5,4,7,2,8,2,15,2,13,2,19,4,0,0,0,0
34,"莫古力柠檬蛋糕",5,4,8,2,11,2,14,2,17,2,19,4,0,0,0,0
35,"巧克力蛋柠檬蛋糕",5,4,10,2,11,2,15,2,17,2,20,4,0,0,0,0
36,"巧克力蛋柠檬蛋糕",5,4,9,2,7,2,13,2,14,2,20,4,0,0,0,0
37,"陆行鸟柠檬蛋糕",5,4,11,4,17,4,23,4,0,0,0,0,0,0,0,0
38,"陆行鸟柠檬蛋糕",5,4,11,2,9,2,14,2,15,2,23,4,0,0,0,0
39,"仙人掌柠檬蛋糕",5,4,8,2,9,2,17,2,13,2,21,4,0,0,0,0
40,"仙人掌柠檬蛋糕",5,4,7,2,11,2,15,2,13,2,21,4,0,0,0,0
41,"爱心开心果蛋糕",3,4,7,2,8,2,16,2,15,2,22,4,0,0,0,0
42,"爱心开心果蛋糕",3,4,8,2,10,2,14,2,13,2,22,4,0,0,0,0
43,"莫古力开心果蛋糕",3,4,10,2,11,2,15,2,13,2,19,4,0,0,0,0
44,"莫古力开心果蛋糕",3,4,9,2,7,2,17,2,16,2,19,4,0,0,0,0
45,"巧克力蛋开心果蛋糕",3,4,11,2,9,2,15,2,14,2,20,4,0,0,0,0
46,"巧克力蛋开心果蛋糕",3,4,8,2,9,2,13,2,16,2,20,4,0,0,0,0
47,"陆行鸟开心果蛋糕",3,4,7,2,11,2,16,2,15,2,23,4,0,0,0,0
48,"陆行鸟开心果蛋糕",3,4,11,2,10,2,14,2,13,2,23,4,0,0,0,0
49,"仙人掌开心果蛋糕",3,4,9,4,15,4,21,4,0,0,0,0,0,0,0,0
50,"仙人掌开心果蛋糕",3,4,8,2,11,2,16,2,14,2,21,4,0,0,0,0
51,"特制冒险蛋糕",6,4,12,4,18,4,24,4,0,0,0,0,0,0,0,0
