key,0,1,2,3,4
#,,,,,
int32,byte,uint16,byte,uint32,byte
5,2,0,0,71041,255
6,2,1,0,71041,255
7,2,2,0,71041,255
8,2,3,0,71041,255
9,2,4,0,71041,255
10,2,5,0,71041,255
11,2,6,0,71041,255
12,2,7,0,71041,255
13,2,8,0,71041,255
14,2,9,0,71041,255
15,2,10,0,71041,255
16,2,11,0,71041,255
17,2,12,0,71041,255
18,2,13,0,71041,255
19,2,14,0,71041,255
20,2,15,0,71041,255
21,2,0,1,71041,255
22,2,1,1,71041,255
23,2,2,1,71041,255
24,2,3,1,71041,255
25,2,4,1,71041,255
26,2,5,1,71041,255
27,2,6,1,71041,255
28,2,7,1,71041,255
29,2,8,1,71041,255
30,2,9,1,71041,255
31,2,10,1,71041,255
32,2,11,1,71041,255
33,2,12,1,71041,255
34,2,13,1,71041,255
35,2,14,1,71041,255
36,2,15,1,71041,255
37,2,0,2,71041,255
38,2,1,2,71041,255
39,2,2,2,71041,255
40,2,3,2,71041,255
41,2,4,2,71041,255
42,2,5,2,71041,255
43,2,6,2,71041,255
44,2,7,2,71041,255
45,2,8,2,71041,255
46,2,9,2,71041,255
47,2,10,2,71041,255
48,2,11,2,71041,255
49,2,12,2,71041,255
50,2,13,2,71041,255
51,2,14,2,71041,255
52,2,15,2,71041,255
53,2,0,3,71041,255
54,2,1,3,71041,255
55,2,2,3,71041,255
56,2,3,3,71041,255
57,2,4,3,71041,255
58,2,5,3,71041,255
59,2,6,3,71041,255
60,2,7,3,71041,255
61,2,8,3,71041,255
62,2,9,3,71041,255
63,2,10,3,71041,255
64,6,5,4,71041,255
65,5,5,4,71041,255
66,6,5,5,71041,255
67,5,5,5,71041,255
68,6,5,6,71041,255
69,5,5,6,71041,255
