key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
int32,str,str,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,"","",0,0,0,0,0,0,0,0,0
1,"","",0,0,0,0,0,0,0,0,0
2,"","",0,0,0,0,0,0,0,0,0
3,"关于搬运","搬运",558,11,12,0,0,0,0,0,0
4,"关于透明","透明",559,13,14,0,0,0,0,0,0
5,"关于同行","同行",560,15,16,17,18,0,0,0,0
6,"关于带路","带路",561,19,0,0,0,0,0,0,0
7,"关于跟踪","跟踪",562,20,21,22,0,0,0,0,0
8,"关于变身","变身",563,23,24,0,0,0,0,0,0
9,"关于换装","换装",564,25,26,0,0,0,0,0,0
10,"关于护卫","护卫",565,27,28,0,0,0,0,0,0
