key,0,1,2,3,4,5,6,7,8,9
#,Type,TimeLimit,MapIcon,Name,TextData{Start},TextData{End},,,ContentFinderCondition,AdditionalData
int32,byte,uint16,Image,str,PublicContentTextData,PublicContentTextData,uint16,uint32,ContentFinderCondition,Row
0,0,0,0,"",0,0,0,0,0,0
1,1,0,0,"永结同心典礼",1000,1143,0,0,0,0
2,2,0,60848,"九宫幻卡：幻卡对局室",0,0,0,0,195,0
3,3,180,60851,"禁地优雷卡 常风之地",0,0,8,7207922,283,1
4,3,180,60851,"禁地优雷卡 恒冰之地",0,0,9,7516174,581,2
5,4,60,60831,"灾厄重现军事演习",0,0,10,7536621,583,0
6,3,180,60851,"禁地优雷卡 涌火之地",0,0,11,7646208,598,3
7,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,600,1
8,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,601,2
9,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,602,3
10,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,603,4
11,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,604,5
12,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,605,6
13,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,606,7
14,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,607,8
15,5,10,60848,"王像跳跳乐大挑战",3000,3003,0,0,608,9
16,0,0,0,"",0,0,0,0,0,0
