#,Unknown0,LevelRewards0LevelRewardItem0,LevelRewards1LevelRewardItem0,LevelRewards2LevelRewardItem0,LevelRewards3LevelRewardItem0,LevelRewards4LevelRewardItem0,LevelRewards5LevelRewardItem0,LevelRewards6LevelRewardItem0,LevelRewards7LevelRewardItem0,LevelRewards8LevelRewardItem0,LevelRewards9LevelRewardItem0,LevelRewards10LevelRewardItem0,LevelRewards11LevelRewardItem0,LevelRewards12LevelRewardItem0,LevelRewards13LevelRewardItem0,LevelRewards14LevelRewardItem0,LevelRewards15LevelRewardItem0,LevelRewards16LevelRewardItem0,LevelRewards17LevelRewardItem0,LevelRewards18LevelRewardItem0,LevelRewards19LevelRewardItem0,LevelRewards20LevelRewardItem0,LevelRewards21LevelRewardItem0,LevelRewards22LevelRewardItem0,LevelRewards23LevelRewardItem0,LevelRewards24LevelRewardItem0,LevelRewards25LevelRewardItem0,LevelRewards26LevelRewardItem0,LevelRewards27LevelRewardItem0,LevelRewards28LevelRewardItem0,LevelRewards29LevelRewardItem0,LevelRewards30LevelRewardItem0,LevelRewards31LevelRewardItem0,LevelRewards0LevelRewardItem1,LevelRewards1LevelRewardItem1,LevelRewards2LevelRewardItem1,LevelRewards3LevelRewardItem1,LevelRewards4LevelRewardItem1,LevelRewards5LevelRewardItem1,LevelRewards6LevelRewardItem1,LevelRewards7LevelRewardItem1,LevelRewards8LevelRewardItem1,LevelRewards9LevelRewardItem1,LevelRewards10LevelRewardItem1,LevelRewards11LevelRewardItem1,LevelRewards12LevelRewardItem1,LevelRewards13LevelRewardItem1,LevelRewards14LevelRewardItem1,LevelRewards15LevelRewardItem1,LevelRewards16LevelRewardItem1,LevelRewards17LevelRewardItem1,LevelRewards18LevelRewardItem1,LevelRewards19LevelRewardItem1,LevelRewards20LevelRewardItem1,LevelRewards21LevelRewardItem1,LevelRewards22LevelRewardItem1,LevelRewards23LevelRewardItem1,LevelRewards24LevelRewardItem1,LevelRewards25LevelRewardItem1,LevelRewards26LevelRewardItem1,LevelRewards27LevelRewardItem1,LevelRewards28LevelRewardItem1,LevelRewards29LevelRewardItem1,LevelRewards30LevelRewardItem1,LevelRewards31LevelRewardItem1,LevelRewards0LevelRewardCount0,LevelRewards1LevelRewardCount0,LevelRewards2LevelRewardCount0,LevelRewards3LevelRewardCount0,LevelRewards4LevelRewardCount0,LevelRewards5LevelRewardCount0,LevelRewards6LevelRewardCount0,LevelRewards7LevelRewardCount0,LevelRewards8LevelRewardCount0,LevelRewards9LevelRewardCount0,LevelRewards10LevelRewardCount0,LevelRewards11LevelRewardCount0,LevelRewards12LevelRewardCount0,LevelRewards13LevelRewardCount0,LevelRewards14LevelRewardCount0,LevelRewards15LevelRewardCount0,LevelRewards16LevelRewardCount0,LevelRewards17LevelRewardCount0,LevelRewards18LevelRewardCount0,LevelRewards19LevelRewardCount0,LevelRewards20LevelRewardCount0,LevelRewards21LevelRewardCount0,LevelRewards22LevelRewardCount0,LevelRewards23LevelRewardCount0,LevelRewards24LevelRewardCount0,LevelRewards25LevelRewardCount0,LevelRewards26LevelRewardCount0,LevelRewards27LevelRewardCount0,LevelRewards28LevelRewardCount0,LevelRewards29LevelRewardCount0,LevelRewards30LevelRewardCount0,LevelRewards31LevelRewardCount0,LevelRewards0LevelRewardCount1,LevelRewards1LevelRewardCount1,LevelRewards2LevelRewardCount1,LevelRewards3LevelRewardCount1,LevelRewards4LevelRewardCount1,LevelRewards5LevelRewardCount1,LevelRewards6LevelRewardCount1,LevelRewards7LevelRewardCount1,LevelRewards8LevelRewardCount1,LevelRewards9LevelRewardCount1,LevelRewards10LevelRewardCount1,LevelRewards11LevelRewardCount1,LevelRewards12LevelRewardCount1,LevelRewards13LevelRewardCount1,LevelRewards14LevelRewardCount1,LevelRewards15LevelRewardCount1,LevelRewards16LevelRewardCount1,LevelRewards17LevelRewardCount1,LevelRewards18LevelRewardCount1,LevelRewards19LevelRewardCount1,LevelRewards20LevelRewardCount1,LevelRewards21LevelRewardCount1,LevelRewards22LevelRewardCount1,LevelRewards23LevelRewardCount1,LevelRewards24LevelRewardCount1,LevelRewards25LevelRewardCount1,LevelRewards26LevelRewardCount1,LevelRewards27LevelRewardCount1,LevelRewards28LevelRewardCount1,LevelRewards29LevelRewardCount1,LevelRewards30LevelRewardCount1,LevelRewards31LevelRewardCount1,LevelRewards0Unknown0,LevelRewards1Unknown0,LevelRewards2Unknown0,LevelRewards3Unknown0,LevelRewards4Unknown0,LevelRewards5Unknown0,LevelRewards6Unknown0,LevelRewards7Unknown0,LevelRewards8Unknown0,LevelRewards9Unknown0,LevelRewards10Unknown0,LevelRewards11Unknown0,LevelRewards12Unknown0,LevelRewards13Unknown0,LevelRewards14Unknown0,LevelRewards15Unknown0,LevelRewards16Unknown0,LevelRewards17Unknown0,LevelRewards18Unknown0,LevelRewards19Unknown0,LevelRewards20Unknown0,LevelRewards21Unknown0,LevelRewards22Unknown0,LevelRewards23Unknown0,LevelRewards24Unknown0,LevelRewards25Unknown0,LevelRewards26Unknown0,LevelRewards27Unknown0,LevelRewards28Unknown0,LevelRewards29Unknown0,LevelRewards30Unknown0,LevelRewards31Unknown0
int32,byte,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,31,0,0,0,0,0,36920,0,0,0,0,37266,0,0,0,0,37486,0,0,0,0,37267,0,0,0,0,37268,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,0,0,0,0,0,38572,0,0,0,0,38348,0,0,0,0,38447,38446,0,0,0,38349,0,0,0,0,36905,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,6000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,31,0,0,0,0,0,39498,0,0,0,0,39570,0,0,0,0,23125,0,0,0,0,39571,0,0,0,0,39364,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,31,0,0,0,0,0,40358,0,0,0,0,40498,0,0,0,0,40373,0,0,0,0,40499,0,0,0,0,40383,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31,0,0,0,0,0,41460,0,0,0,0,41367,0,0,0,0,41473,0,0,0,0,41368,0,0,0,0,41523,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,31,0,0,0,0,0,44258,0,0,0,0,43565,0,0,0,0,43576,0,0,0,0,43566,0,0,0,0,41492,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31,0,0,0,0,0,44508,0,0,0,0,44350,0,0,0,0,44485,0,0,0,0,44351,0,0,0,0,44352,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,31,0,0,0,0,0,47984,0,0,0,0,46335,0,0,0,0,47961,0,0,0,0,46336,0,0,0,0,48231,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,5000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,0,0,0,0,0,46794,0,0,0,0,46736,0,0,0,0,46775,46774,0,0,0,46737,0,0,0,0,47224,0,0,0,0,0,0,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,0,0,36656,36656,36656,0,36656,36656,36656,36656,0,36656,36656,36656,36656,36656,36656,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,1,1,1000,1000,1000,1,1000,1000,1000,1000,1,1000,1000,1000,1000,6000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
