key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,str,byte,uint16,uint16,byte,bit&01,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,uint16,uint16,byte,uint16,uint16,uint16
0,"",0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1," 制作通用型纤维板",17,9,0,0,False,1,0,1,1200,2400,143,0,0,0,0,0,50,1,2,0,0
2," 筹备据点外工作所需的燃料",20,9,0,0,False,1,0,2,1200,2400,144,0,0,0,0,0,51,1,3,0,0
3," 制作采集所需的饰品",22,9,0,0,False,1,0,3,1200,2400,145,0,0,0,0,0,52,1,4,0,0
4," 筹备研究所需的材料",29,9,0,0,False,1,0,4,1200,2400,146,0,0,0,0,0,53,1,5,0,0
5," 检验木炭供应的可持续性",20,9,0,0,False,1,0,5,1200,2400,147,0,0,0,0,0,54,1,6,0,0
6," 制作通用型床具",19,9,0,0,False,1,0,6,1200,2400,148,0,0,0,0,0,55,1,7,0,0
7," 制作薄型纤维板",17,9,0,0,False,2,0,7,1200,2400,149,0,0,0,0,0,56,1,8,0,0
8," 制作刻木匠所需的支援物资",20,9,0,0,False,2,0,8,1200,2400,150,0,0,0,0,0,57,1,9,0,0
9," 筹备工作人员所需的裁缝工具",26,9,0,3,False,2,0,9,1300,3000,151,0,0,0,0,0,58,1,10,0,0
10," 制作填写数据所需的纸张",18,9,0,3,False,2,0,10,700,1500,152,0,0,0,0,0,59,1,11,0,0
11," 制作隔热的内饰材料",19,9,0,3,False,2,0,11,1100,2500,153,0,0,0,0,0,60,1,12,0,0
12," 筹备宇宙飞线所需的基础物资",28,9,0,3,False,2,0,12,1200,2250,154,0,0,0,0,0,61,1,13,0,0
13," 制作使用了新材料的耳饰",22,9,0,3,False,2,0,13,700,1500,155,0,0,0,0,0,62,1,14,0,0
14," 制作运送补给所需的容器",20,9,0,0,False,3,0,14,1600,2400,156,0,0,0,0,0,63,1,15,0,0
15," 制作厚型纤维板",17,9,0,0,False,3,0,15,1600,2400,157,0,0,0,0,0,64,1,16,0,0
16," 制作优质隔热材料",19,9,0,3,False,3,0,16,1700,2000,158,0,0,0,0,0,65,1,17,0,0
17," 制作耐热树脂",31,9,0,3,False,3,0,17,2700,3000,159,0,0,0,0,0,66,1,18,0,0
18," 制作能够长期保存的纸张",18,9,0,0,False,3,0,18,1600,2400,160,0,0,0,0,0,67,1,19,0,0
19," 制作居住区所需的椅子",30,9,0,3,False,3,0,19,2700,3000,161,0,0,0,0,0,68,1,20,0,0
20," 制作使用了试验性材料的采集工具",22,9,0,0,False,3,0,20,1000,1300,162,0,0,0,0,0,69,1,21,0,0
21," 制作休息所需的优质床具",24,9,0,0,False,3,0,21,1000,1300,163,0,0,0,0,0,70,1,22,0,0
22,"制作高耐久型纤维板",17,9,0,0,False,4,1200,22,1800,2400,164,0,0,0,0,0,71,0,23,0,1200
23,"制作顶级纸张",18,9,0,3,False,4,1200,23,2300,3000,165,0,0,0,0,0,72,0,24,0,1200
24,"筹备宇宙飞船所需的隔热材料",19,9,0,3,False,4,0,24,700,1000,166,0,0,0,0,0,73,0,25,0,1200
25,"制作火力强劲的木炭",20,9,0,3,False,4,1200,25,700,1000,167,0,0,0,0,0,74,0,26,0,1200
26,"检验月面植物的加工方法",21,9,0,3,False,4,1200,26,2600,3000,168,0,0,0,0,0,75,0,27,0,1200
27,"【高难】进行试验所需材料的最终检验",22,9,0,3,False,5,1200,27,2500,3000,169,0,0,0,0,0,76,0,28,0,1100
28,"【高难】制作分发食物所需的托盘",23,9,0,3,False,5,1200,28,840,1000,170,0,0,0,0,0,77,0,29,0,1100
29,"【高难】制作双层床",24,9,0,3,False,5,1200,29,840,1000,171,0,0,2,0,0,78,0,30,0,1100
30,"【高难】制作工作辅助设备",25,9,0,3,False,5,1200,30,2800,3000,172,0,0,1,13,0,79,0,31,0,1100
31,"【高难+】补充优质制作工具",26,9,0,0,False,6,420,31,560,880,173,0,0,0,14,0,80,0,32,0,1000
32,"【高难+】制作高空作业所需的脚手架",27,9,0,0,False,6,330,32,560,880,174,0,0,0,13,0,81,0,33,0,1000
33,"制作传动用的长杆",28,9,0,3,False,4,1200,33,2300,3000,175,0,0,0,0,0,82,0,34,0,1200
34,"【高难】续·制作传动用的长杆",28,9,0,3,False,5,1200,34,2500,3000,176,0,0,0,0,33,83,0,35,0,1100
35,"筹备具有特殊性质的材料",29,9,0,0,False,4,1200,35,1000,1600,177,0,0,0,0,0,84,0,36,0,1200
36,"【高难】续·筹备具有特殊性质的材料",29,9,0,0,False,5,1200,36,1000,1600,178,0,0,0,0,35,85,0,37,0,1100
37,"【高难+】制作研究所需的大型水槽",29,9,0,0,False,6,300,37,1000,1600,179,0,0,0,0,36,86,0,38,0,1000
38,"【高难】制作休息设施所需的材料",30,9,0,3,False,5,1200,38,850,1000,180,0,0,0,0,0,87,0,39,0,1100
39,"【高难+】制作休息设施所需的家具",30,9,0,3,False,6,240,39,900,1000,181,0,0,2,0,38,88,0,40,0,1000
40,"制作货物包装材料",31,9,0,3,False,4,1200,40,2300,3000,182,0,0,0,1,0,89,0,41,0,1200
41,"【高难】续·制作货物包装材料",31,9,0,3,False,5,1200,41,2500,3000,183,0,0,1,0,40,90,0,42,0,1100
42,"【高难+】制作月球车所需的货物包装材料",31,9,0,3,False,6,270,42,2700,3000,184,0,0,2,0,41,91,0,43,0,1000
43,"【高难+】制作生物燃料",32,9,0,3,False,6,600,43,980,1080,185,0,0,1,7,0,92,0,44,0,1000
44,"【高难+】续·制作生物燃料",32,9,0,3,False,6,600,44,980,1080,186,0,0,1,0,43,93,0,45,0,1000
45,"【高难+】最终步骤·制作生物燃料",32,9,0,0,False,6,420,45,1000,1080,187,0,0,1,0,44,94,0,46,0,1000
46," 制作通用型装甲板",1,10,0,0,False,1,0,46,1200,2400,188,0,0,0,0,0,95,1,47,0,0
47," 制作宇宙飞船所需的备用零件",14,10,0,0,False,1,0,47,1200,2400,189,0,0,0,0,0,96,1,48,0,0
48," 检验合金的制作方法",2,10,0,0,False,1,0,48,1200,2400,190,0,0,0,0,0,97,1,49,0,0
49," 制作初级定制零件",15,10,0,0,False,1,0,49,1200,2400,191,0,0,0,0,0,98,1,50,0,0
50," 制作通用型金属零件",3,10,0,0,False,1,0,50,1200,2400,192,0,0,0,0,0,99,1,51,0,0
51," 生产大量必需品",3,10,0,0,False,1,0,51,1200,2400,193,0,0,0,0,0,100,1,52,0,0
52," 制作标准化厚型装甲板",1,10,0,0,False,2,0,52,1200,2400,194,0,0,0,0,0,101,1,53,0,0
53," 制作宇宙飞船所需的传动轴",14,10,0,0,False,2,0,53,1200,2400,195,0,0,0,0,0,102,1,54,0,0
54," 筹备工作人员使用的碎石工具",4,10,0,3,False,2,0,54,1300,3000,196,0,0,0,0,0,103,1,55,0,0
55," 制作标准化合金铆钉",3,10,0,3,False,2,0,55,700,1500,197,0,0,0,0,0,104,1,56,0,0
56," 筹备工作人员使用的刻木工具",4,10,0,3,False,2,0,56,1100,2500,198,0,0,0,0,0,105,1,57,0,0
57," 制作中级定制零件",15,10,0,3,False,2,0,57,1200,2250,199,0,0,0,0,0,106,1,58,0,0
58," 制作隔热设备",9,10,0,3,False,2,0,58,700,1500,200,0,0,0,0,0,107,1,59,0,0
59," 制作月球车所需的传动轴",3,10,0,0,False,3,0,59,1600,2400,201,0,0,0,0,0,108,1,60,0,0
60," 制作标准化薄型装甲板",1,10,0,0,False,3,0,60,1600,2400,202,0,0,0,0,0,109,1,61,0,0
61," 筹备工作人员使用的冶炼工具",4,10,0,3,False,3,0,61,1700,2000,203,0,0,0,0,0,110,1,62,0,0
62," 制作淋浴所需的家具",6,10,0,3,False,3,0,62,2700,3000,204,0,0,0,0,0,111,1,63,0,0
63," 制作青磷式便携火炉",9,10,0,0,False,3,0,63,1600,2400,205,0,0,0,0,0,112,1,64,0,0
64," 制作居住区使用的照明设备",12,10,0,3,False,3,0,64,2700,3000,206,0,0,0,0,0,113,1,65,0,0
65," 制作使用了月面材料的工具",4,10,0,0,False,3,0,65,1000,1300,207,0,0,0,0,0,114,1,66,0,0
66," 制作使用了月面材料的零件",7,10,0,0,False,3,0,66,1000,1300,208,0,0,0,0,0,115,1,67,0,0
67,"制作重要设施所需的装甲板",1,10,0,0,False,4,1200,67,1800,2400,209,0,0,0,0,0,116,0,68,0,2200
68,"加工稀有材料",2,10,0,3,False,4,1200,68,2300,3000,210,0,0,0,0,0,117,0,69,0,2200
69,"补充设备施工的必需品",3,10,0,3,False,4,0,69,700,1000,211,0,0,0,0,0,118,0,70,0,2200
70,"筹备工作人员使用的铸甲工具",4,10,0,3,False,4,1200,70,700,1000,212,0,0,0,0,0,119,0,71,0,2200
71,"检验陨铁材料的加工方法",5,10,0,3,False,4,1200,71,2600,3000,213,0,0,0,0,0,120,0,72,0,2200
72,"【高难】重现东方家具",6,10,0,3,False,5,1200,72,2500,3000,214,0,0,0,0,0,121,0,73,0,2100
73,"【高难】加工精密材料",7,10,0,3,False,5,1200,73,840,1000,215,0,0,0,0,0,122,0,74,0,2100
74,"【高难】补充月门基地的备用品",8,10,0,3,False,5,1200,74,840,1000,216,0,0,2,0,0,123,0,75,0,2100
75,"【高难】制作工作辅助设备",9,10,0,3,False,5,1200,75,2800,3000,217,0,0,1,14,0,124,0,76,0,2100
76,"【高难+】对材料进行耐磨加工",10,10,0,0,False,6,420,76,560,880,218,0,0,0,13,0,125,0,77,0,2000
77,"【高难+】对材料进行抗震加工",11,10,0,0,False,6,330,77,560,880,219,0,0,0,14,0,126,0,78,0,2000
78,"制作基地内的备用家具",12,10,0,3,False,4,1200,78,2300,3000,220,0,0,0,0,0,127,0,79,0,2200
79,"【高难】续·制作基地内的备用家具",12,10,0,3,False,5,1200,79,2500,3000,221,0,0,0,0,78,128,0,80,0,2100
