key,0,1,2
#,Icon,SortKey,Name
int32,Image,byte,str
0,61762,0,"未设置"
1,61801,20,"迷宫挑战"
2,61804,21,"讨伐歼灭战"
3,61802,22,"大型任务"
4,61832,23,"绝境战"
5,61824,30,"深层迷宫"
6,61837,31,"特殊场景探索"
7,61806,40,"玩家对战"
8,61836,51,"青魔法师"
9,61808,52,"寻宝"
10,61819,53,"怪物狩猎"
11,61816,100,"制作"
12,61755,101,"采矿/园艺"
13,61756,102,"钓鱼"
14,61757,10,"主线任务"
15,61820,54,"金碟游乐场"
16,61807,50,"随机任务"
17,61752,150,"练级"
18,61751,151,"角色扮演"
19,61754,153,"硬核玩家"
20,61753,152,"休闲玩家"
21,61823,154,"新人"
22,61760,155,"指导者"
23,61758,200,"赚钱"
24,61764,205,"集体动作"
25,61759,204,"武具投影"
26,61763,203,"乐器演奏"
27,61765,206,"聊天"
28,61761,202,"房屋"
29,61766,207,"玩家自办活动"
30,61767,201,"成就收集"
31,61846,32,"特殊迷宫探索"
32,61768,55,"多玛方城战"
33,61847,56,"开拓无人岛"
