key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name{Rank},
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,"",0,"",0,0,0,0,0,"",""
1,"二等耀兵",0,"",0,0,0,0,0,"",""
2,"一等耀兵",0,"",0,0,0,0,0,"",""
3,"上等耀兵",0,"",0,0,0,0,0,"",""
4,"耀兵长",0,"",0,0,0,0,0,"",""
5,"协耀士",0,"",0,0,0,0,0,"",""
6,"副耀士",0,"",0,0,0,0,0,"",""
7,"正耀士",0,"",0,0,0,0,0,"",""
8,"耀士长",0,"",0,0,0,0,0,"",""
9,"协耀尉",0,"",0,0,0,0,0,"",""
10,"副耀尉",0,"",0,0,0,0,0,"",""
11,"正耀尉",0,"",0,0,0,0,0,"",""
12,"协耀校",0,"",0,0,0,0,0,"",""
13,"副耀校",0,"",0,0,0,0,0,"",""
14,"正耀校",0,"",0,0,0,0,0,"",""
15,"从耀将",0,"",0,0,0,0,0,"",""
16,"协耀将",0,"",0,0,0,0,0,"",""
17,"副耀将",0,"",0,0,0,0,0,"",""
18,"正耀将",0,"",0,0,0,0,0,"",""
19,"耀辉元帅",0,"",0,0,0,0,0,"",""
