key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,,,,,,,,,,,,,,,,,
int32,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,uint16,byte,byte,uint16,byte,byte,uint16,uint32,uint16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,115,5,5,2,5,0,0,1,1,7,0,0,0,0,0,0,0,0
2,120,10,5,2,5,0,0,1,1,7,0,0,0,0,0,0,0,0
3,125,10,5,2,5,0,0,1,1,8,0,0,0,0,0,0,0,0
4,115,5,5,2,5,0,0,1,1,7,0,0,0,0,0,0,0,0
5,120,10,5,2,5,0,0,1,1,7,0,0,0,0,0,0,0,0
6,115,5,5,2,5,0,0,1,1,7,0,0,0,0,0,0,0,0
7,0,15,10,2,5,0,0,1,2,3,1,1,5,0,0,0,0,0
8,0,20,10,3,7,0,0,1,2,6,1,1,4,0,0,0,0,0
9,0,20,10,3,7,0,0,1,2,5,1,1,5,0,0,0,0,0
10,0,20,10,3,6,0,0,1,2,4,1,1,6,0,0,0,0,0
11,0,25,10,4,9,0,0,1,2,9,1,1,5,0,0,0,0,0
12,0,25,10,4,9,0,0,1,2,7,1,1,7,0,0,0,0,0
13,0,20,10,3,7,0,0,1,2,5,1,1,5,0,0,0,0,0
14,0,0,20,7,10,0,0,1,2,5,1,1,9,0,0,0,0,0
15,0,0,15,6,8,0,0,1,2,7,1,1,4,0,0,0,0,0
16,0,0,10,4,5,0,0,1,3,5,1,1,3,0,0,0,0,0
17,0,0,20,7,10,0,0,1,3,9,1,2,5,0,0,0,0,0
18,0,0,20,8,11,0,0,1,3,10,1,1,6,0,0,0,0,0
19,0,0,25,8,11,0,0,1,3,10,1,2,6,0,0,0,0,0
20,0,0,20,8,10,0,0,1,3,7,1,2,5,1,1,5,0,0
21,0,0,20,8,10,0,0,1,3,6,1,2,6,1,1,6,0,0
22,0,0,0,19,18,0,0,1,2,13,1,1,19,0,0,0,0,0
23,0,0,0,18,17,0,0,1,3,18,1,1,12,0,0,0,0,0
24,0,0,0,19,17,0,0,1,3,12,1,2,19,0,0,0,0,0
25,0,0,0,15,14,0,0,1,4,15,1,1,10,0,0,0,0,0
26,0,0,0,30,28,0,0,1,4,30,1,2,20,0,0,0,0,0
27,0,0,0,19,20,0,0,1,3,19,1,1,13,0,0,0,0,0
28,0,0,0,15,15,0,0,1,3,10,1,2,15,0,0,0,0,0
29,0,0,0,15,15,0,0,1,4,15,1,1,10,0,0,0,0,0
30,0,0,0,31,34,0,0,1,4,24,1,3,16,1,1,16,0,0
31,0,0,0,30,33,0,0,1,4,23,1,3,15,1,2,15,0,0
32,0,0,0,32,35,0,0,1,4,25,1,2,16,1,1,16,0,0
33,0,0,0,16,15,0,0,1,4,16,1,3,11,0,0,0,0,0
34,0,0,0,19,21,0,0,1,3,10,1,2,10,1,1,10,0,0
35,0,0,0,11,10,0,0,1,2,7,1,1,11,0,0,0,0,0
36,0,0,0,14,16,0,0,1,4,11,1,3,8,1,1,8,0,0
37,0,0,0,13,17,0,0,1,4,10,1,3,7,1,2,7,0,0
38,0,0,0,15,15,0,0,1,4,15,1,2,10,0,0,0,0,0
39,0,0,0,15,18,0,0,1,4,12,1,3,8,1,1,8,0,0
40,0,0,0,18,20,0,0,1,4,18,1,3,12,0,0,0,0,0
41,0,0,0,19,23,0,0,1,3,11,1,2,11,1,1,11,0,0
42,0,0,0,17,23,0,0,1,4,14,1,2,10,1,1,10,0,0
43,0,0,0,35,42,0,0,1,4,27,1,3,17,1,1,17,0,0
44,0,0,0,35,45,0,0,1,4,27,1,3,19,1,2,19,0,0
45,0,0,0,84,117,0,0,1,4,84,1,2,51,1,1,51,0,0
46,115,5,5,2,5,0,0,2,1,7,0,0,0,0,0,0,0,0
47,120,10,5,2,5,0,0,2,1,7,0,0,0,0,0,0,0,0
48,125,10,5,2,5,0,0,2,1,8,0,0,0,0,0,0,0,0
49,115,5,5,2,5,0,0,2,1,7,0,0,0,0,0,0,0,0
50,120,10,5,2,5,0,0,2,1,7,0,0,0,0,0,0,0,0
51,115,5,5,2,5,0,0,2,1,7,0,0,0,0,0,0,0,0
52,0,15,10,2,5,0,0,2,2,3,2,1,5,0,0,0,0,0
53,0,20,10,3,7,0,0,2,2,6,2,1,4,0,0,0,0,0
54,0,20,10,3,7,0,0,2,2,5,2,1,5,0,0,0,0,0
55,0,20,10,3,6,0,0,2,2,4,2,1,6,0,0,0,0,0
56,0,25,10,4,9,0,0,2,2,9,2,1,5,0,0,0,0,0
57,0,25,10,4,9,0,0,2,2,7,2,1,7,0,0,0,0,0
58,0,20,10,3,7,0,0,2,2,5,2,1,5,0,0,0,0,0
59,0,0,20,7,10,0,0,2,2,5,2,1,9,0,0,0,0,0
60,0,0,15,6,8,0,0,2,2,7,2,1,4,0,0,0,0,0
61,0,0,10,4,5,0,0,2,3,5,2,1,3,0,0,0,0,0
62,0,0,20,7,10,0,0,2,3,9,2,2,5,0,0,0,0,0
63,0,0,20,8,11,0,0,2,3,10,2,1,6,0,0,0,0,0
64,0,0,25,8,11,0,0,2,3,10,2,2,6,0,0,0,0,0
65,0,0,20,8,10,0,0,2,3,7,2,2,5,2,1,5,0,0
66,0,0,20,8,10,0,0,2,3,6,2,2,6,2,1,6,0,0
67,0,0,0,19,18,0,0,2,2,13,2,1,19,0,0,0,0,0
68,0,0,0,18,17,0,0,2,3,18,2,1,12,0,0,0,0,0
69,0,0,0,19,17,0,0,2,3,12,2,2,19,0,0,0,0,0
70,0,0,0,15,14,0,0,2,4,15,2,1,10,0,0,0,0,0
71,0,0,0,30,28,0,0,2,4,30,2,2,20,0,0,0,0,0
72,0,0,0,19,20,0,0,2,3,19,2,1,13,0,0,0,0,0
73,0,0,0,15,15,0,0,2,3,10,2,2,15,0,0,0,0,0
74,0,0,0,15,15,0,0,2,4,15,2,1,10,0,0,0,0,0
75,0,0,0,31,34,0,0,2,4,24,2,3,16,2,1,16,0,0
76,0,0,0,30,33,0,0,2,4,23,2,3,15,2,2,15,0,0
77,0,0,0,32,35,0,0,2,4,25,2,2,16,2,1,16,0,0
78,0,0,0,16,15,0,0,2,4,16,2,3,11,0,0,0,0,0
79,0,0,0,19,21,0,0,2,3,10,2,2,10,2,1,10,0,0
80,0,0,0,11,10,0,0,2,2,7,2,1,11,0,0,0,0,0
81,0,0,0,14,16,0,0,2,4,11,2,3,8,2,1,8,0,0
82,0,0,0,13,17,0,0,2,4,10,2,3,7,2,2,7,0,0
83,0,0,0,15,15,0,0,2,4,15,2,2,10,0,0,0,0,0
84,0,0,0,15,18,0,0,2,4,12,2,3,8,2,1,8,0,0
85,0,0,0,18,20,0,0,2,4,18,2,3,12,0,0,0,0,0
86,0,0,0,19,23,0,0,2,3,11,2,2,11,2,1,11,0,0
87,0,0,0,17,23,0,0,2,4,14,2,2,10,2,1,10,0,0
88,0,0,0,35,42,0,0,2,4,27,2,3,17,2,1,17,0,0
89,0,0,0,35,45,0,0,2,4,27,2,3,19,2,2,19,0,0
90,0,0,0,84,117,0,0,2,4,84,2,2,51,2,1,51,0,0
91,115,5,5,2,5,0,0,3,1,7,0,0,0,0,0,0,0,0
92,120,10,5,2,5,0,0,3,1,7,0,0,0,0,0,0,0,0
93,125,10,5,2,5,0,0,3,1,8,0,0,0,0,0,0,0,0
94,115,5,5,2,5,0,0,3,1,7,0,0,0,0,0,0,0,0
95,120,10,5,2,5,0,0,3,1,7,0,0,0,0,0,0,0,0
96,115,5,5,2,5,0,0,3,1,7,0,0,0,0,0,0,0,0
97,0,15,10,2,5,0,0,3,2,3,3,1,5,0,0,0,0,0
98,0,20,10,3,7,0,0,3,2,6,3,1,4,0,0,0,0,0
99,0,20,10,3,7,0,0,3,2,5,3,1,5,0,0,0,0,0
100,0,20,10,3,6,0,0,3,2,4,3,1,6,0,0,0,0,0
101,0,25,10,4,9,0,0,3,2,9,3,1,5,0,0,0,0,0
102,0,25,10,4,9,0,0,3,2,7,3,1,7,0,0,0,0,0
103,0,20,10,3,7,0,0,3,2,5,3,1,5,0,0,0,0,0
104,0,0,20,7,10,0,0,3,2,5,3,1,9,0,0,0,0,0
105,0,0,15,6,8,0,0,3,2,7,3,1,4,0,0,0,0,0
106,0,0,10,4,5,0,0,3,3,5,3,1,3,0,0,0,0,0
107,0,0,20,7,10,0,0,3,3,9,3,2,5,0,0,0,0,0
108,0,0,20,8,11,0,0,3,3,10,3,1,6,0,0,0,0,0
109,0,0,25,8,11,0,0,3,3,10,3,2,6,0,0,0,0,0
110,0,0,20,8,10,0,0,3,3,7,3,2,5,3,1,5,0,0
111,0,0,20,8,10,0,0,3,3,6,3,2,6,3,1,6,0,0
112,0,0,0,19,18,0,0,3,2,13,3,1,19,0,0,0,0,0
113,0,0,0,18,17,0,0,3,3,18,3,1,12,0,0,0,0,0
114,0,0,0,19,17,0,0,3,3,12,3,2,19,0,0,0,0,0
115,0,0,0,15,14,0,0,3,4,15,3,1,10,0,0,0,0,0
116,0,0,0,30,28,0,0,3,4,30,3,2,20,0,0,0,0,0
117,0,0,0,19,20,0,0,3,3,19,3,1,13,0,0,0,0,0
118,0,0,0,15,15,0,0,3,3,10,3,2,15,0,0,0,0,0
119,0,0,0,15,15,0,0,3,4,15,3,1,10,0,0,0,0,0
120,0,0,0,31,34,0,0,3,4,24,3,3,16,3,1,16,0,0
121,0,0,0,30,33,0,0,3,4,23,3,3,15,3,2,15,0,0
122,0,0,0,32,35,0,0,3,4,25,3,2,16,3,1,16,0,0
123,0,0,0,16,15,0,0,3,4,16,3,3,11,0,0,0,0,0
124,0,0,0,19,21,0,0,3,3,10,3,2,10,3,1,10,0,0
125,0,0,0,11,10,0,0,3,2,7,3,1,11,0,0,0,0,0
126,0,0,0,14,16,0,0,3,4,11,3,3,8,3,1,8,0,0
127,0,0,0,13,17,0,0,3,4,10,3,3,7,3,2,7,0,0
