key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,uint32,uint32,uint32,uint32,uint16,byte,single,single,single
0.0,0,0,0,0,0,0,1,0,0
1.0,73034,67205,67204,9898,1,0,1,0,0
1.1,73008,70000,69999,9898,2,1,1,0,0
2.0,73036,68089,68088,9898,3,0,1,0,0
2.1,73011,70000,69999,9898,4,1,1,0,0
3.0,73024,69190,69189,9898,5,1,1,0,0
3.1,73112,69190,69189,9898,6,0,1,0,0
4.0,73026,69190,69189,9898,7,1,1,0,0
4.1,73178,69190,69189,9898,8,0,1,0,0
5.0,73025,69190,69189,9898,9,1,1,0,0
5.1,73085,69190,69189,9898,10,0,1,0,0
6.0,73007,70000,69999,9898,11,0,1,0,0
7.0,73012,70000,69999,9898,12,0,1,0,0
8.0,73071,70495,70494,9898,13,0,1,0,0
9.0,73265,70909,70908,9898,14,0,1,0,0
10.0,73266,70909,70908,9898,15,0,1,0,0
11.0,73261,70909,70908,9898,16,0,0.7,-14,-15
12.0,73210,70909,70908,9898,17,0,1,0,0
12.1,73275,70909,70908,9898,18,1,1,0,0
13.0,73287,70976,70975,9899,19,0,1,0,0
14.0,73077,70286,70285,9898,20,0,1,0,0
14.1,73274,70286,70285,9898,21,1,1,0,0
