key,0,1,2
#,,,
int32,uint16,str,str
0,0,"",""
1,1978,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在进行第一次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！"
2,1979,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在开展第一次宇宙飞线铺设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
3,1980,"月门基地东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地东南方正在开展居住舱安装工程支援行动！
工程急需人手！欢迎各位协助者加入！"
4,1981,"月门基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西北方正在开展第一次宇宙港建设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
5,1982,"月门基地东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地东北方正在开展第一次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！"
6,0,"憧憬湾西北方的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
7,0,"憧憬湾东南方的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
8,1983,"憧憬湾南部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾南部正在进行第一次隧道工程施工！
工程急需人手！欢迎各位协助者加入！"
9,1984,"憧憬湾南部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾南部正在进行第二次隧道工程施工！
工程急需人手！欢迎各位协助者加入！"
10,0,"憧憬湾西南方隧道深处的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
11,1985,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在进行第二次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！"
12,1986,"月门基地西南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西南方正在开展能源设施扩建工程支援行动！
工程急需人手！欢迎各位协助者加入！"
13,1987,"月门基地西部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西部正在开展供水设施扩建工程支援行动！
工程急需人手！欢迎各位协助者加入！"
14,1988,"月门基地东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地东北方正在开展第二次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！"
15,1989,"月门基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地西北方正在开展第二次宇宙港建设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
16,1990,"憧憬湾东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾东北方正在进行第一次升降梯建设用地整备工程施工！
工程急需人手！欢迎各位协助者加入！"
17,1991,"憧憬湾东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","憧憬湾东北方正在进行第二次升降梯建设用地整备工程施工！
工程急需人手！欢迎各位协助者加入！"
18,0,"憧憬湾东北方地底深处的建设工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
19,1992,"月门基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","月门基地正在进行基地综合设施扩建工程施工！
工程急需人手！欢迎各位协助者加入！"
20,2008,"玻璃匠基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第一次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！"
21,2009,"玻璃匠岩窟的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次宇宙飞线铺设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
22,2010,"玻璃匠基地东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展居住舱安装工程支援行动！
工程急需人手！欢迎各位协助者加入！"
23,2011,"玻璃匠基地东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展能源设施建设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
24,2012,"玻璃匠基地东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展供水设施建设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
25,2013,"玻璃匠基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！"
26,0,"平原地区的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
27,2014,"千花山丘东南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第一次升降机建设工程施工！
工程急需人手！欢迎各位协助者加入！"
28,2015,"胶囊峡谷东北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第二次升降机建设工程施工！
工程急需人手！欢迎各位协助者加入！"
29,0,"胶囊峡谷底部的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
30,2016,"玻璃匠基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行第二次基地扩建工程施工！
工程急需人手！欢迎各位协助者加入！"
31,2017,"玻璃匠基地西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第二次机甲库扩建工程！
工程急需人手！欢迎各位协助者加入！"
32,2018,"玻璃匠基地西南方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展宇宙港建设工程支援行动！
工程急需人手！欢迎各位协助者加入！"
33,2019,"蛋白石十字口西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次能量集散设施建设工程！
工程急需人手！欢迎各位协助者加入！"
34,2020,"千花山丘西北方的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第二次能量集散设施建设工程！
工程急需人手！欢迎各位协助者加入！"
35,2021,"玻砾河岸南部的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展冷却无人机据点建设工程！
工程急需人手！欢迎各位协助者加入！"
36,2022,"熔火涌道的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第一次冷却熔融玻璃大作战！
工程急需人手！欢迎各位协助者加入！"
37,2023,"熔火涌道的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在开展第二次冷却熔融玻璃大作战！
工程急需人手！欢迎各位协助者加入！"
38,0,"熔火涌道的宇宙飞线工程即将完工。
届时工程对应的施工区域将禁止人员进入，敬请注意。",""
39,2024,"玻璃匠基地的联合工程即将动工。
工程急需人手！欢迎各位协助者加入！","正在进行基地综合设施扩建工程施工！
工程急需人手！欢迎各位协助者加入！"
40,0,"",""
41,0,"",""
42,0,"",""
43,0,"",""
44,0,"",""
45,0,"",""
46,0,"",""
47,0,"",""
48,0,"",""
49,0,"",""
50,0,"",""
51,0,"",""
52,0,"",""
53,0,"",""
54,0,"",""
55,0,"",""
