key,0,1,2,3
#,,,,
int32,byte,uint32,uint32,str
0,0,5,0,"このコンテンツは、最新および直近のパッチのダンジョンを2種以上コンプリートする必要があります。"
1,0,8,0,""
2,0,1,0,""
3,1,1252,0,""
4,2,1281,11875001,"このコンテンツは、グリダニアのサブクエストでディープダンジョンを開放・攻略したうえで、クリスタリウムのサブクエストを進行する必要があります。"
5,2,1311,11875001,"このコンテンツは、ひとつ上のコンテンツを開放したうえで対象クエストをコンプリートする必要があります。"
6,3,1315,0,"このコンテンツは、オールド・シャーレアンの特殊ダンジョン探索サブクエストを進める必要があります。"
7,3,1316,0,"このコンテンツは、ひとつ上のコンテンツを攻略・完了し、NPCから開放する必要があります。"
8,3,1317,0,"このコンテンツは、ひとつ上のコンテンツを攻略・完了し、NPCから開放する必要があります。"
9,4,1320,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。"
10,4,1322,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。"
11,4,1324,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。"
12,4,1326,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、レイドを開放する必要があります。"
13,4,1321,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。"
14,4,1323,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。"
15,4,1325,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。"
16,4,1327,0,"このコンテンツは「黄金のレガシー」のクロニクルクエストを進行し、NPCから高難易度のレイドを開放する必要があります。"
17,5,1308,0,"「黄金のレガシー」のメインクエストを進行させて討伐・討滅戦を攻略したうえで、異邦の詩人から高難易度コンテンツを開放する必要があります。"
18,6,1187,0,""
19,6,1188,0,""
20,6,1189,0,""
21,6,1190,0,""
22,6,1191,0,""
23,6,1192,0,""
