#,Unknown7,Unknown39,Unknown8,Unknown9,Unknown40,Unknown12,Unknown43,Unknown15,Unknown10,Unknown41,Unknown13,Unknown44,Unknown16,Unknown11,Unknown42,Unknown14,Unknown45,Unknown17,Unknown18,Unknown0,Unknown25,Unknown32,Unknown46,Unknown19,Unknown1,Unknown26,Unknown33,Unknown47,Unknown20,Unknown2,Unknown27,Unknown34,Unknown48,Unknown21,Unknown3,Unknown28,Unknown35,Unknown49,Unknown22,Unknown4,Unknown29,Unknown36,Unknown50,Unknown23,Unknown5,Unknown30,Unknown37,Unknown51,Unknown24,Unknown6,Unknown31,Unknown38,Unknown52
int32,uint32,int32,uint32,uint32,int32,uint32,int32,uint32,uint32,int32,uint32,int32,uint32,uint32,int32,uint32,int32,uint32,uint32,single,uint32,uint32,int32,uint32,single,uint32,uint32,int32,uint32,single,uint32,uint32,int32,uint32,single,uint32,uint32,int32,uint32,single,uint32,uint32,int32,uint32,single,uint32,uint32,int32,uint32,single,uint32,uint32,int32
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
1.1,3,0,0,5,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,100,1,0,-1,11,100,4,1,-1,11,100,0,1,-1,6,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
1.2,3,0,20,3,0,12,0,0,7,2,33,0,36,0,0,0,0,0,1,100,2,0,-1,11,100,4,100,-1,11,100,4,1,-1,11,100,3,1,-1,6,100,0,0,-1,13,100,50844,0,-1,11,100,0,1,-1
1.3,3,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,3,0,-1,11,100,4,50,-1,11,100,4,1,-1,11,100,2,1,-1,6,100,0,0,-1,13,100,50845,0,-1,11,100,0,1,-1
1.4,3,0,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,4,0,-1,11,100,4,30,-1,11,100,4,1,-1,11,100,1,1,-1,6,100,0,0,-1,13,100,50846,0,-1,11,100,0,1,-1
1.5,3,1,0,5,0,0,0,0,1,2,32,0,0,0,0,0,0,0,1,100,1,0,-1,11,100,4,1,-1,11,100,0,1,-1,6,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
1.6,3,1,100,3,0,5,0,0,1,2,32,0,0,7,2,33,0,36,1,100,2,0,-1,11,100,4,100,-1,11,100,4,1,-1,11,100,3,1,-1,6,100,0,0,-1,13,100,50844,0,-1,11,100,0,1,-1
1.7,3,1,0,4,0,1,0,0,1,2,32,0,0,0,0,0,0,0,1,100,3,0,-1,11,100,4,50,-1,11,100,4,1,-1,11,100,2,1,-1,6,100,0,0,-1,13,100,50845,0,-1,11,100,0,1,-1
1.8,3,1,0,4,0,1,0,0,1,2,32,0,0,0,0,0,0,0,1,100,4,0,-1,11,100,4,30,-1,11,100,4,1,-1,11,100,1,1,-1,6,100,0,0,-1,13,100,50846,0,-1,11,100,0,1,-1
2.0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
2.1,3,0,20,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,0,-1,9,100,11591,11593,-1,3,100,11317,0,-1,0,100,0,0,-1,11,100,4,1,-1,11,100,0,1,-1,0,100,0,0,-1
2.2,3,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,0,-1,9,100,11592,11593,-1,3,100,11318,0,-1,0,100,0,0,-1,11,100,4,1,-1,11,100,0,1,-1,0,100,0,0,-1
2.3,3,0,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,0,-1,6,100,1,0,-1,11,100,4,1,-1,11,100,0,1,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
2.4,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,3,0,-1,0,100,0,0,-1,3,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
3.0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
3.1,3,0,20,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,0,-1,11,100,4,100,-1,11,100,4,1,-1,11,100,3,1,-1,6,100,0,0,-1,13,100,50844,0,-1,11,100,0,1,-1
3.2,3,0,30,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,3,0,-1,11,100,4,50,-1,11,100,4,1,-1,11,100,2,1,-1,6,100,0,0,-1,13,100,50845,0,-1,11,100,0,1,-1
3.3,3,0,50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,4,0,-1,11,100,4,30,-1,11,100,4,1,-1,11,100,1,1,-1,6,100,0,0,-1,13,100,50846,0,-1,11,100,0,1,-1
4.0,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
4.1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,0,-1,6,100,1,0,-1,11,100,4,1,-1,11,100,0,1,-1,0,100,0,0,-1,0,100,0,0,-1,0,100,0,0,-1
