key,0,1
#,,Expac
int32,byte,str
0,0,""
1,2,"苍穹之禁城"
2,3,"红莲之狂潮"
3,4,"暗影之逆焰"
4,1,"大型任务"
5,2,"团队任务"
6,3,"讨伐歼灭战"
7,1,"非著名调查员"
8,3,"圣恩达利姆神学院记"
9,2,"主线任务外传"
10,1,"刻木匠"
11,2,"锻铁匠"
12,3,"铸甲匠"
13,4,"雕金匠"
14,5,"制革匠"
15,6,"裁衣匠"
16,7,"炼金术士"
17,8,"烹调师"
18,1,"采矿工"
19,2,"园艺工"
20,3,"捕鱼人"
21,1,"剑术师 骑士"
22,2,"斧术师 战士"
23,1,"幻术师 白魔法师"
24,22,"秘术师 召唤师"
25,1,"格斗家 武僧"
26,2,"枪术师 龙骑士"
27,3,"双剑师 忍者"
28,11,"弓箭手 吟游诗人"
29,21,"咒术师 黑魔法师"
30,1,"重生之境"
31,3,"暗黑骑士"
32,4,"绝枪战士"
33,2,"学者"
34,3,"占星术士"
35,4,"武士"
36,12,"机工士"
37,13,"舞者"
38,0,""
39,23,"赤魔法师"
40,99,"青魔法师"
41,0,"防护职业"
42,0,"治疗职业"
43,0,"进攻职业"
44,5,"职能剧情任务"
45,6,"虚无界再生计划"
46,5,"晓月之终途"
47,4,"贤者"
48,5,"钐镰客"
49,7,"多变迷宫"
50,8,"第七灵灾回忆录"
51,9,"塔塔露的大繁荣商店"
52,6,"金曦之遗辉"
53,6,"蝰蛇剑士"
54,24,"绘灵法师"
55,4,"职能任务序章"
