key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,GlassesStyle,Icon,,Singular,,Plural,,,,,,Description,Name
int32,uint32,GlassesStyle,Image,uint16,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str
0,0,-1,0,0,"",0,"",0,0,1,0,0,"",""
1,71037,0,200049,0,"椭圆眼镜",0,"",0,0,1,0,0,"基础色的面部配饰。","椭圆眼镜"
2,136573,0,200053,0,"银框椭圆眼镜",0,"",0,0,1,0,0,"银色的面部配饰。","银框椭圆眼镜"
3,202109,0,200052,0,"金框椭圆眼镜",0,"",0,0,1,0,0,"金色的面部配饰。","金框椭圆眼镜"
4,267645,0,200054,0,"黑框椭圆眼镜",0,"",0,0,1,0,0,"黑色的面部配饰。","黑框椭圆眼镜"
5,333181,0,200059,0,"白框椭圆眼镜",0,"",0,0,1,0,0,"白色的面部配饰。","白框椭圆眼镜"
6,398717,0,200050,0,"灰框椭圆眼镜",0,"",0,0,1,0,0,"灰色的面部配饰。","灰框椭圆眼镜"
7,464253,0,200057,0,"红框椭圆眼镜",0,"",0,0,1,0,0,"红色的面部配饰。","红框椭圆眼镜"
8,529789,0,200056,0,"蓝框椭圆眼镜",0,"",0,0,1,0,0,"蓝色的面部配饰。","蓝框椭圆眼镜"
9,595325,0,200060,0,"绿框椭圆眼镜",0,"",0,0,1,0,0,"绿色的面部配饰。","绿框椭圆眼镜"
10,660861,0,200051,0,"铜框椭圆眼镜",0,"",0,0,1,0,0,"铜色的面部配饰。","铜框椭圆眼镜"
11,726397,0,200055,0,"紫框椭圆眼镜",0,"",0,0,1,0,0,"紫色的面部配饰。","紫框椭圆眼镜"
12,791933,0,200058,0,"棕框椭圆眼镜",0,"",0,0,1,0,0,"棕色的面部配饰。","棕框椭圆眼镜"
13,71038,1,200085,0,"金边墨镜",0,"",0,0,1,0,0,"基础色的面部配饰。","金边墨镜"
14,136574,1,200089,0,"银框金边墨镜",0,"",0,0,1,0,0,"银色的面部配饰。","银框金边墨镜"
15,202110,1,200088,0,"金框金边墨镜",0,"",0,0,1,0,0,"金色的面部配饰。","金框金边墨镜"
16,267646,1,200090,0,"黑框金边墨镜",0,"",0,0,1,0,0,"黑色的面部配饰。","黑框金边墨镜"
17,333182,1,200095,0,"白框金边墨镜",0,"",0,0,1,0,0,"白色的面部配饰。","白框金边墨镜"
18,398718,1,200086,0,"灰框金边墨镜",0,"",0,0,1,0,0,"灰色的面部配饰。","灰框金边墨镜"
19,464254,1,200093,0,"红框金边墨镜",0,"",0,0,1,0,0,"红色的面部配饰。","红框金边墨镜"
20,529790,1,200092,0,"蓝框金边墨镜",0,"",0,0,1,0,0,"蓝色的面部配饰。","蓝框金边墨镜"
21,595326,1,200096,0,"绿框金边墨镜",0,"",0,0,1,0,0,"绿色的面部配饰。","绿框金边墨镜"
22,660862,1,200087,0,"铜框金边墨镜",0,"",0,0,1,0,0,"铜色的面部配饰。","铜框金边墨镜"
23,726398,1,200091,0,"紫框金边墨镜",0,"",0,0,1,0,0,"紫色的面部配饰。","紫框金边墨镜"
24,791934,1,200094,0,"棕框金边墨镜",0,"",0,0,1,0,0,"棕色的面部配饰。","棕框金边墨镜"
25,71039,2,200061,0,"经典眼镜",0,"",0,0,1,0,0,"基础色的面部配饰。","经典眼镜"
26,136575,2,200065,0,"银框经典眼镜",0,"",0,0,1,0,0,"银色的面部配饰。","银框经典眼镜"
27,202111,2,200064,0,"金框经典眼镜",0,"",0,0,1,0,0,"金色的面部配饰。","金框经典眼镜"
28,267647,2,200066,0,"黑框经典眼镜",0,"",0,0,1,0,0,"黑色的面部配饰。","黑框经典眼镜"
29,333183,2,200071,0,"白框经典眼镜",0,"",0,0,1,0,0,"白色的面部配饰。","白框经典眼镜"
30,398719,2,200062,0,"灰框经典眼镜",0,"",0,0,1,0,0,"灰色的面部配饰。","灰框经典眼镜"
31,464255,2,200069,0,"红框经典眼镜",0,"",0,0,1,0,0,"红色的面部配饰。","红框经典眼镜"
32,529791,2,200068,0,"蓝框经典眼镜",0,"",0,0,1,0,0,"蓝色的面部配饰。","蓝框经典眼镜"
33,595327,2,200072,0,"绿框经典眼镜",0,"",0,0,1,0,0,"绿色的面部配饰。","绿框经典眼镜"
