#,RequiredDevGrade0,RequiredDevGrade1,RequiredDevGrade2,RequiredDevGrade3,Unknown120,Unknown121,Unknown122,Unknown123,RequiredQuests00,RequiredQuests01,RequiredQuests02,RequiredQuests03,RequiredQuests10,RequiredQuests11,RequiredQuests12,RequiredQuests13,RequiredQuests20,RequiredQuests21,RequiredQuests22,RequiredQuests23
int32,WKSDevGrade,WKSDevGrade,WKSDevGrade,WKSDevGrade,byte,byte,byte,byte,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,67631,67631,67631,67631,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,67631,67631,67631,67631,67633,67633,67633,67633,0,0,0,0
5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,70789,70945,70984,71019,0,0,0,0,0,0,0,0
9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,67624,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,67624,0,0,0,67631,0,0,0,0,0,0,0
12,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,67623,0,0,0,0,0,0,0,0,0,0
15,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,70790,70946,70985,0,0,0,0,0,70945,70984,71019,0
18,0,0,0,0,0,0,0,0,70790,70946,70985,0,0,0,0,0,0,0,0,0
19,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
