#,Icon,WarpName,CanSkipCutscene,WarpParams0Function,WarpParams1Function,WarpParams2Function,WarpParams3Function,WarpParams4Function,WarpParams5Function,WarpParams6Function,WarpParams7Function,WarpParams8Function,WarpParams9Function,WarpParams0Argument,WarpParams1Argument,WarpParams2Argument,WarpParams3Argument,WarpParams4Argument,WarpParams5Argument,WarpParams6Argument,WarpParams7Argument,WarpParams8Argument,WarpParams9Argument,Question,ResponseYes,ResponseNo
int32,Image,str,bit&01,str,str,str,str,str,str,str,str,str,str,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,str,str,str
0,0,"",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
1,0,"",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","是","否"
2,0,"WarpRentalChocobo",True,"HOWTO_ABOUT_RENTAL_CHOCOBO","","","","","","","","","",81,0,0,0,0,0,0,0,0,0,"租借陆行鸟","",""
3,0,"WarpInnLimsaLominsa",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
4,0,"WarpInnGridania",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
5,0,"WarpInnUldah",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
6,0,"WarpHousingEnterHouse",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","是","否"
7,0,"WarpHousingExitHouse",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","是","否"
8,0,"WarpWeddingPlaceDesk",False,"QUEST_WEDDING","ITEM_CHILD_TICKET","","","","","","","","",67114,8699,0,0,0,0,0,0,0,0,"","是","否"
9,0,"WarpInnIshgard",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
10,0,"WarpInnKugane",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
11,0,"WarpInnCrystarium",True,"QST_LUCKMA401","QST_LUCKME114","QST_LUCKMF111","QST_SEQ_11","QST_SEQ_FINISH","QST_LUCKMI111","","","","",68836,69179,69190,11,255,69317,0,0,0,0,"","",""
12,0,"WarpSystemEnterTerritory",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
13,0,"WarpInnOldSharlayan",True,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","",""
14,0,"WarpSEElpis",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","是","否"
15,0,"WarpSEUltimaThule",False,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,"","是","否"
16,0,"WarpInnTuliyollal",False,"QST_SEQ_1","QST_SEQ_FINISH","QST_KINGMD108","QST_KINGME111","QST_KINGMF114","QST_SEQ_2","QST_KINGMB104","","","",1,255,70455,70478,70495,2,70419,0,0,0,"","",""
