key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,ShopName,,,,,,,,,,,,,,,,,,
int32,str,int32,int32,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,bit&01,bit&02
3473408,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473409,"特殊商品交易员",1,4,4,2,3,0,0,0,0,235,210,0,0,0,0,0,True,False
3473410,"交换证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473411,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473412,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473413,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473414,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473415,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473416,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473417,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473418,"交换兽人货币证书",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473419,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473420,"战果记录回收（上锁的宝箱）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473421,"战果记录回收（其他）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473422,"战果记录回收（其他）",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473423,"不用品の交換",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473424,"回收生活50级时装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473425,"回收生活60级时装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473426,"回收生活70级时装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473427,"回收生活80级时装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473428,"回收生活90级时装",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473429,"换取解放军的票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473430,"换取解放军的票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473431,"换取解放军的票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473432,"换取罗刹的票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473433,"换取罗刹的票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473434,"换取罗刹的票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473435,"换取游末邦的一类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473436,"换取游末邦的一类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473437,"换取游末邦的一类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473438,"换取游末邦的二类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473439,"换取游末邦的二类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473440,"换取游末邦的二类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473441,"换取游末邦的三类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473442,"换取游末邦的三类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473443,"换取游末邦的三类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473444,"换取拉札罕的一类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473445,"换取拉札罕的一类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473446,"换取拉札罕的一类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473447,"换取拉札罕的二类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473448,"换取拉札罕的二类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473449,"换取拉札罕的二类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473450,"换取拉札罕的三类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473451,"换取拉札罕的三类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473452,"换取拉札罕的三类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473453,"换取永护塔的一类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473454,"换取永护塔的一类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473455,"换取永护塔的一类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473456,"换取永护塔的二类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473457,"换取永护塔的二类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473458,"换取永护塔的二类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473459,"换取永护塔的三类票据（武器）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473460,"换取永护塔的三类票据（防具）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473461,"换取永护塔的三类票据（饰品）",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473462,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
