key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,ContentType,Icon,MenuOrder,RequiredAmount,Reward[0],ExpMultiplier,Reward[1],GilRward,LevelUnlock,HowTo,ReqUnlock,Name,Description,ExpCap
int32,ContentsNoteCategory,Image,byte,int32,byte,int32,byte,int32,uint16,HowTo,Row,str,str,int32
0,0,0,0,0,0,0,0,0,0,0,0,"","",0
1,1,61801,1,3,5,15,3,1000,0,57,0,"挑战随机任务","使用随机任务成功挑战迷宫3次。",1625700
2,1,61801,2,5,5,10,3,2000,0,57,0,"挑战迷宫次数","成功挑战迷宫5次。",1083800
3,1,61803,3,3,5,5,3,1000,0,71,0,"挑战行会令次数1","成功挑战行会令3次。",541900
4,1,61803,4,10,5,10,3,2000,0,71,0,"挑战行会令次数2","成功挑战行会令10次。",1083800
5,6,61808,3,5,0,0,3,2000,0,231,0,"宝物库宝箱开箱次数1","成功打开5次宝物库的宝箱。",0
6,1,61825,8,3,0,0,3,2000,60,0,0,"库洛的奇谈书印花数","完成天书奇谈的目标任务，贴上3个印花。",0
7,2,61806,1,10,0,0,9,1000,0,130,0,"水晶冲突参战次数","参加10次水晶冲突的战斗。",0
8,2,61806,2,3,0,0,9,1000,0,130,0,"水晶冲突获胜次数","在水晶冲突获胜3次。",0
9,0,0,0,0,0,0,0,0,0,0,0,"","",0
10,0,0,0,0,0,0,0,0,0,0,0,"","",0
11,4,61811,1,5,5,15,3,1000,0,0,0,"理符任务类型称霸","完成5种不同类型的理符任务。",1625700
12,4,61811,2,20,5,15,3,2000,0,0,0,"挑战理符任务次数","完成20次理符任务。",1625700
13,8,61812,2,10,0,0,6,1000,0,89,0,"军需品补给品筹备次数2","交纳10次筹备中的军需品及补给品。",0
14,8,61812,1,5,0,0,6,1000,0,89,0,"军需品补给品筹备次数1","交纳5次筹备中的军需品及补给品。",0
15,6,61808,1,3,0,0,3,1000,0,149,0,"寻宝地图采集次数","成功采集陈旧的地图3次。",0
16,6,61808,2,5,0,0,3,2000,0,149,0,"宝箱挖掘次数","成功打开宝箱获得宝物5次。",0
17,1,61813,6,20,7,5,3,1000,0,96,0,"搭档讨伐数1","与搭档一起讨伐20只等级接近的敌人。",0
18,1,61813,7,100,7,10,3,2000,0,96,0,"搭档讨伐数2","与搭档一起讨伐100只等级接近的敌人。",0
19,7,61814,1,5,0,0,3,1000,0,152,0,"友好部族任务完成次数1","成功完成5次友好部族日常任务。",0
20,7,61814,2,15,0,0,3,2000,0,152,0,"友好部族任务完成次数2","成功完成15次友好部族日常任务。",0
21,12,61810,1,5,0,0,3,10000,0,0,0,"挑战笔记完成数1","完成5种挑战笔记中的项目。",0
22,12,61810,2,10,0,0,3,10000,0,0,0,"挑战笔记完成数2","完成10种挑战笔记中的项目。",0
23,12,61810,3,15,0,0,3,10000,20,0,0,"挑战笔记完成数3","完成15种挑战笔记中的项目。",0
24,12,61810,4,20,0,0,3,10000,30,0,0,"挑战笔记完成数4","完成20种挑战笔记中的项目。",0
25,1,61817,5,5,5,10,3,1000,0,160,0,"最优队员","给出5次最优队员推荐。",1083800
26,5,61815,4,100,5,5,3,1000,0,0,0,"采集活动","使用采矿工或园艺工采集100个等级接近的道具。",0
27,5,61815,5,30,5,5,3,2000,0,0,0,"采集活动额外奖励","使用采矿工或园艺工采集等级接近的道具时触发30次额外采集奖励。",0
28,5,61815,6,30,5,5,3,1000,0,0,0,"钓鱼","使用捕鱼人成功钓鱼30次。",0
29,5,61815,7,10,5,5,3,2000,0,0,0,"大尺寸钓鱼","使用捕鱼人成功钓到大尺寸的鱼10次。",0
30,5,61816,1,30,5,10,3,1000,0,0,0,"制作活动","成功制作30个等级接近的道具。",0
31,5,61816,2,20,5,10,3,2000,0,0,0,"优质制作活动","成功制作20个等级接近的优质道具。",0
32,0,0,0,0,0,0,0,0,0,0,0,"","",0
33,9,61818,1,10,0,0,3,1000,0,168,0,"雇员探险成功次数","让雇员外出探险成功10次。",0
34,9,61818,2,15,0,0,3,4000,0,169,0,"雇员探索委托次数","让雇员成功完成探索委托15次。",0
35,2,61806,3,7,0,0,9,1000,0,176,0,"纷争前线参战次数","参加7次纷争前线的战斗。",0
36,2,61806,4,3,0,0,9,1000,0,176,0,"纷争前线胜利次数","在纷争前线的战斗中获胜3次。",0
37,10,61820,1,3,0,0,8,1000,0,201,0,"小游戏完成次数","完成3次小游戏。",0
38,10,61820,2,100,0,0,8,1500,0,201,0,"小游戏获得金碟币","在小游戏中获得100金碟币。",0
39,10,61820,3,5,0,0,8,5000,0,201,0,"机遇任务参加次数","参加5次机遇任务。",0
40,10,61820,4,3,0,0,8,8000,0,201,0,"机遇任务完成次数","完成3次机遇任务。",0
41,10,61820,5,3,0,0,8,5000,0,196,0,"陆行鸟竞赛参赛次数1","参赛3次陆行鸟竞赛。",0
42,10,61820,6,20,0,0,8,8000,0,196,0,"陆行鸟竞赛参赛次数2","参赛20次陆行鸟竞赛。",0
43,10,61820,7,1,0,0,8,5000,0,196,0,"陆行鸟竞赛夺冠次数1","在陆行鸟竞赛中夺冠1次。",0
44,10,61820,8,10,0,0,8,8000,0,196,0,"陆行鸟竞赛夺冠次数2","在陆行鸟竞赛中夺冠10次。",0
45,10,61820,9,10,0,0,8,5000,0,199,0,"九宫幻卡对局次数","进行10次九宫幻卡对局。",0
46,10,61820,10,10,0,0,8,8000,0,199,0,"九宫幻卡胜利次数","在九宫幻卡对局中取胜10次。",0
47,10,61820,15,3,0,0,8,10000,0,224,0,"萌宠之王对战次数2","进行3次萌宠之王对战。",0
48,12,61810,5,30,0,0,3,15000,30,0,0,"挑战笔记完成数5","完成30种挑战笔记中的项目。",0
49,10,61820,11,5,0,0,8,2500,0,200,0,"幻卡对局室对局次数","进入幻卡对局室进行5次九宫幻卡对局。",0
50,10,61820,12,3,0,0,8,3000,0,200,0,"幻卡对局室胜利次数","进入幻卡对局室，在九宫幻卡对局中取胜3次。",0
51,5,61827,10,6,0,0,3,1000,60,219,0,"老主顾交易次数","在老主顾交易中交纳物品6次。",0
52,5,61815,8,50,5,5,3,1000,0,241,0,"刺鱼","通过刺鱼成功采集道具50次。",0
53,5,61815,9,20,5,5,3,2000,0,241,0,"大尺寸刺鱼","通过刺鱼成功采集到大尺寸的鱼20次。",0
54,2,61806,5,10,0,0,9,1000,0,240,0,"烈羽争锋参战次数","参加10次烈羽争锋的战斗。",0
55,2,61806,6,5,0,0,9,1000,0,240,0,"烈羽争锋胜利次数","在烈羽争锋中获胜5次。",0
56,13,61833,9,30,10,5,3,1000,0,251,0,"优雷卡雷冰属性敌人讨伐数1","讨伐30只雷、冰属性的敌人，敌人的元素等级最低比自身当前等级低2级。",0
57,13,61833,10,60,10,15,3,1000,0,251,0,"优雷卡雷冰属性敌人讨伐数2","讨伐60只雷、冰属性的敌人，敌人的元素等级最低比自身当前等级低2级。",0
58,13,61833,11,30,10,5,3,1000,0,251,0,"优雷卡火土属性敌人讨伐数1","讨伐30只火、土属性的敌人，敌人的元素等级最低比自身当前等级低2级。",0
59,13,61833,12,60,10,15,3,1000,0,251,0,"优雷卡火土属性敌人讨伐数2","讨伐60只火、土属性的敌人，敌人的元素等级最低比自身当前等级低2级。",0
60,13,61833,13,30,10,5,3,1000,0,251,0,"优雷卡水风属性敌人讨伐数1","讨伐30只水、风属性的敌人，敌人的元素等级最低比自身当前等级低2级。",0
61,13,61833,14,60,10,15,3,1000,0,251,0,"优雷卡水风属性敌人讨伐数2","讨伐60只水、风属性的敌人，敌人的元素等级最低比自身当前等级低2级。",0
62,13,61833,15,20,10,5,3,1000,0,251,0,"优雷卡不死敌人讨伐数1","讨伐20只不死系敌人，敌人的元素等级最低和自身当前等级相同。",0
63,13,61833,16,40,10,15,3,1000,0,251,0,"优雷卡不死敌人讨伐数2","讨伐40只不死系敌人，敌人的元素等级最低和自身当前等级相同。",0
