key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,str,str,str,byte,bit&01,uint16,byte,uint16,uint32,int32,uint32,uint32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,"","","","","",0,False,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"第一次基地扩建工程　物资准备中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第一次基地扩建工程　物资准备中","是时候一起筹备物资，扩建月门基地啦！
请积极参加探索任务帮忙筹备物资！","宇宙探索终于启航！是时候一起筹备物资，扩建月门基地啦！","查明威",0,False,158,1,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,"第一次基地扩建工程　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第一次基地扩建工程　联合工程准备中","扩建月门基地的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","扩建月门基地的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",0,False,158,2,0,241001,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,"第一次基地扩建工程　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第一次基地扩建工程　联合工程进行中","扩建月门基地的联合工程正在进行中！
请一定要来帮忙呀！","扩建月门基地的联合工程正在进行中！请一定要来帮忙呀！","查明威",0,False,158,3,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
4,"月门基地：二级基地　竣工
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>下一项工程尚在计划阶段，请先随意放松一下吧！","月门基地：二级基地　竣工","月门基地扩建完毕啦！成果很棒！
探索活动正在有条不紊地推进着，感谢大家的帮助！","月门基地扩建完毕啦！成果很棒！感谢大家的帮助！","查明威",1,False,158,4,0,241002,1406,18,0,6,0,2,3,0,0,0,0,0,0,0,0,0
5,"第一次宇宙飞线铺设工程支援行动　物资收集中
 <UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参加探索任务筹备物资吧！","第一次宇宙飞线铺设工程支援行动　物资收集中","我们需要在月门基地附近建设快速移动的宇宙飞线！
请积极参加探索任务帮忙筹备物资！","我们需要在月门基地附近建设快速移动的宇宙飞线！一起筹备物资吧！","查明威",1,False,158,5,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
6,"第一次宇宙飞线铺设工程支援行动　联合工程准备中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请为联合工程的开工做好准备！","第一次宇宙飞线铺设工程支援行动　联合工程准备中","建设宇宙飞线的联合工程举办时间确定啦！
到时候请务必要来帮忙呀！","建设宇宙飞线的联合工程举办时间确定啦！到时候一定要来帮忙呀！","查明威",1,False,158,6,0,241003,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
7,"第一次宇宙飞线铺设工程支援行动　联合工程进行中
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>请积极参与其中吧！","第一次宇宙飞线铺设工程支援行动　联合工程进行中","建设宇宙飞线的联合工程正在进行中！
请一定要来帮忙呀！","建设宇宙飞线的联合工程正在进行中！请一定要来帮忙呀！","查明威",1,False,158,7,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
