key,0,1,2,3,4,5,6,7
#,Image,Icon,,UnlockCondition,,,SortKey,Name
int32,Image,Image,byte,BannerCondition,uint16,uint16,uint16,str
0,0,82093,0,0,0,0,0,"无"
1,192001,82093,1,1,0,0,1,"无"
2,192002,82093,1,1,0,0,2,"月桂叶"
3,192003,82093,1,1,0,0,10,"心形"
4,192004,82093,1,1,0,0,11,"星星"
5,192005,82093,1,1,0,0,12,"防护职业"
6,192006,82093,1,1,0,0,14,"进攻职业"
7,192007,82093,1,1,0,0,13,"治疗职业"
8,192008,82093,1,1,0,0,32,"闪亮"
9,192009,82093,1,1,0,0,16,"肉球"
10,192010,82093,1,1,0,0,17,"感叹号"
11,192011,82093,1,1,0,0,18,"问号"
12,192301,82093,2,124,0,0,2000,"骑士"
13,192302,82093,2,125,0,0,2001,"战士"
14,192303,82093,2,126,0,0,2002,"暗黑骑士"
15,192304,82093,2,127,0,0,2003,"绝枪战士"
16,192305,82093,2,128,0,0,2004,"白魔法师"
17,192306,82093,2,129,0,0,2005,"学者"
18,192307,82093,2,130,0,0,2006,"占星术士"
19,192308,82093,2,131,0,0,2007,"贤者"
20,192309,82093,2,132,0,0,2008,"武僧"
21,192310,82093,2,133,0,0,2009,"龙骑士"
22,192311,82093,2,134,0,0,2010,"忍者"
23,192312,82093,2,135,0,0,2011,"武士"
24,192313,82093,2,136,0,0,2012,"钐镰客"
25,192314,82093,2,137,0,0,2014,"吟游诗人"
26,192315,82093,2,138,0,0,2015,"机工士"
27,192316,82093,2,139,0,0,2016,"舞者"
28,192317,82093,2,140,0,0,2017,"黑魔法师"
29,192318,82093,2,141,0,0,2018,"召唤师"
30,192319,82093,2,142,0,0,2019,"赤魔法师"
31,192401,82093,5,143,0,0,3000,"星极队"
32,192402,82093,5,144,0,0,3001,"灵极队"
33,192403,82093,5,145,0,0,3200,"第1赛季水晶冲突：王者"
34,192404,82093,5,146,0,0,3201,"第1赛季水晶冲突：勇者"
35,192405,82093,5,147,0,0,3202,"第1赛季水晶冲突：获奖者"
36,192406,82093,5,148,0,0,3208,"第1赛季水晶冲突：青铜"
37,192407,82093,5,149,0,0,3207,"第1赛季水晶冲突：白银"
38,192408,82093,5,150,0,0,3206,"第1赛季水晶冲突：黄金"
39,192409,82093,5,151,0,0,3205,"第1赛季水晶冲突：白金"
40,192410,82093,5,152,0,0,3204,"第1赛季水晶冲突：钻石"
41,192411,82093,5,153,0,0,3203,"第1赛季水晶冲突：水晶"
