#,BaseExperience,GilMultiplier,GCSealsMultiplier,CurrencyA,CurrencyB,CurrencyC,Item0,ItemQuantity0,ItemMaxLevelCondition0,Item1,ItemQuantity1,ItemMaxLevelCondition1
int32,uint16,uint16,uint16,uint16,uint16,uint16,Item,byte,byte,Item,byte,byte
0,0,0,0,0,0,0,0,0,0,0,0,0
1,500,2500,42000,0,0,0,43944,1,6,43942,2,6
2,500,1500,0,0,0,0,0,0,0,0,0,0
3,500,1500,0,0,0,0,0,0,0,0,0,0
4,125,375,2650,0,0,0,0,0,0,0,0,0
5,500,1500,0,0,0,0,0,0,0,0,0,0
6,500,900,0,0,0,0,0,0,0,0,0,0
7,500,1500,0,0,0,0,0,0,0,0,0,0
8,500,1500,0,0,0,0,0,0,0,0,0,0
9,500,1500,0,0,0,0,43944,1,6,43942,2,6
10,100,300,0,0,0,0,0,0,0,0,0,0
