#,Name,NameShort,NameFemale,Description,NameEnglish,,,,Action,,LevelMax,,JobIndex,,LevelUnlock,,
int32,str,str,str,str,str,byte,byte,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32
0,"辅助自由人","辅助自由人","","源自某位冒险者的起点与终点的记忆。
能够习得利于探索的辅助技能。","Phantom Freelancer",24,24,5,41650,10,41651,15,46606,20,49102,0,0
1,"辅助骑士","辅助骑士","","源自某位骑士的忠心与名誉的记忆。
能够习得减轻伙伴受伤程度的辅助技能。","Phantom Knight",6,1,1,41588,2,41589,3,41590,6,41591,0,0
2,"辅助狂战士","辅助狂战士","","源自某位狂战士的蛮勇与狂热的记忆。
能够习得高风险高收益的辅助技能。","Phantom Berserker",3,7,1,41592,2,41594,0,0,0,0,0,0
3,"辅助武僧","辅助武僧","","源自某位武僧的修行与冥想的记忆。
能够习得精于攻击的辅助技能。","Phantom Monk",6,2,1,41595,2,41596,3,41597,5,41598,0,0
4,"辅助猎人","辅助猎人","","源自某位猎人的自豪与慈爱的记忆。
能够习得借助动物力量的辅助技能。","Phantom Ranger",6,8,1,41599,2,41600,4,41601,6,41602,0,0
5,"辅助武士","辅助武士","","源自某位武士的道义与修炼的记忆。
能够习得一击必杀的辅助技能。","Phantom Samurai",5,6,1,41603,2,41604,3,41605,4,41606,0,0
6,"辅助吟游诗人","辅助吟游诗人","","源自某位吟游诗人的诗想与狂诵的记忆。
能够习得多彩的歌吟辅助技能。","Phantom Bard",4,18,1,41608,2,41609,3,41607,4,41610,0,0
7,"辅助风水师","辅助风水师","","源自某位风水师的自然与理气的记忆。
能够习得效果随天气改变的辅助技能。","Phantom Geomancer",5,17,1,41611,2,41612,3,41619,4,41620,0,0
8,"辅助时魔法师","辅助时魔法师","","源自某位时魔法师的法则与定理的记忆。
能够习得操控时间的时魔法辅助技能。","Phantom Time Mage",5,12,1,41621,2,41623,3,41624,4,41622,5,41625
9,"辅助炮击士","辅助炮击士","","源自某位炮击士的弹道学与战术的记忆。
能够习得效果多样的炮击辅助技能。","Phantom Cannoneer",6,22,1,41626,2,41627,3,41628,4,41629,6,41630
10,"辅助药剂师","辅助药剂师","","源自某位药剂师的调和与药效的记忆。
能够习得使用高效药品的辅助技能。","Phantom Chemist",4,16,1,41631,2,41633,3,41634,4,41635,0,0
11,"辅助预言师","辅助预言师","","源自某位预言师的灵感与启示的记忆。
能够习得延迟生效的辅助技能。","Phantom Oracle",5,21,1,41636,2,41641,3,41642,4,41643,5,41644
12,"辅助盗贼","辅助盗贼","","源自某位盗贼的侠义与特技的记忆。
能够习得包含特殊的探索技术在内的辅助技能。","Phantom Thief",6,3,1,41646,2,41645,3,41647,4,41648,5,41649
13,"辅助魔法剑士","辅助魔法剑士","","源自某位魔法剑士的钻研与技术的记忆。
能够习得赋予武器魔法的辅助技能。","Phantom Mystic Knight",4,9,1,46591,2,46590,3,46592,4,46593,0,0
14,"辅助剑斗士","辅助剑斗士","","源自某位剑斗士的战斗与不屈的记忆。
能够习得攻防兼备的辅助技能。","Phantom Gladiator",4,23,1,46594,2,46595,3,46596,4,46597,0,0
15,"辅助舞者","辅助舞者","","源自某位舞者的荣耀与高昂的记忆。
能够习得效果多样的跳舞辅助技能。","Phantom Dancer",4,19,1,46598,2,46603,3,46604,4,46605,0,0
16,"辅助忍者","辅助忍者","","源自某位忍者的潜伏与隐忍的记忆。
能够习得适用于任何情况的忍术辅助技能。","Phantom Ninja",6,5,1,49062,2,49063,3,49064,4,49065,6,49066
17,"辅助白魔法师","辅助白魔法师","","源自某位白魔法师的献身与治愈的记忆。
能够习得释放治愈之力的白魔法辅助技能。","Phantom White Mage",5,10,1,49067,2,49068,3,49069,4,49070,5,49071
18,"辅助黑魔法师","辅助黑魔法师","","源自某位黑魔法师的研究与验证的记忆。
能够习得释放破坏之力的黑魔法辅助技能。","Phantom Black Mage",5,11,1,49072,2,49073,3,49074,4,49075,5,49076
19,"辅助龙骑士","辅助龙骑士","","源自某位龙骑士的历练与步途的记忆。
能够习得跳上云霄贯穿敌人的辅助技能。","Phantom Dragoon",4,4,1,49077,2,49078,3,49079,0,0,0,0
20,"辅助召唤师","辅助召唤师","","源自某位召唤师的研究与实践的记忆。
能够习得召唤善于攻防的幻兽的辅助技能。","Phantom Summoner",5,13,1,49080,2,49081,3,49082,4,49083,5,49084
21,"辅助青魔法师","辅助青魔法师","","源自某位咒法师的见闻与偏执的记忆。
能够习得将魔物的力量转换为魔咒的辅助技能。","Phantom Blue Mage",3,14,1,49085,1,49086,1,49087,2,49088,3,49090
22,"辅助赤魔法师","辅助赤魔法师","","源自某位赤魔法师的漂泊与机遇的记忆。
能够习得操纵黑白魔法的辅助技能。","Phantom Red Mage",6,15,1,49092,2,49093,3,49094,4,49095,5,49096
23,"辅助亡灵法师","辅助亡灵法师","","源自某位亡灵法师的亵渎与执念的记忆。
能够习得超越死亡的战斗辅助技能。","Phantom Necromancer",5,20,1,49097,2,49098,3,49099,4,49100,5,49101
