key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,Vision,Objective,PreviousObjective,,,,,,,,,,,,,,,,,,,
int32,str,str,str,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,int16,int16,uint16
0,"","","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
1,"开拓目标：建造小岛木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>听取猫耳小员的说明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
2,"开拓目标：建造小岛木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>再次听取猫耳小员的说明<Unknown14>EC</Unknown14></Color>","听取猫耳小员的说明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
3,"开拓目标：建造小岛木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>在收获模式下收集开拓素材
向猫耳小员报告<Unknown14>EC</Unknown14></Color>","再次听取猫耳小员的说明",2,2,3,3,2,4,0,3,1,255,0,0,255,0,0,1,0,0,0
4,"开拓目标：建造小岛木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>在开拓制作面板中制作开拓用石斧
向猫耳小员报告<Unknown14>EC</Unknown14></Color>","在收获模式下收集开拓素材 向猫耳小员报告",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
5,"开拓目标：建造小岛木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>收集开拓素材建造小岛木屋<Unknown14>EC</Unknown14></Color>","在开拓制作面板中制作开拓用石斧 向猫耳小员报告",10,10,11,0,10,1,11,5,12,3,5,4,8,5,9,0,0,0,0
6,"开拓目标：建造小岛木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>向猫耳小员报告<Unknown14>EC</Unknown14></Color>","收集开拓素材建造小岛木屋",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
7,"开拓目标：在耕地种植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>听取猫耳小员的说明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
8,"开拓目标：在耕地种植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>委托耕种小员整地<Unknown14>EC</Unknown14></Color>","听取猫耳小员的说明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
9,"开拓目标：在耕地种植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>听取耕种小员的说明<Unknown14>EC</Unknown14></Color>","委托耕种小员整地",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
10,"开拓目标：在耕地种植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>使用播种模式在耕地种下选好的种子<Unknown14>EC</Unknown14></Color>","听取耕种小员的说明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40
