key,0
#,
int32,str
0,""
1,"确定要撤除吗？
撤除该物品会<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>导致物品损坏无法回收<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。"
2,"确定要解雇<Sheet(ENpcResident,IntegerParameter(1),0)/>吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>解雇后，已设置的外貌信息将清除，契约会重新回收至背包中。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3,"确定要让雇员离开吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>雇员离开后，已设置的外貌信息将清除，营业证书会重新回收至背包中。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
4,"还能够品尝<Value>IntegerParameter(1)</Value>次。
确定要将道具撤走吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>一旦撤走便会直接废弃，无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
5,"确定要撤除吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※插在里面的道具将会撤除且无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
6,"确定要撤除吗？
水族箱内的道具也会一并撤除且无法回收。"
7,"确定要撤除吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※画框中的作品将会撤除且无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
8,"确定要撤除吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※壁纸将会撤除且无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
9,"确定要回收为契约，并从仓库中转移至背包中吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>转移后，已设置的外貌信息将清除。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
10,"确定要将雇员<Highlight>StringParameter(1)</Highlight>回收为营业证书，并从仓库中转移至背包中吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>转移后，已设置的外貌信息将清除。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
11,"还能够品尝<Value>IntegerParameter(1)</Value>次。
确定要将道具从仓库中取出吗？<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>一旦取出便会直接废弃，无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
12,"确定要从仓库中转移至背包中吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※插在里面的道具将会撤除且无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
13,"确定要将水族箱从仓库中取出吗？
水族箱内的道具将会撤除且无法回收。"
14,"确定要从仓库中转移至背包中吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※画框中的作品将会撤除且无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
15,"确定要从仓库中转移至背包中吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※壁纸将会撤除且无法回收。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
16,"确定要解雇<Sheet(ENpcResident,IntegerParameter(1),0)/>吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>解雇后，已设置的外貌信息将清除，契约会重新回收至背包中。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
17,"确定要撤除吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※撤除后当前装饰的鱼拓会消失。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
18,"确定要从仓库中转移至背包中吗？
<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>※转移后里面的鱼拓会消失。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
